month_utc,Referencia,Retrocesos A,Retrocesos B,Donchian A,Donchian B
2021-08,2,15,21,6,9
2021-09,3,12,16,4,5
2021-10,0,26,35,10,13
2021-11,1,22,29,6,8
2021-12,0,0,0,0,0
2022-01,0,0,0,0,0
2022-02,0,0,0,0,0
2022-03,0,0,0,0,0
2022-04,0,0,0,0,0
2022-05,0,0,0,0,0
2022-06,0,0,0,0,0
2022-07,0,0,0,0,0
2022-08,0,0,0,0,0
2022-09,0,0,0,0,0
2022-10,0,0,0,0,0
2022-11,0,0,0,0,0
2022-12,0,0,0,0,0
2023-01,0,16,23,4,7
2023-02,0,25,34,7,9
2023-03,2,20,27,4,6
2023-04,1,24,30,7,8
2023-05,2,4,4,1,1
2023-06,0,4,5,5,6
2023-07,1,20,27,5,7
2023-08,0,0,0,0,0
2023-09,0,0,0,0,0
2023-10,0,11,14,0,0
2023-11,0,25,33,10,11
2023-12,0,27,36,10,15
2024-01,3,15,19,3,4
2024-02,1,21,27,5,7
2024-03,0,35,44,7,8
2024-04,4,13,16,6,7
2024-05,0,13,17,5,6
2024-06,2,14,17,2,3
2024-07,0,10,12,4,6
2024-08,1,5,5,0,0
2024-09,1,3,4,1,2
2024-10,1,17,24,7,8
2024-11,0,20,25,5,8
2024-12,2,31,42,8,10
2025-01,3,15,22,6,8
2025-02,3,4,5,2,2
2025-03,0,0,0,0,0
2025-04,0,9,11,2,3
2025-05,0,25,35,9,10
2025-06,1,8,9,2,3
2025-07,0,20,26,10,13
