ts,datetime_utc,equity
1564617600000,2019-08-01 00:00,10000
1564631999999,2019-08-01 03:59,9893.3650626898000000
1564646399999,2019-08-01 07:59,9865.7989331131000000
1564660799999,2019-08-01 11:59,9868.4436174814000000
1564675199999,2019-08-01 15:59,9918.9600604714000000
1564689599999,2019-08-01 19:59,10186.2712853677000000
1564703999999,2019-08-01 23:59,10276.6660027651000000
1564718399999,2019-08-02 03:59,10237.8178675873000000
1564732799999,2019-08-02 07:59,10431.6425257105000000
1564747199999,2019-08-02 11:59,10367.9719971733000000
1564761599999,2019-08-02 15:59,10511.5674626686000000
1564775999999,2019-08-02 19:59,10345.4277963409000000
1564790399999,2019-08-02 23:59,10424.0155333375000000
1564804799999,2019-08-03 03:59,10676.3699290348000000
1564819199999,2019-08-03 07:59,10725.1628698522000000
1564833599999,2019-08-03 11:59,10642.0979892808000000
1564847999999,2019-08-03 15:59,10631.3310532945000000
1564862399999,2019-08-03 19:59,10747.7665017940000000
1564876799999,2019-08-03 23:59,10714.3464079414000000
1564891199999,2019-08-04 03:59,10653.0927445198000000
1564905599999,2019-08-04 07:59,10568.8788625000000000
1564919999999,2019-08-04 11:59,10567.4525158744000000
1564934399999,2019-08-04 15:59,10840.4295065335000000
1564948799999,2019-08-04 19:59,10817.6376760786000000
1564963199999,2019-08-04 23:59,10825.6509706627000000
1564977599999,2019-08-05 03:59,11453.3821585153000000
1564991999999,2019-08-05 07:59,11560.5859746880000000
1565006399999,2019-08-05 11:59,11666.0167627636000000
1565020799999,2019-08-05 15:59,11638.6091161453000000
1565035199999,2019-08-05 19:59,11641.0556968156000000
1565049599999,2019-08-05 23:59,11716.6916887120000000
1565063999999,2019-08-06 03:59,11598.8397987718000000
1565078399999,2019-08-06 07:59,12069.7520992876000000
1565092799999,2019-08-06 11:59,11666.0266679485000000
1565107199999,2019-08-06 15:59,11589.1129072000000000
1565121599999,2019-08-06 19:59,11599.0180921000000000
1565135999999,2019-08-06 23:59,11372.8728156481000000
1565150399999,2019-08-07 03:59,11530.1077207507000000
1565164799999,2019-08-07 07:59,11429.2531280989000000
1565179199999,2019-08-07 11:59,11632.6362896506000000
1565193599999,2019-08-07 15:59,11552.2160934475000000
1565207999999,2019-08-07 19:59,11681.0033075173000000
1565222399999,2019-08-07 23:59,11861.5352075047000000
1565236799999,2019-08-08 03:59,11842.6460199004000000
1565251199999,2019-08-08 07:59,11807.0071646302000000
1565265599999,2019-08-08 11:59,11714.7601776565000000
1565279999999,2019-08-08 15:59,11581.9910792569000000
1565294399999,2019-08-08 19:59,11505.7310607118000000
1565308799999,2019-08-08 23:59,11886.0406349473000000
1565323199999,2019-08-09 03:59,11758.5609052843000000
1565337599999,2019-08-09 07:59,11760.8886237358000000
1565351999999,2019-08-09 11:59,11594.0754048349000000
1565366399999,2019-08-09 15:59,11632.0716941113000000
1565380799999,2019-08-09 19:59,11724.9922336582000000
1565395199999,2019-08-09 23:59,11767.3963302151000000
1565409599999,2019-08-10 03:59,11726.8246928647000000
1565423999999,2019-08-10 07:59,11717.6326812775000000
1565438399999,2019-08-10 11:59,11287.2325870027000000
1565452799999,2019-08-10 15:59,11305.6958516563000000
1565467199999,2019-08-10 19:59,11221.7295992590000000
1565481599999,2019-08-10 23:59,11202.1272383419000000
1565495999999,2019-08-11 03:59,11291.0658935590000000
1565510399999,2019-08-11 07:59,11263.9355921179000000
1565524799999,2019-08-11 11:59,11361.2342233906000000
1565539199999,2019-08-11 15:59,11270.1659534200000000
1565553599999,2019-08-11 19:59,11275.2572184586000000
1565567999999,2019-08-11 23:59,11440.5054181453000000
1565582399999,2019-08-12 03:59,11337.9570388756000000
1565596799999,2019-08-12 07:59,11303.8138665253000000
1565611199999,2019-08-12 11:59,11220.6499341049000000
1565625599999,2019-08-12 15:59,11291.0757987439000000
1565639999999,2019-08-12 19:59,11335.4312167261000000
1565654399999,2019-08-12 23:59,11288.0745277192000000
1565668799999,2019-08-13 03:59,11286.0736803694000000
1565683199999,2019-08-13 07:59,11257.2495923104000000
1565697599999,2019-08-13 11:59,11173.4814436111000000
1565711999999,2019-08-13 15:59,10847.3037048541000000
1565726399999,2019-08-13 19:59,10832.5350741682000000
1565740799999,2019-08-13 23:59,10789.4772354079000000
1565755199999,2019-08-14 03:59,10555.8337339867000000
1565769599999,2019-08-14 07:59,10519.3529380000000000
1565783999999,2019-08-14 11:59,10456.6531175830000000
1565798399999,2019-08-14 15:59,10414.4372195392000000
1565812799999,2019-08-14 19:59,10041.6952065673000000
1565827199999,2019-08-14 23:59,9955.1238905413000000
