ts,datetime_utc,equity
1564617600000,2019-08-01 00:00,10000
1564631999999,2019-08-01 03:59,9833.1112863070000000
1564646399999,2019-08-01 07:59,9815.8997775445000000
1564660799999,2019-08-01 11:59,9816.0792453970000000
1564675199999,2019-08-01 15:59,9843.3943619380000000
1564689599999,2019-08-01 19:59,10027.7916545635000000
1564703999999,2019-08-01 23:59,10094.7029163235000000
1564718399999,2019-08-02 03:59,10048.3075251565000000
1564732799999,2019-08-02 07:59,10269.3335808535000000
1564747199999,2019-08-02 11:59,10192.0127700625000000
1564761599999,2019-08-02 15:59,10282.5526990030000000
1564775999999,2019-08-02 19:59,10124.0548779805000000
1564790399999,2019-08-02 23:59,10185.9769978765000000
1564804799999,2019-08-03 03:59,10406.3246691370000000
1564819199999,2019-08-03 07:59,10463.8638623470000000
1564833599999,2019-08-03 11:59,10404.5032094200000000
1564847999999,2019-08-03 15:59,10346.5481899525000000
1564862399999,2019-08-03 19:59,10443.6226008700000000
1564876799999,2019-08-03 23:59,10434.6841772410000000
1564891199999,2019-08-04 03:59,10338.2288611090000000
1564905599999,2019-08-04 07:59,10271.6651194810000000
1564919999999,2019-08-04 11:59,10284.8948575000000000
1564934399999,2019-08-04 15:59,10462.7535442765000000
1564948799999,2019-08-04 19:59,10449.5291663920000000
1564963199999,2019-08-04 23:59,10482.3358703485000000
1564977599999,2019-08-05 03:59,10967.1703035955000000
1564991999999,2019-08-05 07:59,10992.6572905960000000
1565006399999,2019-08-05 11:59,11162.6296910530000000
1565020799999,2019-08-05 15:59,11118.9830478865000000
1565035199999,2019-08-05 19:59,11127.0634918540000000
1565049599999,2019-08-05 23:59,11196.4240698460000000
1565063999999,2019-08-06 03:59,11040.5841068050000000
1565078399999,2019-08-06 07:59,11368.8381951340000000
1565092799999,2019-08-06 11:59,11081.7200851495000000
1565107199999,2019-08-06 15:59,11010.3491959810000000
1565121599999,2019-08-06 19:59,11010.5017223020000000
1565135999999,2019-08-06 23:59,10858.5729506545000000
1565150399999,2019-08-07 03:59,10944.7324928665000000
1565164799999,2019-08-07 07:59,10864.3627470625000000
1565179199999,2019-08-07 11:59,11036.6821117060000000
1565193599999,2019-08-07 15:59,10908.4721225335000000
1565207999999,2019-08-07 19:59,10970.8079303275000000
1565222399999,2019-08-07 23:59,11098.7873827675000000
1565236799999,2019-08-08 03:59,11081.8000016530000000
1565251199999,2019-08-08 07:59,11063.7521815390000000
1565265599999,2019-08-08 11:59,10985.1719009785000000
1565279999999,2019-08-08 15:59,10865.9878433395000000
1565294399999,2019-08-08 19:59,10742.1436440070000000
1565308799999,2019-08-08 23:59,11003.3824671835000000
1565323199999,2019-08-09 03:59,10857.5858257675000000
1565337599999,2019-08-09 07:59,10832.4638703700000000
1565351999999,2019-08-09 11:59,10611.9147827275000000
1565366399999,2019-08-09 15:59,10606.6840826635000000
1565380799999,2019-08-09 19:59,10662.9724884130000000
1565395199999,2019-08-09 23:59,10695.8315050045000000
1565409599999,2019-08-10 03:59,10708.0031431825000000
1565423999999,2019-08-10 07:59,10695.1785845785000000
1565438399999,2019-08-10 11:59,10309.0087030165000000
1565452799999,2019-08-10 15:59,10349.7832056985000000
1565467199999,2019-08-10 19:59,10331.3434394230000000
1565481599999,2019-08-10 23:59,10320.6280690195000000
1565495999999,2019-08-11 03:59,10471.3830206620000000
1565510399999,2019-08-11 07:59,10448.6751187945000000
1565524799999,2019-08-11 11:59,10514.4668586970000000
1565539199999,2019-08-11 15:59,10443.7902410620000000
1565553599999,2019-08-11 19:59,10563.1362415960000000
1565567999999,2019-08-11 23:59,10667.0167226305000000
1565582399999,2019-08-12 03:59,10561.3428667660000000
1565596799999,2019-08-12 07:59,10520.2713718735000000
1565611199999,2019-08-12 11:59,10431.1468076515000000
1565625599999,2019-08-12 15:59,10493.3309043085000000
1565639999999,2019-08-12 19:59,10525.1084219815000000
1565654399999,2019-08-12 23:59,10476.2873743990000000
1565668799999,2019-08-13 03:59,10442.3725641580000000
1565683199999,2019-08-13 07:59,10430.7035318710000000
1565697599999,2019-08-13 11:59,10417.6199770225000000
1565711999999,2019-08-13 15:59,10128.3608986495000000
1565726399999,2019-08-13 19:59,10176.9768465370000000
1565740799999,2019-08-13 23:59,10178.7625085875000000
1565755199999,2019-08-14 03:59,10049.8276095505000000
