pair,strategy,entry_time,entry_price,exit_time,exit_price,exit_reason,qty,fees_quote,pnl,pnl_pct,duration_hours,entry_client_order_id,exit_client_order_id
BTC/USDT,ema_trend,2019-08-01 20:00,10288.86,2019-08-06 23:59,11386.28,trailing,0.24273,5.2637789428,261.1129776572,0.104553,124.00,tb-ema_trend-BTCUSDT-1564675200-B,tb-ema_trend-BTCUSDT-1565121600-T
BTC/USDT,ema_trend,2019-09-03 08:00,10373.19,2019-09-06 23:59,10284.54,trailing,0.24703,5.1056723432,-27.0048818432,-0.010539,88.00,tb-ema_trend-BTCUSDT-1567483200-B,tb-ema_trend-BTCUSDT-1567800000-T
BTC/USDT,ema_trend,2019-10-26 04:00,9558.83,2019-10-26 19:59,8924.37,stop,0.16227,3.0008938652,-105.9547180652,-0.068309,16.00,tb-ema_trend-BTCUSDT-1572048000-B,tb-ema_trend-BTCUSDT-1572105600-X
ETH/USDT,ema_trend,2019-10-26 12:00,181.58,2019-11-01 19:59,178.82,trailing,8.8834,3.2031934240,-27.7213774240,-0.017186,152.00,tb-ema_trend-ETHUSDT-1572076800-B,tb-ema_trend-ETHUSDT-1572624000-T
BTC/USDT,ema_trend,2020-01-04 08:00,7351.72,2020-01-08 23:59,7869.59,trailing,0.34311,5.2251567712,172.4612189288,0.068371,112.00,tb-ema_trend-BTCUSDT-1578110400-B,tb-ema_trend-BTCUSDT-1578513600-T
BTC/USDT,ema_trend,2020-01-27 16:00,8784.07,2020-02-02 07:59,9132.04,trailing,0.21903,3.9260980675,72.2897710325,0.037573,136.00,tb-ema_trend-BTCUSDT-1580126400-B,tb-ema_trend-BTCUSDT-1580616000-T
ETH/USDT,ema_trend,2020-01-27 00:00,168.00,2020-02-16 03:59,260.07,trailing,15.2765,6.5419817600,1399.9653732400,0.545487,484.00,tb-ema_trend-ETHUSDT-1580068800-B,tb-ema_trend-ETHUSDT-1581811200-T
BTC/USDT,ema_trend,2020-02-19 20:00,10143.66,2020-02-19 23:59,9800.21,stop,0.28915,5.7697116704,-105.0782791704,-0.035826,4.00,tb-ema_trend-BTCUSDT-1582128000-B,tb-ema_trend-BTCUSDT-1582142400-X
ETH/USDT,ema_trend,2020-03-07 00:00,245.06,2020-03-08 03:59,233.44,stop,10.1146,4.8423357080,-122.3739877080,-0.049371,28.00,tb-ema_trend-ETHUSDT-1583524800-B,tb-ema_trend-ETHUSDT-1583625600-X
BTC/USDT,ema_trend,2020-04-12 20:00,7115.69,2020-04-13 03:59,6852.95,stop,0.40423,5.6494607816,-111.8568509816,-0.038888,8.00,tb-ema_trend-BTCUSDT-1586707200-B,tb-ema_trend-BTCUSDT-1586736000-X
BTC/USDT,ema_trend,2020-04-23 00:00,7128.69,2020-04-30 11:59,8681.34,trailing,0.39958,6.3202232662,614.0876637338,0.215584,180.00,tb-ema_trend-BTCUSDT-1587585600-B,tb-ema_trend-BTCUSDT-1588233600-T
BTC/USDT,ema_trend,2020-05-14 04:00,9357.06,2020-05-21 11:59,9276.04,trailing,0.24735,4.6112365460,-24.6515335460,-0.010651,176.00,tb-ema_trend-BTCUSDT-1589414400-B,tb-ema_trend-BTCUSDT-1590048000-T
ETH/USDT,ema_trend,2020-05-16 20:00,200.22,2020-05-21 15:59,203.49,trailing,12.1060,4.8897559440,34.6968640560,0.014315,116.00,tb-ema_trend-ETHUSDT-1589644800-B,tb-ema_trend-ETHUSDT-1590062400-T
BTC/USDT,ema_trend,2020-05-29 00:00,9580.66,2020-06-02 15:59,9708.96,trailing,0.31358,6.0519048540,34.1804091460,0.011377,112.00,tb-ema_trend-BTCUSDT-1590696000-B,tb-ema_trend-BTCUSDT-1591099200-T
BTC/USDT,ema_trend,2020-06-23 00:00,9690.54,2020-06-24 11:59,9474.33,stop,0.23317,4.4709984714,-54.8846841714,-0.024290,36.00,tb-ema_trend-BTCUSDT-1592856000-B,tb-ema_trend-BTCUSDT-1592985600-X
ETH/USDT,ema_trend,2020-06-22 20:00,242.50,2020-06-24 15:59,236.04,stop,12.4253,5.9490343100,-86.2164723100,-0.028614,44.00,tb-ema_trend-ETHUSDT-1592841600-B,tb-ema_trend-ETHUSDT-1593000000-X
BTC/USDT,ema_trend,2020-07-07 00:00,9347.15,2020-07-09 15:59,9188.02,trailing,0.31850,5.9064427330,-56.5893477330,-0.019008,64.00,tb-ema_trend-BTCUSDT-1594065600-B,tb-ema_trend-BTCUSDT-1594296000-T
ETH/USDT,ema_trend,2020-09-13 04:00,388.92,2020-09-13 15:59,367.89,stop,5.6882,4.3071034880,-123.9299494880,-0.056020,12.00,tb-ema_trend-ETHUSDT-1599955200-B,tb-ema_trend-ETHUSDT-1599998400-X
ETH/USDT,ema_trend,2020-10-09 16:00,365.32,2020-10-16 07:59,369.16,trailing,8.0275,5.8989972920,24.9266027080,0.008500,160.00,tb-ema_trend-ETHUSDT-1602244800-B,tb-ema_trend-ETHUSDT-1602820800-T
ETH/USDT,ema_trend,2020-11-29 12:00,551.64,2020-12-01 15:59,566.04,trailing,3.3651,3.7629805400,44.6944594600,0.024077,52.00,tb-ema_trend-ETHUSDT-1606636800-B,tb-ema_trend-ETHUSDT-1606824000-T
BTC/USDT,ema_trend,2020-11-30 04:00,18588.96,2020-12-01 15:59,18316.79,trailing,0.13312,4.9154958896,-41.1467662896,-0.016628,36.00,tb-ema_trend-BTCUSDT-1606694400-B,tb-ema_trend-BTCUSDT-1606824000-T
ETH/USDT,ema_trend,2020-12-14 00:00,591.11,2020-12-20 23:59,621.60,trailing,3.7305,4.5262608730,109.2166841270,0.049528,168.00,tb-ema_trend-ETHUSDT-1607889600-B,tb-ema_trend-ETHUSDT-1608494400-T
BTC/USDT,ema_trend,2020-12-13 16:00,19220.95,2020-12-21 15:59,22283.89,trailing,0.15293,6.3504105355,462.0650036645,0.157194,192.00,tb-ema_trend-BTCUSDT-1607860800-B,tb-ema_trend-BTCUSDT-1608552000-T
ETH/USDT,ema_trend,2020-12-26 16:00,628.83,2021-01-04 11:59,901.49,trailing,3.5052,5.3663414540,950.3614905460,0.431164,212.00,tb-ema_trend-ETHUSDT-1608984000-B,tb-ema_trend-ETHUSDT-1609747200-T
BTC/USDT,ema_trend,2021-01-14 00:00,37390.07,2021-01-15 19:59,34619.77,trailing,0.03112,2.2424418212,-88.4541778212,-0.076019,44.00,tb-ema_trend-BTCUSDT-1610568000-B,tb-ema_trend-BTCUSDT-1610726400-T
BTC/USDT,ema_trend,2021-03-03 20:00,50882.60,2021-03-04 19:59,47580.29,stop,0.04022,3.9627215620,-136.7816297620,-0.066837,24.00,tb-ema_trend-BTCUSDT-1614787200-B,tb-ema_trend-BTCUSDT-1614873600-X
ETH/USDT,ema_trend,2021-03-29 20:00,1817.01,2021-04-04 03:59,1981.14,trailing,1.7724,6.7351116820,284.1689003180,0.088238,128.00,tb-ema_trend-ETHUSDT-1617033600-B,tb-ema_trend-ETHUSDT-1617494400-T
ETH/USDT,ema_trend,2021-04-21 16:00,2444.02,2021-04-23 03:59,2296.53,trailing,0.6636,3.1475397960,-101.0219037960,-0.062288,36.00,tb-ema_trend-ETHUSDT-1619006400-B,tb-ema_trend-ETHUSDT-1619136000-T
ETH/USDT,ema_trend,2021-04-26 04:00,2456.13,2021-05-10 23:59,3742.45,trailing,0.5778,3.5830132020,739.6526827980,0.521193,356.00,tb-ema_trend-ETHUSDT-1619395200-B,tb-ema_trend-ETHUSDT-1620676800-T
BTC/USDT,ema_trend,2021-08-27 16:00,48208.76,2021-08-31 03:59,46735.52,trailing,0.07246,6.8835192304,-113.6344896304,-0.032530,84.00,tb-ema_trend-BTCUSDT-1630065600-B,tb-ema_trend-BTCUSDT-1630368000-T
ETH/USDT,ema_trend,2021-08-28 08:00,3231.90,2021-09-07 11:59,3765.21,trailing,0.8106,5.6747660800,426.6263199200,0.162848,244.00,tb-ema_trend-ETHUSDT-1630123200-B,tb-ema_trend-ETHUSDT-1631001600-T
ETH/USDT,ema_trend,2021-09-16 08:00,3635.91,2021-09-17 11:59,3444.81,stop,0.7366,5.2185670840,-145.9828270840,-0.054508,28.00,tb-ema_trend-ETHUSDT-1631764800-B,tb-ema_trend-ETHUSDT-1631865600-X
