ts,datetime_utc,equity,B&H BTC,Equiponderado
1564631999999,2019-08-01 03:59,10000,9893.3650626898000000,9833.1112863070000000
1564646399999,2019-08-01 07:59,10000,9865.7989331131000000,9815.8997775445000000
1564660799999,2019-08-01 11:59,10000,9868.4436174814000000,9816.0792453970000000
1564675199999,2019-08-01 15:59,10000,9918.9600604714000000,9843.3943619380000000
1564689599999,2019-08-01 19:59,10000,10186.2712853677000000,10027.7916545635000000
1564703999999,2019-08-01 23:59,10018.4069523298000000,10276.6660027651000000,10094.7029163235000000
1564718399999,2019-08-02 03:59,10008.8868064054000000,10237.8178675873000000,10048.3075251565000000
1564732799999,2019-08-02 07:59,10056.3855864790000000,10431.6425257105000000,10269.3335808535000000
1564747199999,2019-08-02 11:59,10040.7824508334000000,10367.9719971733000000,10192.0127700625000000
1564761599999,2019-08-02 15:59,10075.9720366228000000,10511.5674626686000000,10282.5526990030000000
1564775999999,2019-08-02 19:59,10035.2577562582000000,10345.4277963409000000,10124.0548779805000000
1564790399999,2019-08-02 23:59,10054.5165114250000000,10424.0155333375000000,10185.9769978765000000
1564804799999,2019-08-03 03:59,10116.3586220104000000,10676.3699290348000000,10406.3246691370000000
1564819199999,2019-08-03 07:59,10128.3158476156000000,10725.1628698522000000,10463.8638623470000000
1564833599999,2019-08-03 11:59,10107.9599211184000000,10642.0979892808000000,10404.5032094200000000
1564847999999,2019-08-03 15:59,10105.3213697110000000,10631.3310532945000000,10346.5481899525000000
1564862399999,2019-08-03 19:59,10133.8551064120000000,10747.7665017940000000,10443.6226008700000000
1564876799999,2019-08-03 23:59,10125.6651593572000000,10714.3464079414000000,10434.6841772410000000
1564891199999,2019-08-04 03:59,10110.6543020404000000,10653.0927445198000000,10338.2288611090000000
1564905599999,2019-08-04 07:59,10090.0168006000000000,10568.8788625000000000,10271.6651194810000000
1564919999999,2019-08-04 11:59,10089.6672592912000000,10567.4525158744000000,10284.8948575000000000
1564934399999,2019-08-04 15:59,10156.5631546330000000,10840.4295065335000000,10462.7535442765000000
1564948799999,2019-08-04 19:59,10150.9777758028000000,10817.6376760786000000,10449.5291663920000000
1564963199999,2019-08-04 23:59,10152.9415182946000000,10825.6509706627000000,10482.3358703485000000
1564977599999,2019-08-05 03:59,10306.7736773494000000,11453.3821585153000000,10967.1703035955000000
1564991999999,2019-08-05 07:59,10333.0451050240000000,11560.5859746880000000,10992.6572905960000000
1565006399999,2019-08-05 11:59,10358.8820334328000000,11666.0167627636000000,11162.6296910530000000
1565020799999,2019-08-05 15:59,10352.1655000894000000,11638.6091161453000000,11118.9830478865000000
1565035199999,2019-08-05 19:59,10352.7650605288000000,11641.0556968156000000,11127.0634918540000000
1565049599999,2019-08-05 23:59,10371.3004593760000000,11716.6916887120000000,11196.4240698460000000
1565063999999,2019-08-06 03:59,10342.4196087364000000,11598.8397987718000000,11040.5841068050000000
1565078399999,2019-08-06 07:59,10457.8216427848000000,12069.7520992876000000,11368.8381951340000000
1565092799999,2019-08-06 11:59,10358.8844608030000000,11666.0266679485000000,11081.7200851495000000
1565107199999,2019-08-06 15:59,10340.0359312000000000,11589.1129072000000000,11010.3491959810000000
1565121599999,2019-08-06 19:59,10342.4633014000000000,11599.0180921000000000,11010.5017223020000000
1565135999999,2019-08-06 23:59,10261.04074986,11372.8728156481000000,10858.5729506545000000
1565150399999,2019-08-07 03:59,10261.04074986,11530.1077207507000000,10944.7324928665000000
1565164799999,2019-08-07 07:59,10261.04074986,11429.2531280989000000,10864.3627470625000000
1565179199999,2019-08-07 11:59,10261.04074986,11632.6362896506000000,11036.6821117060000000
1565193599999,2019-08-07 15:59,10261.04074986,11552.2160934475000000,10908.4721225335000000
1565207999999,2019-08-07 19:59,10261.04074986,11681.0033075173000000,10970.8079303275000000
1565222399999,2019-08-07 23:59,10261.04074986,11861.5352075047000000,11098.7873827675000000
1565236799999,2019-08-08 03:59,10261.04074986,11842.6460199004000000,11081.8000016530000000
1565251199999,2019-08-08 07:59,10261.04074986,11807.0071646302000000,11063.7521815390000000
1565265599999,2019-08-08 11:59,10261.04074986,11714.7601776565000000,10985.1719009785000000
1565279999999,2019-08-08 15:59,10261.04074986,11581.9910792569000000,10865.9878433395000000
1565294399999,2019-08-08 19:59,10261.04074986,11505.7310607118000000,10742.1436440070000000
1565308799999,2019-08-08 23:59,10261.04074986,11886.0406349473000000,11003.3824671835000000
1565323199999,2019-08-09 03:59,10261.04074986,11758.5609052843000000,10857.5858257675000000
1565337599999,2019-08-09 07:59,10261.04074986,11760.8886237358000000,10832.4638703700000000
1565351999999,2019-08-09 11:59,10261.04074986,11594.0754048349000000,10611.9147827275000000
1565366399999,2019-08-09 15:59,10261.04074986,11632.0716941113000000,10606.6840826635000000
1565380799999,2019-08-09 19:59,10261.04074986,11724.9922336582000000,10662.9724884130000000
1565395199999,2019-08-09 23:59,10261.04074986,11767.3963302151000000,10695.8315050045000000
1565409599999,2019-08-10 03:59,10261.04074986,11726.8246928647000000,10708.0031431825000000
1565423999999,2019-08-10 07:59,10261.04074986,11717.6326812775000000,10695.1785845785000000
1565438399999,2019-08-10 11:59,10261.04074986,11287.2325870027000000,10309.0087030165000000
1565452799999,2019-08-10 15:59,10261.04074986,11305.6958516563000000,10349.7832056985000000
1565467199999,2019-08-10 19:59,10261.04074986,11221.7295992590000000,10331.3434394230000000
1565481599999,2019-08-10 23:59,10261.04074986,11202.1272383419000000,10320.6280690195000000
1565495999999,2019-08-11 03:59,10261.04074986,11291.0658935590000000,10471.3830206620000000
1565510399999,2019-08-11 07:59,10261.04074986,11263.9355921179000000,10448.6751187945000000
1565524799999,2019-08-11 11:59,10261.04074986,11361.2342233906000000,10514.4668586970000000
1565539199999,2019-08-11 15:59,10261.04074986,11270.1659534200000000,10443.7902410620000000
1565553599999,2019-08-11 19:59,10261.04074986,11275.2572184586000000,10563.1362415960000000
1565567999999,2019-08-11 23:59,10261.04074986,11440.5054181453000000,10667.0167226305000000
1565582399999,2019-08-12 03:59,10261.04074986,11337.9570388756000000,10561.3428667660000000
1565596799999,2019-08-12 07:59,10261.04074986,11303.8138665253000000,10520.2713718735000000
1565611199999,2019-08-12 11:59,10261.04074986,11220.6499341049000000,10431.1468076515000000
1565625599999,2019-08-12 15:59,10261.04074986,11291.0757987439000000,10493.3309043085000000
1565639999999,2019-08-12 19:59,10261.04074986,11335.4312167261000000,10525.1084219815000000
1565654399999,2019-08-12 23:59,10261.04074986,11288.0745277192000000,10476.2873743990000000
1565668799999,2019-08-13 03:59,10261.04074986,11286.0736803694000000,10442.3725641580000000
1565683199999,2019-08-13 07:59,10261.04074986,11257.2495923104000000,10430.7035318710000000
1565697599999,2019-08-13 11:59,10261.04074986,11173.4814436111000000,10417.6199770225000000
1565711999999,2019-08-13 15:59,10261.04074986,10847.3037048541000000,10128.3608986495000000
1565726399999,2019-08-13 19:59,10261.04074986,10832.5350741682000000,10176.9768465370000000
1565740799999,2019-08-13 23:59,10261.04074986,10789.4772354079000000,10178.7625085875000000
1565755199999,2019-08-14 03:59,10261.04074986,10555.8337339867000000,10049.8276095505000000
1565769599999,2019-08-14 07:59,10261.04074986,10519.3529380000000000,10022.9016519610000000
1565783999999,2019-08-14 11:59,10261.04074986,10456.6531175830000000,9963.2091052600000000
1565798399999,2019-08-14 15:59,10261.04074986,10414.4372195392000000,9923.3584488070000000
1565812799999,2019-08-14 19:59,10261.04074986,10041.6952065673000000,9282.8163625765000000
1565827199999,2019-08-14 23:59,10261.04074986,9955.1238905413000000,9254.1597618625000000
1565841599999,2019-08-15 03:59,10261.04074986,9999.3802566745000000,9311.2592681995000000
1565870399999,2019-08-15 11:59,10261.04074986,10062.2781807895000000,9266.5933708075000000
1565884799999,2019-08-15 15:59,10261.04074986,9998.9246181691000000,9261.6598562605000000
1565899199999,2019-08-15 19:59,10261.04074986,10010.8999867132000000,9228.5616341140000000
1565913599999,2019-08-15 23:59,10261.04074986,10196.3745739657000000,9396.0411014995000000
1565927999999,2019-08-16 03:59,10261.04074986,10226.7636812389000000,9387.2354209945000000
1565942399999,2019-08-16 07:59,10261.04074986,9842.8288093300000000,9081.6695382490000000
1565956799999,2019-08-16 11:59,10261.04074986,10052.7394877308000000,9224.5668039430000000
1565971199999,2019-08-16 15:59,10261.04074986,10287.6112320796000000,9390.9159422890000000
1565985599999,2019-08-16 19:59,10261.04074986,10352.6982020575000000,9421.4019492655000000
1565999999999,2019-08-16 23:59,10261.04074986,10233.6279743746000000,9342.6673711570000000
1566014399999,2019-08-17 03:59,10261.04074986,10187.4004764463000000,9297.8394964045000000
1566028799999,2019-08-17 07:59,10261.04074986,10259.8271884351000000,9352.7954074825000000
1566043199999,2019-08-17 11:59,10261.04074986,10235.3019506227000000,9347.8472226205000000
1566057599999,2019-08-17 15:59,10261.04074986,10214.5406830723000000,9317.5809122275000000
1566071999999,2019-08-17 19:59,10261.04074986,10070.8857864676000000,9214.4397970870000000
1566086399999,2019-08-17 23:59,10261.04074986,10119.2032784098000000,9301.6842263260000000
1566100799999,2019-08-18 03:59,10261.04074986,10018.1406768751000000,9215.2675999555000000
1566115199999,2019-08-18 07:59,10261.04074986,10043.3196568909000000,9244.9998779155000000
1566129599999,2019-08-18 11:59,10261.04074986,10295.4957592600000000,9489.7156287040000000
1566143999999,2019-08-18 15:59,10261.04074986,10287.9876291058000000,9574.4190425020000000
1566158399999,2019-08-18 19:59,10261.04074986,10272.7138339900000000,9610.8966563740000000
1566172799999,2019-08-18 23:59,10261.04074986,10209.1027365622000000,9546.4056039820000000
1566187199999,2019-08-19 03:59,10261.04074986,10299.6856524727000000,9640.3824835315000000
1566201599999,2019-08-19 07:59,10261.04074986,10620.4848758290000000,9907.7522666110000000
1566215999999,2019-08-19 11:59,10261.04074986,10571.6622194569000000,9857.2839539425000000
1566230399999,2019-08-19 15:59,10261.04074986,10606.3204614220000000,9903.8701416220000000
1566244799999,2019-08-19 19:59,10261.04074986,10584.6082961212000000,9819.6424925830000000
1566259199999,2019-08-19 23:59,10261.04074986,10812.0907725346000000,10029.6114794170000000
1566273599999,2019-08-20 03:59,10261.04074986,10686.5920798516000000,9884.3482021030000000
1566287999999,2019-08-20 07:59,10261.04074986,10706.3033978026000000,9928.4895915280000000
1566302399999,2019-08-20 11:59,10261.04074986,10607.3307902818000000,9817.7464375360000000
1566316799999,2019-08-20 15:59,10261.04074986,10642.7121107446000000,9835.4369193460000000
1566331199999,2019-08-20 19:59,10261.04074986,10632.3710977090000000,9803.2949454940000000
1566345599999,2019-08-20 23:59,10261.04074986,10658.5306910299000000,9823.0032040075000000
1566359999999,2019-08-21 03:59,10261.04074986,10225.3472397982000000,9481.6132422010000000
1566374399999,2019-08-21 07:59,10261.04074986,10042.9036391251000000,9297.5920490995000000
