pair,strategy,entry_time,entry_price,exit_time,exit_price,exit_reason,qty,fees_quote,pnl,pnl_pct,duration_hours,entry_client_order_id,exit_client_order_id
BTC/USDT,ema_trend,2019-08-01 20:00,10288.86,2019-08-06 23:59,11386.28,trailing,0.24273,5.2637789428,261.1129776572,0.104553,124.00,tb-ema_trend-BTCUSDT-1564675200-B,tb-ema_trend-BTCUSDT-1565121600-T
LINK/USDT,ema_trend,2019-08-12 08:00,2.462,2019-08-14 19:59,2.295,trailing,591.90,2.81714550000,-101.66444550000,-0.069764,60.00,tb-ema_trend-LINKUSDT-1565582400-B,tb-ema_trend-LINKUSDT-1565798400-T
BTC/USDT,ema_trend,2019-09-03 08:00,10373.19,2019-09-06 23:59,10284.54,trailing,0.24457,5.0548543258,-26.7359848258,-0.010539,88.00,tb-ema_trend-BTCUSDT-1567483200-B,tb-ema_trend-BTCUSDT-1567800000-T
BNB/USDT,ema_trend,2019-10-26 04:00,19.31,2019-10-26 11:59,18.23,stop,95.229,3.5767504200,-106.4240704200,-0.057875,8.00,tb-ema_trend-BNBUSDT-1572048000-B,tb-ema_trend-BNBUSDT-1572076800-X
BTC/USDT,ema_trend,2019-10-26 04:00,9558.83,2019-10-26 19:59,8924.37,stop,0.16066,2.9711359089,-104.9034795089,-0.068309,16.00,tb-ema_trend-BTCUSDT-1572048000-B,tb-ema_trend-BTCUSDT-1572105600-X
ADA/USDT,ema_trend,2019-10-26 04:00,0.0416,2019-10-26 19:59,0.0394,stop,40573.3,3.288130420000,-92.549390420000,-0.054833,16.00,tb-ema_trend-ADAUSDT-1572048000-B,tb-ema_trend-ADAUSDT-1572105600-X
ETH/USDT,ema_trend,2019-10-26 12:00,181.58,2019-11-01 19:59,178.82,trailing,8.6695,3.1260675460,-27.0538875460,-0.017186,152.00,tb-ema_trend-ETHUSDT-1572076800-B,tb-ema_trend-ETHUSDT-1572624000-T
BTC/USDT,ema_trend,2020-01-04 08:00,7351.72,2020-01-08 23:59,7869.59,trailing,0.33296,5.0705869660,167.3594082340,0.068371,112.00,tb-ema_trend-BTCUSDT-1578110400-B,tb-ema_trend-BTCUSDT-1578513600-T
LINK/USDT,ema_trend,2020-01-27 12:00,2.614,2020-02-02 07:59,2.734,trailing,714.36,3.82227936000,81.90092064000,0.043860,140.00,tb-ema_trend-LINKUSDT-1580112000-B,tb-ema_trend-LINKUSDT-1580616000-T
LTC/USDT,ema_trend,2020-01-27 16:00,59.12,2020-02-04 11:59,66.78,trailing,23.684,2.9832344800,178.4362055200,0.127436,188.00,tb-ema_trend-LTCUSDT-1580126400-B,tb-ema_trend-LTCUSDT-1580803200-T
ETH/USDT,ema_trend,2020-01-27 00:00,168.00,2020-02-16 03:59,260.07,trailing,14.8246,6.3484697200,1358.5524522800,0.545487,484.00,tb-ema_trend-ETHUSDT-1580068800-B,tb-ema_trend-ETHUSDT-1581811200-T
BTC/USDT,ema_trend,2020-02-19 20:00,10143.66,2020-02-19 23:59,9800.21,stop,0.28528,5.6925288962,-103.6719448962,-0.035826,4.00,tb-ema_trend-BTCUSDT-1582128000-B,tb-ema_trend-BTCUSDT-1582142400-X
LINK/USDT,ema_trend,2020-02-29 12:00,4.302,2020-03-01 19:59,3.890,stop,279.79,2.29328726000,-117.56676726000,-0.097675,32.00,tb-ema_trend-LINKUSDT-1582963200-B,tb-ema_trend-LINKUSDT-1583078400-X
BNB/USDT,ema_trend,2020-03-05 16:00,21.15,2020-03-07 19:59,20.08,trailing,103.589,4.2731740700,-115.1134040700,-0.052541,52.00,tb-ema_trend-BNBUSDT-1583409600-B,tb-ema_trend-BNBUSDT-1583596800-T
ETH/USDT,ema_trend,2020-03-07 00:00,245.06,2020-03-08 03:59,233.44,stop,9.3509,4.4767092180,-113.1341672180,-0.049371,28.00,tb-ema_trend-ETHUSDT-1583524800-B,tb-ema_trend-ETHUSDT-1583625600-X
BTC/USDT,ema_trend,2020-04-12 20:00,7115.69,2020-04-13 03:59,6852.95,stop,0.39092,5.4634670208,-108.1737878208,-0.038888,8.00,tb-ema_trend-BTCUSDT-1586707200-B,tb-ema_trend-BTCUSDT-1586736000-X
BTC/USDT,ema_trend,2020-04-23 00:00,7128.69,2020-04-30 11:59,8681.34,trailing,0.38642,6.1120919789,593.8629210211,0.215584,180.00,tb-ema_trend-BTCUSDT-1587585600-B,tb-ema_trend-BTCUSDT-1588233600-T
LTC/USDT,ema_trend,2020-04-24 00:00,43.01,2020-04-30 11:59,47.16,trailing,48.044,4.3342349700,195.0483650300,0.094392,156.00,tb-ema_trend-LTCUSDT-1587672000-B,tb-ema_trend-LTCUSDT-1588233600-T
