ts,datetime_utc,equity,B&H BTC,Equiponderado,B&H BTC filtrado
1564631999999,2019-08-01 03:59,10000,9893.3650626898000000,9890.2418974524000000,10000.00000000
1564646399999,2019-08-01 07:59,10000,9865.7989331131000000,9887.7570958413000000,10000.00000000
1564660799999,2019-08-01 11:59,10000,9868.4436174814000000,9882.7907627457000000,10000.00000000
1564675199999,2019-08-01 15:59,10000,9918.9600604714000000,9905.0132330307000000,10000.00000000
1564689599999,2019-08-01 19:59,10000,10186.2712853677000000,9962.6681440071000000,10000.00000000
1564703999999,2019-08-01 23:59,10000,10276.6660027651000000,10013.1575488623000000,10000.00000000
1564718399999,2019-08-02 03:59,10000,10237.8178675873000000,9934.1714444319000000,10000.00000000
1564732799999,2019-08-02 07:59,10000,10431.6425257105000000,10041.4200788415000000,10000.00000000
1564747199999,2019-08-02 11:59,10000,10367.9719971733000000,9969.9157848114000000,10000.00000000
1564761599999,2019-08-02 15:59,10000,10511.5674626686000000,9961.9831664703000000,10000.00000000
1564775999999,2019-08-02 19:59,10000,10345.4277963409000000,9868.5161646327000000,10000.00000000
1564790399999,2019-08-02 23:59,10000,10424.0155333375000000,9918.8319966345000000,10000.00000000
1564804799999,2019-08-03 03:59,10000,10676.3699290348000000,9994.6701371799000000,10000.00000000
1564819199999,2019-08-03 07:59,10000,10725.1628698522000000,10004.0079053646000000,10000.00000000
1564833599999,2019-08-03 11:59,10000,10642.0979892808000000,9973.6819283979000000,10000.00000000
1564847999999,2019-08-03 15:59,10000,10631.3310532945000000,9955.9913575770000000,10000.00000000
1564862399999,2019-08-03 19:59,10000,10747.7665017940000000,9983.3954825205000000,10000.00000000
1564876799999,2019-08-03 23:59,10000,10714.3464079414000000,9980.5110466437000000,10000.00000000
1564891199999,2019-08-04 03:59,10000,10653.0927445198000000,9879.4144357524000000,10000.00000000
1564905599999,2019-08-04 07:59,10000,10568.8788625000000000,9841.9414761225000000,10000.00000000
1564919999999,2019-08-04 11:59,10000,10567.4525158744000000,9871.4014694397000000,10000.00000000
1564934399999,2019-08-04 15:59,10000,10840.4295065335000000,9945.9351393615000000,10000.00000000
1564948799999,2019-08-04 19:59,10000,10817.6376760786000000,9941.3352760293000000,10000.00000000
1564963199999,2019-08-04 23:59,10000,10825.6509706627000000,9917.5791520251000000,10000.00000000
1564977599999,2019-08-05 03:59,10000,11453.3821585153000000,10159.5731070339000000,10000.00000000
1564991999999,2019-08-05 07:59,10000,11560.5859746880000000,10112.3861411340000000,10000.00000000
1565006399999,2019-08-05 11:59,10000,11666.0167627636000000,10355.8517310348000000,10000.00000000
1565020799999,2019-08-05 15:59,10000,11638.6091161453000000,10260.5067853209000000,10000.00000000
1565035199999,2019-08-05 19:59,10000,11641.0556968156000000,10220.4709832988000000,10000.00000000
1565049599999,2019-08-05 23:59,10000,11716.6916887120000000,10171.8699367950000000,10000.00000000
1565063999999,2019-08-06 03:59,10000,11598.8397987718000000,10108.5529008114000000,10000.00000000
1565078399999,2019-08-06 07:59,10093.0306783108000000,12069.7520992876000000,10224.6853082553000000,10391.7401008216000000
1565092799999,2019-08-06 11:59,9969.9347652430000000,11666.0266679485000000,10020.7836917775000000,10044.1447647010000000
1565107199999,2019-08-06 15:59,9946.7768982910000000,11589.1129072000000000,9972.8593875540000000,9977.9243524000000000
1565121599999,2019-08-06 19:59,9968.8200440800000000,11599.0180921000000000,9962.3140294680000000,9986.4524158000000000
1565135999999,2019-08-06 23:59,9921.3095918950000000,11372.8728156481000000,9934.1940557898000000,9791.7482003146000000
1565150399999,2019-08-07 03:59,9902.6811909430000000,11530.1077207507000000,9970.4089183761000000,9927.1226787262000000
1565164799999,2019-08-07 07:59,9892.6541690020000000,11429.2531280989000000,9877.2642671652000000,9840.2899371874000000
1565179199999,2019-08-07 11:59,9915.0624289188000000,11632.6362896506000000,9953.5521648033000000,10015.3966629796000000
1565193599999,2019-08-07 15:59,9900.2972566710000000,11552.2160934475000000,9890.5500028305000000,9946.1573162350000000
1565207999999,2019-08-07 19:59,9909.0002605554000000,11681.0033075173000000,9928.3270710474000000,10057.0391965618000000
1565222399999,2019-08-07 23:59,9945.5733796266000000,11861.5352075047000000,9973.6448432121000000,10212.4716800902000000
1565236799999,2019-08-08 03:59,9932.9164396362000000,11842.6460199004000000,9966.3943753377000000,10196.2086631864000000
1565251199999,2019-08-08 07:59,9916.0436768886000000,11807.0071646302000000,9972.2931922161000000,10180.90181176
1565265599999,2019-08-08 11:59,9885.7787427180000000,11714.7601776565000000,9924.6084223185000000,10180.90181176
1565279999999,2019-08-08 15:59,9863.8554767292000000,11581.9910792569000000,9890.5250071512000000,10180.90181176
1565294399999,2019-08-08 19:59,9851.2207578954000000,11505.7310607118000000,9857.6097057009000000,10180.90181176
1565308799999,2019-08-08 23:59,9896.0768768754000000,11886.0406349473000000,9948.3963961329000000,10180.90181176
1565323199999,2019-08-09 03:59,9874.4794699014000000,11758.5609052843000000,9878.2415991549000000,10180.90181176
1565337599999,2019-08-09 07:59,9874.8738281484000000,11760.8886237358000000,9803.4858092754000000,10180.90181176
1565351999999,2019-08-09 11:59,9846.6126058602000000,11594.0754048349000000,9589.0018201632000000,10180.90181176
1565366399999,2019-08-09 15:59,9853.0498749474000000,11632.0716941113000000,9592.2850909059000000,10180.90181176
1565380799999,2019-08-09 19:59,9868.7923205436000000,11724.9922336582000000,9574.6234430331000000,10180.90181176
1565395199999,2019-08-09 23:59,9875.9763531198000000,11767.3963302151000000,9547.1364433473000000,10180.90181176
1565409599999,2019-08-10 03:59,9869.1027727806000000,11726.8246928647000000,9608.0353157151000000,10180.90181176
1565423999999,2019-08-10 07:59,9867.5454772350000000,11717.6326812775000000,9692.6784404625000000,10180.90181176
1565438399999,2019-08-10 11:59,9794.6277983046000000,11287.2325870027000000,9460.3734294111000000,10180.90181176
1565452799999,2019-08-10 15:59,9797.7558143574000000,11305.6958516563000000,9548.4384524349000000,10180.90181176
1565467199999,2019-08-10 19:59,9783.5303894220000000,11221.7295992590000000,9644.0567728005000000,10180.90181176
1565481599999,2019-08-10 23:59,9780.2093895462000000,11202.1272383419000000,9643.0545753012000000,10180.90181176
