pair,strategy,entry_time,entry_price,exit_time,exit_price,exit_reason,qty,fees_quote,pnl,pnl_pct,duration_hours,entry_client_order_id,exit_client_order_id
BTC/USDT,ema_trend,2019-08-06 04:00,11714.16,2019-08-06 23:59,11386.28,trailing,0.21316,4.9266669008,-74.8175677008,-0.029963,20.00,tb-ema_trend-BTCUSDT-1565049600-B,tb-ema_trend-BTCUSDT-1565121600-T
LINK/USDT,ema_trend,2019-08-06 04:00,2.484,2019-08-08 23:59,2.272,stop,475.21,2.26129108000,-103.00581108000,-0.087262,68.00,tb-ema_trend-LINKUSDT-1565049600-B,tb-ema_trend-LINKUSDT-1565294400-X
BTC/USDT,ema_trend,2019-08-07 08:00,11547.31,2019-08-11 11:59,11280.94,trailing,0.16781,3.8327716738,-48.5323213738,-0.025046,100.00,tb-ema_trend-BTCUSDT-1565150400-B,tb-ema_trend-BTCUSDT-1565510400-T
BTC/USDT,ema_trend,2019-08-13 04:00,11399.76,2019-08-13 15:59,11018.49,stop,0.21411,4.8024794508,-86.4361991508,-0.035413,12.00,tb-ema_trend-BTCUSDT-1565654400-B,tb-ema_trend-BTCUSDT-1565697600-X
BNB/USDT,ema_trend,2019-08-13 04:00,30.30,2019-08-13 15:59,29.23,stop,60.424,3.5988890200,-68.2525690200,-0.037279,12.00,tb-ema_trend-BNBUSDT-1565654400-B,tb-ema_trend-BNBUSDT-1565697600-X
LINK/USDT,ema_trend,2019-08-14 08:00,2.509,2019-08-14 19:59,2.344,stop,587.07,2.85053102000,-99.71708102000,-0.067698,12.00,tb-ema_trend-LINKUSDT-1565755200-B,tb-ema_trend-LINKUSDT-1565798400-X
LINK/USDT,ema_trend,2019-08-20 04:00,2.475,2019-08-21 03:59,2.324,stop,638.62,3.06632138000,-99.49794138000,-0.062950,24.00,tb-ema_trend-LINKUSDT-1566259200-B,tb-ema_trend-LINKUSDT-1566345600-X
ETH/USDT,ema_trend,2019-09-15 08:00,187.61,2019-09-19 03:59,202.90,trailing,12.5405,4.8995545410,186.8446904590,0.079416,92.00,tb-ema_trend-ETHUSDT-1568520000-B,tb-ema_trend-ETHUSDT-1568851200-T
ADA/USDT,ema_trend,2019-09-17 16:00,0.0488,2019-09-19 03:59,0.0511,trailing,36166.1,3.614764830000,79.567265170000,0.045083,36.00,tb-ema_trend-ADAUSDT-1568721600-B,tb-ema_trend-ADAUSDT-1568851200-T
LTC/USDT,ema_trend,2019-09-17 16:00,73.39,2019-09-19 03:59,73.16,trailing,18.027,2.6432512600,-6.7894612600,-0.005132,36.00,tb-ema_trend-LTCUSDT-1568721600-B,tb-ema_trend-LTCUSDT-1568851200-T
