pair,strategy,entry_time,entry_price,exit_time,exit_price,exit_reason,qty,fees_quote,pnl,pnl_pct,duration_hours,entry_client_order_id,exit_client_order_id
BTC/USDT,regime_bh,2019-08-06 00:00,11835.92,2019-08-08 00:00,11969.05,signal,0.42205,10.0519770316,46.1355394684,0.009236,48.00,tb-regime_bh-BTCUSDT-1565035200-B,tb-regime_bh-BTCUSDT-1565208000-S
BTC/USDT,regime_bh,2019-08-13 00:00,11404.05,2019-08-15 00:00,10050.13,signal,0.44009,9.4469018970,-605.2935546970,-0.120605,48.00,tb-regime_bh-BTCUSDT-1565640000-B,tb-regime_bh-BTCUSDT-1565812800-S
BTC/USDT,regime_bh,2019-08-16 00:00,10301.92,2019-08-18 00:00,10210.94,signal,0.45786,9.3967569644,-51.0528597644,-0.010824,48.00,tb-regime_bh-BTCUSDT-1565899200-B,tb-regime_bh-BTCUSDT-1566072000-S
BTC/USDT,regime_bh,2019-08-20 00:00,10920.19,2019-08-22 00:00,10135.74,signal,0.42945,9.0471648172,-345.9292173172,-0.073764,48.00,tb-regime_bh-BTCUSDT-1566244800-B,tb-regime_bh-BTCUSDT-1566417600-S
BTC/USDT,regime_bh,2019-08-23 00:00,10104.95,2019-08-30 00:00,9494.26,signal,0.44703,8.7659820760,-281.7627327760,-0.062375,168.00,tb-regime_bh-BTCUSDT-1566504000-B,tb-regime_bh-BTCUSDT-1567108800-S
BTC/USDT,regime_bh,2019-09-14 00:00,10349.31,2019-09-16 00:00,10298.18,signal,0.42296,8.7375125709,-30.3634573709,-0.006937,48.00,tb-regime_bh-BTCUSDT-1568404800-B,tb-regime_bh-BTCUSDT-1568577600-S
BTC/USDT,regime_bh,2019-09-17 00:00,10254.81,2019-09-18 00:00,10182.38,signal,0.42522,8.6947114965,-39.4933960965,-0.009057,24.00,tb-regime_bh-BTCUSDT-1568664000-B,tb-regime_bh-BTCUSDT-1568750400-S
BTC/USDT,regime_bh,2019-09-21 00:00,10173.01,2019-09-22 00:00,9980.15,signal,0.42674,8.6045338917,-90.9056102917,-0.020940,24.00,tb-regime_bh-BTCUSDT-1569009600-B,tb-regime_bh-BTCUSDT-1569096000-S
BTC/USDT,regime_bh,2019-10-27 00:00,9234.62,2019-11-09 00:00,8769.35,signal,0.46522,8.3801471978,-224.8330565978,-0.052334,312.00,tb-regime_bh-BTCUSDT-1572120000-B,tb-regime_bh-BTCUSDT-1573243200-S
BTC/USDT,regime_bh,2020-01-29 00:00,9380.03,2020-02-27 00:00,8781.60,signal,0.44608,8.1057609259,-275.0534153259,-0.065736,696.00,tb-regime_bh-BTCUSDT-1580241600-B,tb-regime_bh-BTCUSDT-1582747200-S
