pair,strategy,entry_time,entry_price,exit_time,exit_price,exit_reason,qty,fees_quote,pnl,pnl_pct,duration_hours,entry_client_order_id,exit_client_order_id
BTC/USDT,pullback_rsi,2019-09-14 00:00,10349.31,2019-09-14 16:00,10352.60,signal,0.06790,1.4063841407,-1.1829931407,-0.001683,16.00,tb-pullback_rsi-BTCUSDT-1568404800-B,tb-pullback_rsi-BTCUSDT-1568462400-S
LTC/USDT,pullback_rsi,2019-09-21 00:00,75.10,2019-09-23 00:00,72.22,signal,4.825,0.7111945000,-14.6071945000,-0.040312,48.00,tb-pullback_rsi-LTCUSDT-1569009600-B,tb-pullback_rsi-LTCUSDT-1569182400-S
ETH/USDT,pullback_rsi,2019-10-27 00:00,179.51,2019-10-27 16:00,183.64,signal,1.7548,0.6375787360,6.6097452640,0.020983,16.00,tb-pullback_rsi-ETHUSDT-1572120000-B,tb-pullback_rsi-ETHUSDT-1572177600-S
LINK/USDT,pullback_rsi,2019-10-27 00:00,2.734,2019-10-28 04:00,2.833,signal,90.47,0.50391989000,8.45261011000,0.034173,28.00,tb-pullback_rs-LINKUSDT-1572120000-B,tb-pullback_rs-LINKUSDT-1572220800-S
BTC/USDT,pullback_rsi,2019-10-29 04:00,9290.43,2019-10-29 08:00,9436.83,signal,0.03331,0.6241766505,4.2524073495,0.013741,4.00,tb-pullback_rsi-BTCUSDT-1572307200-B,tb-pullback_rsi-BTCUSDT-1572321600-S
LINK/USDT,pullback_rsi,2019-10-29 04:00,2.686,2019-10-29 08:00,2.739,signal,103.69,0.56281371000,4.93275629000,0.017711,4.00,tb-pullback_rs-LINKUSDT-1572307200-B,tb-pullback_rs-LINKUSDT-1572321600-S
BNB/USDT,pullback_rsi,2019-10-30 20:00,19.79,2019-10-31 00:00,20.03,signal,16.188,0.6449425900,3.2401774100,0.010114,4.00,tb-pullback_rsi-BNBUSDT-1572451200-B,tb-pullback_rsi-BNBUSDT-1572465600-S
LINK/USDT,pullback_rsi,2019-10-30 16:00,2.595,2019-10-31 00:00,2.603,signal,114.12,0.59350716000,0.31945284000,0.001079,8.00,tb-pullback_rs-LINKUSDT-1572436800-B,tb-pullback_rs-LINKUSDT-1572465600-S
ETH/USDT,pullback_rsi,2019-10-31 16:00,181.80,2019-10-31 20:00,182.85,signal,2.2182,0.8092847700,1.5198252300,0.003769,4.00,tb-pullback_rsi-ETHUSDT-1572523200-B,tb-pullback_rsi-ETHUSDT-1572537600-S
XRP/USDT,pullback_rsi,2019-10-31 16:00,0.2934,2019-11-01 00:00,0.2944,signal,1571.2,0.924020800000,0.647179200000,0.001404,8.00,tb-pullback_rsi-XRPUSDT-1572523200-B,tb-pullback_rsi-XRPUSDT-1572552000-S
