pair,strategy,entry_time,entry_price,exit_time,exit_price,exit_reason,qty,fees_quote,pnl,pnl_pct,duration_hours,entry_client_order_id,exit_client_order_id
BTC/USDT,pullback_rsi,2019-09-14 00:00,10364.82,2019-09-14 16:00,10337.06,signal,0.06790,1.4063831854,-3.2912871854,-0.004677,16.00,tb-pullback_rsi-BTCUSDT-1568404800-B,tb-pullback_rsi-BTCUSDT-1568462400-S
LTC/USDT,pullback_rsi,2019-09-21 00:00,75.22,2019-09-23 00:00,72.11,signal,4.824,0.7110960200,-15.7137360200,-0.043305,48.00,tb-pullback_rsi-LTCUSDT-1569009600-B,tb-pullback_rsi-LTCUSDT-1569182400-S
ETH/USDT,pullback_rsi,2019-10-27 00:00,179.78,2019-10-27 16:00,183.37,signal,1.7542,0.6373613300,5.6602166700,0.017948,16.00,tb-pullback_rsi-ETHUSDT-1572120000-B,tb-pullback_rsi-ETHUSDT-1572177600-S
LINK/USDT,pullback_rsi,2019-10-27 00:00,2.738,2019-10-28 04:00,2.829,signal,90.44,0.50375328000,7.72628672000,0.031202,28.00,tb-pullback_rs-LINKUSDT-1572120000-B,tb-pullback_rs-LINKUSDT-1572220800-S
BTC/USDT,pullback_rsi,2019-10-29 04:00,9304.36,2019-10-29 08:00,9422.67,signal,0.03330,0.6239822724,3.3157407276,0.010702,4.00,tb-pullback_rsi-BTCUSDT-1572307200-B,tb-pullback_rsi-BTCUSDT-1572321600-S
LINK/USDT,pullback_rsi,2019-10-29 04:00,2.690,2019-10-29 08:00,2.735,signal,103.64,0.56254290000,4.10125710000,0.014711,4.00,tb-pullback_rs-LINKUSDT-1572307200-B,tb-pullback_rs-LINKUSDT-1572321600-S
BNB/USDT,pullback_rsi,2019-10-30 20:00,19.82,2019-10-31 00:00,20.00,signal,16.177,0.6445050800,2.2673549200,0.007072,4.00,tb-pullback_rsi-BNBUSDT-1572451200-B,tb-pullback_rsi-BNBUSDT-1572465600-S
LINK/USDT,pullback_rsi,2019-10-30 16:00,2.599,2019-10-31 00:00,2.599,signal,114.05,0.59314378000,-0.59314378000,-0.002001,8.00,tb-pullback_rs-LINKUSDT-1572436800-B,tb-pullback_rs-LINKUSDT-1572465600-S
ETH/USDT,pullback_rsi,2019-10-31 16:00,182.07,2019-10-31 20:00,182.58,signal,2.2163,0.8085925520,0.3217204480,0.000797,4.00,tb-pullback_rsi-ETHUSDT-1572523200-B,tb-pullback_rsi-ETHUSDT-1572537600-S
XRP/USDT,pullback_rsi,2019-10-31 16:00,0.2939,2019-11-01 00:00,0.2940,signal,1569.9,0.923414450000,-0.766424450000,-0.001661,8.00,tb-pullback_rsi-XRPUSDT-1572523200-B,tb-pullback_rsi-XRPUSDT-1572552000-S
LTC/USDT,pullback_rsi,2019-11-01 08:00,57.88,2019-11-01 12:00,58.11,signal,6.743,0.7825257300,0.7683642700,0.001969,4.00,tb-pullback_rsi-LTCUSDT-1572580800-B,tb-pullback_rsi-LTCUSDT-1572595200-S
