pair,strategy,entry_time,entry_price,exit_time,exit_price,exit_reason,qty,fees_quote,pnl,pnl_pct,duration_hours,entry_client_order_id,exit_client_order_id
BTC/USDT,pullback_rsi,2019-09-14 00:00,10349.31,2019-09-14 16:00,10352.60,signal,0.13580,2.8127682814,-2.3659862814,-0.001683,16.00,tb-pullback_rsi-BTCUSDT-1568404800-B,tb-pullback_rsi-BTCUSDT-1568462400-S
LTC/USDT,pullback_rsi,2019-09-21 00:00,75.10,2019-09-23 00:00,72.22,signal,9.649,1.4222416800,-29.2113616800,-0.040312,48.00,tb-pullback_rsi-LTCUSDT-1569009600-B,tb-pullback_rsi-LTCUSDT-1569182400-S
ETH/USDT,pullback_rsi,2019-10-27 00:00,179.51,2019-10-27 16:00,183.64,signal,3.5041,1.2731601470,13.1987728530,0.020983,16.00,tb-pullback_rsi-ETHUSDT-1572120000-B,tb-pullback_rsi-ETHUSDT-1572177600-S
LINK/USDT,pullback_rsi,2019-10-27 00:00,2.734,2019-10-28 04:00,2.833,signal,180.67,1.00630935000,16.88002065000,0.034173,28.00,tb-pullback_rs-LINKUSDT-1572120000-B,tb-pullback_rs-LINKUSDT-1572220800-S
BTC/USDT,pullback_rsi,2019-10-29 04:00,9290.43,2019-10-29 08:00,9436.83,signal,0.06663,1.2484476610,8.5061843390,0.013741,4.00,tb-pullback_rsi-BTCUSDT-1572307200-B,tb-pullback_rsi-BTCUSDT-1572321600-S
LINK/USDT,pullback_rsi,2019-10-29 04:00,2.686,2019-10-29 08:00,2.739,signal,207.37,1.12554631000,9.86506369000,0.017711,4.00,tb-pullback_rs-LINKUSDT-1572307200-B,tb-pullback_rs-LINKUSDT-1572321600-S
BNB/USDT,pullback_rsi,2019-10-30 20:00,19.79,2019-10-31 00:00,20.03,signal,32.405,1.2910201700,6.4861798300,0.010114,4.00,tb-pullback_rsi-BNBUSDT-1572451200-B,tb-pullback_rsi-BNBUSDT-1572465600-S
LINK/USDT,pullback_rsi,2019-10-30 16:00,2.595,2019-10-31 00:00,2.603,signal,228.45,1.18807995000,0.63952005000,0.001079,8.00,tb-pullback_rs-LINKUSDT-1572436800-B,tb-pullback_rs-LINKUSDT-1572465600-S
ETH/USDT,pullback_rsi,2019-10-31 16:00,181.80,2019-10-31 20:00,182.85,signal,4.4344,1.6178220600,3.0382979400,0.003769,4.00,tb-pullback_rsi-ETHUSDT-1572523200-B,tb-pullback_rsi-ETHUSDT-1572537600-S
XRP/USDT,pullback_rsi,2019-10-31 16:00,0.2934,2019-11-01 00:00,0.2944,signal,3141.0,1.847218680000,1.293781320000,0.001404,8.00,tb-pullback_rsi-XRPUSDT-1572523200-B,tb-pullback_rsi-XRPUSDT-1572552000-S
ADA/USDT,pullback_rsi,2019-10-30 20:00,0.0419,2019-11-01 04:00,0.0417,signal,15959.5,1.334884600000,-4.526784600000,-0.006769,32.00,tb-pullback_rsi-ADAUSDT-1572451200-B,tb-pullback_rsi-ADAUSDT-1572566400-S
LTC/USDT,pullback_rsi,2019-11-01 08:00,57.79,2019-11-01 12:00,58.20,signal,13.514,1.5682979200,3.9724420800,0.005087,4.00,tb-pullback_rsi-LTCUSDT-1572580800-B,tb-pullback_rsi-LTCUSDT-1572595200-S
BNB/USDT,pullback_rsi,2019-11-01 12:00,19.89,2019-11-02 00:00,19.98,signal,38.597,1.5396381000,1.9340919000,0.002519,12.00,tb-pullback_rsi-BNBUSDT-1572595200-B,tb-pullback_rsi-BNBUSDT-1572638400-S
LINK/USDT,pullback_rsi,2019-11-01 20:00,2.662,2019-11-02 00:00,2.707,signal,266.88,1.43359746000,10.57600254000,0.014887,4.00,tb-pullback_rs-LINKUSDT-1572624000-B,tb-pullback_rs-LINKUSDT-1572638400-S
XRP/USDT,pullback_rsi,2019-11-01 20:00,0.2898,2019-11-02 00:00,0.2913,signal,3708.5,2.156110590000,3.406639410000,0.003170,4.00,tb-pullback_rsi-XRPUSDT-1572624000-B,tb-pullback_rsi-XRPUSDT-1572638400-S
