pair,strategy,entry_time,entry_price,exit_time,exit_price,exit_reason,qty,fees_quote,pnl,pnl_pct,duration_hours,entry_client_order_id,exit_client_order_id
BTC/USDT,pullback_rsi,2019-09-14 00:00,10354.48,2019-09-14 16:00,10347.42,signal,0.13580,2.8127676512,-3.7715156512,-0.002682,16.00,tb-pullback_rsi-BTCUSDT-1568404800-B,tb-pullback_rsi-BTCUSDT-1568462400-S
LTC/USDT,pullback_rsi,2019-09-21 00:00,75.14,2019-09-23 00:00,72.18,signal,9.648,1.4220947600,-29.9801747600,-0.041355,48.00,tb-pullback_rsi-LTCUSDT-1569009600-B,tb-pullback_rsi-LTCUSDT-1569182400-S
ETH/USDT,pullback_rsi,2019-10-27 00:00,179.60,2019-10-27 16:00,183.55,signal,3.5033,1.2728699600,12.5651650400,0.019970,16.00,tb-pullback_rsi-ETHUSDT-1572120000-B,tb-pullback_rsi-ETHUSDT-1572177600-S
LINK/USDT,pullback_rsi,2019-10-27 00:00,2.736,2019-10-28 04:00,2.832,signal,180.64,1.00632336000,16.33511664000,0.033052,28.00,tb-pullback_rs-LINKUSDT-1572120000-B,tb-pullback_rs-LINKUSDT-1572220800-S
BTC/USDT,pullback_rsi,2019-10-29 04:00,9295.07,2019-10-29 08:00,9432.11,signal,0.06661,1.2480681176,7.8801662824,0.012728,4.00,tb-pullback_rsi-BTCUSDT-1572307200-B,tb-pullback_rsi-BTCUSDT-1572321600-S
LINK/USDT,pullback_rsi,2019-10-29 04:00,2.687,2019-10-29 08:00,2.737,signal,207.30,1.12495947000,9.24004053000,0.016588,4.00,tb-pullback_rs-LINKUSDT-1572307200-B,tb-pullback_rs-LINKUSDT-1572321600-S
BNB/USDT,pullback_rsi,2019-10-30 20:00,19.80,2019-10-31 00:00,20.02,signal,32.388,1.2903435600,5.8350164400,0.009099,4.00,tb-pullback_rsi-BNBUSDT-1572451200-B,tb-pullback_rsi-BNBUSDT-1572465600-S
LINK/USDT,pullback_rsi,2019-10-30 16:00,2.597,2019-10-31 00:00,2.601,signal,228.35,1.18756061000,-0.27416061000,-0.000462,8.00,tb-pullback_rs-LINKUSDT-1572436800-B,tb-pullback_rs-LINKUSDT-1572465600-S
ETH/USDT,pullback_rsi,2019-10-31 16:00,181.89,2019-10-31 20:00,182.76,signal,4.4309,1.6165461860,2.2383368140,0.002777,4.00,tb-pullback_rsi-ETHUSDT-1572523200-B,tb-pullback_rsi-ETHUSDT-1572537600-S
XRP/USDT,pullback_rsi,2019-10-31 16:00,0.2936,2019-11-01 00:00,0.2942,signal,3138.5,1.845749820000,0.037350180000,0.000041,8.00,tb-pullback_rsi-XRPUSDT-1572523200-B,tb-pullback_rsi-XRPUSDT-1572552000-S
