pair,strategy,entry_time,entry_price,exit_time,exit_price,exit_reason,qty,fees_quote,pnl,pnl_pct,duration_hours,entry_client_order_id,exit_client_order_id
BTC/USDT,donchian,2019-08-06 08:00,12191.47,2019-08-06 23:59,11392.51,stop,0.03147,0.7426755097,-25.8859467097,-0.067470,16.00,tb-donchian-BTCUSDT-1565064000-B,tb-donchian-BTCUSDT-1565121600-X
BNB/USDT,donchian,2019-08-07 20:00,29.99,2019-08-10 07:59,29.23,trailing,14.571,0.8633444700,-11.9373044700,-0.027317,60.00,tb-donchian-BNBUSDT-1565193600-B,tb-donchian-BNBUSDT-1565409600-T
ADA/USDT,donchian,2019-08-25 04:00,0.0526,2019-08-25 23:59,0.0486,stop,6288.6,0.636737700000,-25.791137700000,-0.077971,20.00,tb-donchian-ADAUSDT-1566691200-B,tb-donchian-ADAUSDT-1566763200-X
ETH/USDT,donchian,2019-09-14 20:00,186.91,2019-09-19 03:59,202.90,trailing,3.0170,1.1766361910,47.0651938090,0.083463,104.00,tb-donchian-ETHUSDT-1568476800-B,tb-donchian-ETHUSDT-1568851200-T
XRP/USDT,donchian,2019-09-17 08:00,0.2671,2019-09-19 03:59,0.2909,trailing,2377.0,1.327007040000,55.245592960000,0.087015,44.00,tb-donchian-XRPUSDT-1568692800-B,tb-donchian-XRPUSDT-1568851200-T
BNB/USDT,donchian,2019-10-28 04:00,20.53,2019-11-03 23:59,19.81,trailing,12.350,0.4984658900,-9.3904658900,-0.037037,164.00,tb-donchian-BNBUSDT-1572220800-B,tb-donchian-BNBUSDT-1572811200-T
XRP/USDT,donchian,2019-11-07 00:00,0.3104,2019-11-07 07:59,0.2959,stop,1749.7,1.061401830000,-26.432051830000,-0.048668,8.00,tb-donchian-XRPUSDT-1573070400-B,tb-donchian-XRPUSDT-1573099200-X
ADA/USDT,donchian,2019-11-06 12:00,0.0453,2019-11-07 11:59,0.0428,trailing,9823.1,0.865863580000,-25.423613580000,-0.057133,24.00,tb-donchian-ADAUSDT-1573027200-B,tb-donchian-ADAUSDT-1573113600-T
BTC/USDT,donchian,2020-01-29 00:00,9380.03,2020-02-02 07:59,9132.04,trailing,0.05136,0.9513427126,-13.6881091126,-0.028413,104.00,tb-donchian-BTCUSDT-1580241600-B,tb-donchian-BTCUSDT-1580616000-T
ADA/USDT,donchian,2020-01-29 00:00,0.0530,2020-02-08 03:59,0.0571,trailing,4896.9,0.539413690000,19.537876310000,0.075280,244.00,tb-donchian-ADAUSDT-1580241600-B,tb-donchian-ADAUSDT-1581120000-T
LTC/USDT,donchian,2020-02-08 12:00,76.05,2020-02-10 11:59,72.40,trailing,4.368,0.6488098500,-16.5920098500,-0.049948,48.00,tb-donchian-LTCUSDT-1581148800-B,tb-donchian-LTCUSDT-1581321600-T
ETH/USDT,donchian,2020-02-02 08:00,187.27,2020-02-16 03:59,260.07,trailing,2.1960,0.9827706340,158.8860293660,0.386354,332.00,tb-donchian-ETHUSDT-1580616000-B,tb-donchian-ETHUSDT-1581811200-T
LINK/USDT,donchian,2020-02-11 12:00,3.631,2020-02-17 11:59,3.983,trailing,67.18,0.51176269000,23.13559731000,0.094845,144.00,tb-donchian-LINKUSDT-1581408000-B,tb-donchian-LINKUSDT-1581926400-T
BNB/USDT,donchian,2020-04-30 04:00,18.13,2020-04-30 11:59,17.14,stop,26.031,0.9186028800,-26.6892928800,-0.056552,8.00,tb-donchian-BNBUSDT-1588204800-B,tb-donchian-BNBUSDT-1588233600-X
BTC/USDT,donchian,2020-04-30 04:00,9294.62,2020-04-30 11:59,8686.98,stop,0.04200,0.7556919310,-26.2765719310,-0.067311,8.00,tb-donchian-BTCUSDT-1588204800-B,tb-donchian-BTCUSDT-1588233600-X
BTC/USDT,donchian,2020-05-07 16:00,9521.19,2020-05-10 03:59,9355.39,trailing,0.04046,0.7642224869,-7.4724904869,-0.019398,60.00,tb-donchian-BTCUSDT-1588852800-B,tb-donchian-BTCUSDT-1589068800-T
LINK/USDT,donchian,2020-05-09 12:00,4.095,2020-05-10 03:59,3.859,trailing,77.70,0.61835340000,-18.95555340000,-0.059575,16.00,tb-donchian-LINKUSDT-1589011200-B,tb-donchian-LINKUSDT-1589068800-T
ADA/USDT,donchian,2020-05-18 04:00,0.0546,2020-05-21 15:59,0.0532,trailing,7368.6,0.794739120000,-11.110779120000,-0.027616,84.00,tb-donchian-ADAUSDT-1589760000-B,tb-donchian-ADAUSDT-1590062400-T
LINK/USDT,donchian,2020-05-20 04:00,4.038,2020-05-21 15:59,3.814,trailing,104.69,0.82247006000,-24.27303006000,-0.057419,36.00,tb-donchian-LINKUSDT-1589932800-B,tb-donchian-LINKUSDT-1590062400-T
ADA/USDT,donchian,2020-05-28 16:00,0.0588,2020-05-31 23:59,0.0744,trailing,6021.9,0.802475760000,93.139164240000,0.263040,80.00,tb-donchian-ADAUSDT-1590667200-B,tb-donchian-ADAUSDT-1590955200-T
ETH/USDT,donchian,2020-05-29 00:00,220.36,2020-06-02 15:59,235.29,trailing,2.2723,1.0358803260,32.8895586740,0.065684,112.00,tb-donchian-ETHUSDT-1590696000-B,tb-donchian-ETHUSDT-1591099200-T
LINK/USDT,donchian,2020-06-01 04:00,4.366,2020-06-02 15:59,4.210,trailing,75.35,0.64655088000,-12.40115088000,-0.037696,36.00,tb-donchian-LINKUSDT-1590969600-B,tb-donchian-LINKUSDT-1591099200-T
ADA/USDT,donchian,2020-06-04 04:00,0.0884,2020-06-09 19:59,0.0830,trailing,2105.9,0.361145740000,-11.733005740000,-0.063026,136.00,tb-donchian-ADAUSDT-1591228800-B,tb-donchian-ADAUSDT-1591718400-T
