pair,strategy,entry_time,entry_price,exit_time,exit_price,exit_reason,qty,fees_quote,pnl,pnl_pct,duration_hours,entry_client_order_id,exit_client_order_id
BTC/USDT,donchian,2019-08-06 08:00,12209.75,2019-08-06 23:59,11393.65,stop,0.03147,0.7432873925,-26.4259543925,-0.068774,16.00,tb-donchian-BTCUSDT-1565064000-B,tb-donchian-BTCUSDT-1565121600-X
BNB/USDT,donchian,2019-08-07 20:00,30.03,2019-08-10 07:59,29.19,trailing,14.570,0.8632858500,-13.1020858500,-0.029945,60.00,tb-donchian-BNBUSDT-1565193600-B,tb-donchian-BNBUSDT-1565409600-T
ADA/USDT,donchian,2019-08-25 04:00,0.0527,2019-08-25 23:59,0.0486,stop,6287.5,0.637255760000,-26.416005760000,-0.079722,20.00,tb-donchian-ADAUSDT-1566691200-B,tb-donchian-ADAUSDT-1566763200-X
ETH/USDT,donchian,2019-09-14 20:00,187.19,2019-09-19 03:59,202.60,trailing,3.0163,1.1763038660,45.3048791340,0.080239,104.00,tb-donchian-ETHUSDT-1568476800-B,tb-donchian-ETHUSDT-1568851200-T
XRP/USDT,donchian,2019-09-17 08:00,0.2675,2019-09-19 03:59,0.2904,trailing,2376.2,1.326323980000,53.088656020000,0.083521,44.00,tb-donchian-XRPUSDT-1568692800-B,tb-donchian-XRPUSDT-1568851200-T
BNB/USDT,donchian,2019-10-28 04:00,20.56,2019-11-03 23:59,19.78,trailing,12.342,0.4981435600,-10.1249035600,-0.039901,164.00,tb-donchian-BNBUSDT-1572220800-B,tb-donchian-BNBUSDT-1572811200-T
XRP/USDT,donchian,2019-11-07 00:00,0.3108,2019-11-07 03:59,0.2959,stop,1748.3,1.061253050000,-27.110923050000,-0.049894,4.00,tb-donchian-XRPUSDT-1573070400-B,tb-donchian-XRPUSDT-1573084800-X
ADA/USDT,donchian,2019-11-06 12:00,0.0454,2019-11-07 11:59,0.0429,trailing,9816.2,0.867219920000,-25.407719920000,-0.057012,24.00,tb-donchian-ADAUSDT-1573027200-B,tb-donchian-ADAUSDT-1573113600-T
BTC/USDT,donchian,2020-01-29 00:00,9394.10,2020-02-02 07:59,9118.34,trailing,0.05132,0.9506220680,-15.1026252680,-0.031326,104.00,tb-donchian-BTCUSDT-1580241600-B,tb-donchian-BTCUSDT-1580616000-T
ADA/USDT,donchian,2020-01-29 00:00,0.0531,2020-02-08 03:59,0.0570,trailing,4893.3,0.539012520000,18.544857480000,0.071372,244.00,tb-donchian-ADAUSDT-1580241600-B,tb-donchian-ADAUSDT-1581120000-T
LTC/USDT,donchian,2020-02-08 12:00,76.17,2020-02-10 11:59,72.29,trailing,4.364,0.6482602900,-17.5805802900,-0.052889,48.00,tb-donchian-LTCUSDT-1581148800-B,tb-donchian-LTCUSDT-1581321600-T
ETH/USDT,donchian,2020-02-02 08:00,187.55,2020-02-16 03:59,259.68,trailing,2.1939,0.9815905050,157.2644164950,0.382205,332.00,tb-donchian-ETHUSDT-1580616000-B,tb-donchian-ETHUSDT-1581811200-T
LINK/USDT,donchian,2020-02-11 12:00,3.636,2020-02-17 11:59,3.977,trailing,67.11,0.51116295000,22.37334705000,0.091690,144.00,tb-donchian-LINKUSDT-1581408000-B,tb-donchian-LINKUSDT-1581926400-T
BNB/USDT,donchian,2020-04-30 04:00,18.16,2020-04-30 11:59,17.15,stop,25.997,0.9184443900,-27.1754143900,-0.057562,8.00,tb-donchian-BNBUSDT-1588204800-B,tb-donchian-BNBUSDT-1588233600-X
BTC/USDT,donchian,2020-04-30 04:00,9308.55,2020-04-30 11:59,8687.84,stop,0.04194,0.7552340245,-26.7878114245,-0.068616,8.00,tb-donchian-BTCUSDT-1588204800-B,tb-donchian-BTCUSDT-1588233600-X
BTC/USDT,donchian,2020-05-07 16:00,9535.47,2020-05-10 03:59,9341.35,trailing,0.04041,0.7632890662,-8.6076782662,-0.022339,60.00,tb-donchian-BTCUSDT-1588852800-B,tb-donchian-BTCUSDT-1589068800-T
LINK/USDT,donchian,2020-05-09 12:00,4.101,2020-05-10 03:59,3.853,trailing,77.59,0.61747894000,-19.85979894000,-0.062414,16.00,tb-donchian-LINKUSDT-1589011200-B,tb-donchian-LINKUSDT-1589068800-T
ADA/USDT,donchian,2020-05-18 04:00,0.0547,2020-05-21 15:59,0.0531,trailing,7356.6,0.793446260000,-12.564006260000,-0.031222,84.00,tb-donchian-ADAUSDT-1589760000-B,tb-donchian-ADAUSDT-1590062400-T
LINK/USDT,donchian,2020-05-20 04:00,4.044,2020-05-21 15:59,3.808,trailing,104.51,0.82105736000,-25.48541736000,-0.060301,36.00,tb-donchian-LINKUSDT-1589932800-B,tb-donchian-LINKUSDT-1590062400-T
ADA/USDT,donchian,2020-05-28 16:00,0.0589,2020-05-31 23:59,0.0743,trailing,6010.4,0.800944570000,91.759215430000,0.259198,80.00,tb-donchian-ADAUSDT-1590667200-B,tb-donchian-ADAUSDT-1590955200-T
ETH/USDT,donchian,2020-05-29 00:00,220.69,2020-06-02 15:59,234.94,trailing,2.2678,1.0337852990,31.2823647010,0.062505,112.00,tb-donchian-ETHUSDT-1590696000-B,tb-donchian-ETHUSDT-1591099200-T
