ts,datetime_utc,equity,B&H BTC,Equiponderado,B&H BTC filtrado
1564631999999,2019-08-01 03:59,10000,9893.3650626898000000,9890.2418974524000000,10000.00000000
1564646399999,2019-08-01 07:59,10000,9865.7989331131000000,9887.7570958413000000,10000.00000000
1564660799999,2019-08-01 11:59,10000,9868.4436174814000000,9882.7907627457000000,10000.00000000
1564675199999,2019-08-01 15:59,10000,9918.9600604714000000,9905.0132330307000000,10000.00000000
1564689599999,2019-08-01 19:59,10000,10186.2712853677000000,9962.6681440071000000,10000.00000000
1564703999999,2019-08-01 23:59,10000,10276.6660027651000000,10013.1575488623000000,10000.00000000
1564718399999,2019-08-02 03:59,10000,10237.8178675873000000,9934.1714444319000000,10000.00000000
1564732799999,2019-08-02 07:59,10000,10431.6425257105000000,10041.4200788415000000,10000.00000000
1564747199999,2019-08-02 11:59,10000,10367.9719971733000000,9969.9157848114000000,10000.00000000
1564761599999,2019-08-02 15:59,10000,10511.5674626686000000,9961.9831664703000000,10000.00000000
1564775999999,2019-08-02 19:59,10000,10345.4277963409000000,9868.5161646327000000,10000.00000000
1564790399999,2019-08-02 23:59,10000,10424.0155333375000000,9918.8319966345000000,10000.00000000
1564804799999,2019-08-03 03:59,10000,10676.3699290348000000,9994.6701371799000000,10000.00000000
1564819199999,2019-08-03 07:59,10000,10725.1628698522000000,10004.0079053646000000,10000.00000000
1564833599999,2019-08-03 11:59,10000,10642.0979892808000000,9973.6819283979000000,10000.00000000
1564847999999,2019-08-03 15:59,10000,10631.3310532945000000,9955.9913575770000000,10000.00000000
1564862399999,2019-08-03 19:59,10000,10747.7665017940000000,9983.3954825205000000,10000.00000000
1564876799999,2019-08-03 23:59,10000,10714.3464079414000000,9980.5110466437000000,10000.00000000
1564891199999,2019-08-04 03:59,10000,10653.0927445198000000,9879.4144357524000000,10000.00000000
1564905599999,2019-08-04 07:59,10000,10568.8788625000000000,9841.9414761225000000,10000.00000000
1564919999999,2019-08-04 11:59,10000,10567.4525158744000000,9871.4014694397000000,10000.00000000
1564934399999,2019-08-04 15:59,10000,10840.4295065335000000,9945.9351393615000000,10000.00000000
1564948799999,2019-08-04 19:59,10000,10817.6376760786000000,9941.3352760293000000,10000.00000000
1564963199999,2019-08-04 23:59,10000,10825.6509706627000000,9930.7055495961000000,10000.00000000
1564977599999,2019-08-05 03:59,10000,11453.3821585153000000,10130.5161062289000000,10000.00000000
1564991999999,2019-08-05 07:59,10000,11560.5859746880000000,10117.5785116740000000,10000.00000000
1565006399999,2019-08-05 11:59,10000,11666.0167627636000000,10319.9941356318000000,10000.00000000
1565020799999,2019-08-05 15:59,10000,11638.6091161453000000,10244.5088973309000000,10000.00000000
1565035199999,2019-08-05 19:59,10000,11641.0556968156000000,10229.6057275188000000,10000.00000000
1565049599999,2019-08-05 23:59,10000,11716.6916887120000000,10211.4595176930000000,10000.00000000
1565063999999,2019-08-06 03:59,10000,11598.8397987718000000,10135.3297672494000000,9883.5672392784000000
1565078399999,2019-08-06 07:59,10000,12069.7520992876000000,10254.4189549533000000,10284.8384160288000000
1565092799999,2019-08-06 11:59,9973.1745801205000000,11666.0266679485000000,10088.0684477775000000,9940.8181414680000000
1565107199999,2019-08-06 15:59,9968.2851949000000000,11589.1129072000000000,10046.9940178230000000,9875.2788144000000000
1565121599999,2019-08-06 19:59,9968.9148646000000000,11599.0180921000000000,10015.8004775880000000,9883.7191656000000000
1565135999999,2019-08-06 23:59,9948.12680307,11372.8728156481000000,9989.0938124448000000,9691.0175073528000000
1565150399999,2019-08-07 03:59,9948.12680307,11530.1077207507000000,10024.4404800951000000,9824.9996423016000000
1565164799999,2019-08-07 07:59,9948.12680307,11429.2531280989000000,9930.8285096712000000,9739.0599863832000000
1565179199999,2019-08-07 11:59,9948.12680307,11632.6362896506000000,10006.7133168033000000,9912.3657175728000000
1565193599999,2019-08-07 15:59,9948.12680307,11552.2160934475000000,9943.6580000385000000,9843.8385061800000000
1565207999999,2019-08-07 19:59,9948.12680307,11681.0033075173000000,9980.8237881474000000,9953.5799524824000000
1565222399999,2019-08-07 23:59,9937.9350143382000000,11861.5352075047000000,10026.4206229701000000,10107.4137934536000000
1565236799999,2019-08-08 03:59,9955.3786629285000000,11842.6460199004000000,10018.7294132787000000,10092.20294463
1565251199999,2019-08-08 07:59,9979.1678347437000000,11807.0071646302000000,10024.1232596331000000,10092.20294463
1565265599999,2019-08-08 11:59,9985.3156962282000000,11714.7601776565000000,9975.7563365715000000,10092.20294463
1565279999999,2019-08-08 15:59,9968.5638637293000000,11581.9910792569000000,9941.6994988002000000,10092.20294463
1565294399999,2019-08-08 19:59,9966.3721438431000000,11505.7310607118000000,9908.7974860479000000,10092.20294463
1565308799999,2019-08-08 23:59,9979.7346588522000000,11886.0406349473000000,9998.8001432979000000,10092.20294463
1565323199999,2019-08-09 03:59,9986.7283963140000000,11758.5609052843000000,9928.5744732639000000,10092.20294463
1565337599999,2019-08-09 07:59,9968.7644322600000000,11760.8886237358000000,9853.3247867754000000,10092.20294463
1565351999999,2019-08-09 11:59,9941.2225941675000000,11594.0754048349000000,9637.8862261902000000,10092.20294463
1565366399999,2019-08-09 15:59,9946.9635050100000000,11632.0716941113000000,9641.3710421859000000,10092.20294463
1565380799999,2019-08-09 19:59,9948.1872637263000000,11724.9922336582000000,9623.1867055251000000,10092.20294463
1565395199999,2019-08-09 23:59,9942.2777590464000000,11767.3963302151000000,9595.1349361743000000,10092.20294463
1565409599999,2019-08-10 03:59,9932.2551460920000000,11726.8246928647000000,9655.6152145551000000,10092.20294463
1565423999999,2019-08-10 07:59,9924.28655466,11717.6326812775000000,9744.6436096425000000,10092.20294463
1565438399999,2019-08-10 11:59,9924.28655466,11287.2325870027000000,9510.3984486831000000,10092.20294463
1565452799999,2019-08-10 15:59,9924.28655466,11305.6958516563000000,9599.4534797079000000,10092.20294463
1565467199999,2019-08-10 19:59,9924.28655466,11221.7295992590000000,9695.4438836175000000,10092.20294463
1565481599999,2019-08-10 23:59,9924.28655466,11202.1272383419000000,9694.7451113892000000,10092.20294463
