pair,strategy,entry_time,entry_price,exit_time,exit_price,exit_reason,qty,fees_quote,pnl,pnl_pct,duration_hours,entry_client_order_id,exit_client_order_id
BTC/USDT,donchian,2019-08-06 08:00,12191.47,2019-08-06 23:59,11392.51,stop,0.06296,1.4857007841,-51.7882223841,-0.067470,16.00,tb-donchian-BTCUSDT-1565064000-B,tb-donchian-BTCUSDT-1565121600-X
BNB/USDT,donchian,2019-08-07 20:00,29.99,2019-08-10 07:59,29.23,trailing,29.067,1.7222474400,-23.8131674400,-0.027317,60.00,tb-donchian-BNBUSDT-1565193600-B,tb-donchian-BNBUSDT-1565409600-T
ADA/USDT,donchian,2019-08-25 04:00,0.0526,2019-08-25 23:59,0.0486,stop,12529.5,1.268648160000,-51.386648160000,-0.077971,20.00,tb-donchian-ADAUSDT-1566691200-B,tb-donchian-ADAUSDT-1566763200-X
ETH/USDT,donchian,2019-09-14 20:00,186.91,2019-09-19 03:59,202.90,trailing,5.9956,2.3382849870,93.5313590130,0.083463,104.00,tb-donchian-ETHUSDT-1568476800-B,tb-donchian-ETHUSDT-1568851200-T
XRP/USDT,donchian,2019-09-17 08:00,0.2671,2019-09-19 03:59,0.2909,trailing,4739.7,2.646034680000,110.158825320000,0.087015,44.00,tb-donchian-XRPUSDT-1568692800-B,tb-donchian-XRPUSDT-1568851200-T
ADA/USDT,donchian,2019-09-17 16:00,0.0488,2019-09-19 03:59,0.0511,trailing,19755.4,1.974530700000,43.462889300000,0.045083,36.00,tb-donchian-ADAUSDT-1568721600-B,tb-donchian-ADAUSDT-1568851200-T
BNB/USDT,donchian,2019-10-28 04:00,20.53,2019-11-03 23:59,19.81,trailing,24.902,1.0050599300,-18.9344999300,-0.037037,164.00,tb-donchian-BNBUSDT-1572220800-B,tb-donchian-BNBUSDT-1572811200-T
XRP/USDT,donchian,2019-11-07 00:00,0.3104,2019-11-07 07:59,0.2959,stop,3522.5,2.136809190000,-53.213059190000,-0.048668,8.00,tb-donchian-XRPUSDT-1573070400-B,tb-donchian-XRPUSDT-1573099200-X
ADA/USDT,donchian,2019-11-06 12:00,0.0453,2019-11-07 11:59,0.0428,trailing,19787.1,1.744144980000,-51.211894980000,-0.057133,24.00,tb-donchian-ADAUSDT-1573027200-B,tb-donchian-ADAUSDT-1573113600-T
BTC/USDT,donchian,2020-01-29 00:00,9380.03,2020-02-02 07:59,9132.04,trailing,0.10293,1.9064791712,-27.4320898712,-0.028413,104.00,tb-donchian-BTCUSDT-1580241600-B,tb-donchian-BTCUSDT-1580616000-T
ADA/USDT,donchian,2020-01-29 00:00,0.0530,2020-02-08 03:59,0.0571,trailing,9813.0,1.080936000000,39.152364000000,0.075280,244.00,tb-donchian-ADAUSDT-1580241600-B,tb-donchian-ADAUSDT-1581120000-T
XRP/USDT,donchian,2020-02-02 12:00,0.2550,2020-02-08 03:59,0.2640,trailing,3319.1,1.723479900000,28.148420100000,0.033258,136.00,tb-donchian-XRPUSDT-1580630400-B,tb-donchian-XRPUSDT-1581120000-T
LTC/USDT,donchian,2020-02-08 12:00,76.05,2020-02-10 11:59,72.40,trailing,8.937,1.3273821000,-33.9474321000,-0.049948,48.00,tb-donchian-LTCUSDT-1581148800-B,tb-donchian-LTCUSDT-1581321600-T
BTC/USDT,donchian,2020-02-11 20:00,10251.72,2020-02-15 15:59,9960.95,trailing,0.11720,2.3701551304,-36.4483991304,-0.030336,92.00,tb-donchian-BTCUSDT-1581436800-B,tb-donchian-BTCUSDT-1581768000-T
ETH/USDT,donchian,2020-01-29 08:00,178.12,2020-02-16 03:59,260.07,trailing,5.4327,2.3815344740,442.8282305260,0.457622,428.00,tb-donchian-ETHUSDT-1580270400-B,tb-donchian-ETHUSDT-1581811200-T
LINK/USDT,donchian,2020-02-08 20:00,3.430,2020-02-17 11:59,3.983,trailing,151.70,1.12510090000,82.76499910000,0.159062,208.00,tb-donchian-LINKUSDT-1581177600-B,tb-donchian-LINKUSDT-1581926400-T
ADA/USDT,donchian,2020-04-30 04:00,0.0542,2020-04-30 07:59,0.0498,stop,12250.8,1.274749860000,-55.178269860000,-0.083101,4.00,tb-donchian-ADAUSDT-1588204800-B,tb-donchian-ADAUSDT-1588219200-X
BNB/USDT,donchian,2020-04-30 04:00,18.13,2020-04-30 11:59,17.14,stop,53.825,1.8993867700,-55.1861367700,-0.056552,8.00,tb-donchian-BNBUSDT-1588204800-B,tb-donchian-BNBUSDT-1588233600-X
BTC/USDT,donchian,2020-04-30 04:00,9294.62,2020-04-30 11:59,8686.98,stop,0.08686,1.5627182890,-54.3423286890,-0.067311,8.00,tb-donchian-BTCUSDT-1588204800-B,tb-donchian-BTCUSDT-1588233600-X
BTC/USDT,donchian,2020-05-07 16:00,9521.19,2020-05-10 03:59,9355.39,trailing,0.08280,1.5638377291,-15.2920777291,-0.019397,60.00,tb-donchian-BTCUSDT-1588852800-B,tb-donchian-BTCUSDT-1589068800-T
LINK/USDT,donchian,2020-05-09 12:00,4.095,2020-05-10 03:59,3.859,trailing,159.05,1.26573890000,-38.80153890000,-0.059575,16.00,tb-donchian-LINKUSDT-1589011200-B,tb-donchian-LINKUSDT-1589068800-T
ADA/USDT,donchian,2020-05-18 04:00,0.0546,2020-05-21 15:59,0.0532,trailing,15035.6,1.621662140000,-22.671502140000,-0.027616,84.00,tb-donchian-ADAUSDT-1589760000-B,tb-donchian-ADAUSDT-1590062400-T
LINK/USDT,donchian,2020-05-20 04:00,4.038,2020-05-21 15:59,3.814,trailing,213.85,1.68003856000,-49.58243856000,-0.057419,36.00,tb-donchian-LINKUSDT-1589932800-B,tb-donchian-LINKUSDT-1590062400-T
ADA/USDT,donchian,2020-05-28 16:00,0.0588,2020-05-31 23:59,0.0744,trailing,12244.3,1.631664000000,189.379416000000,0.263040,80.00,tb-donchian-ADAUSDT-1590667200-B,tb-donchian-ADAUSDT-1590955200-T
BNB/USDT,donchian,2020-05-30 08:00,17.31,2020-05-31 23:59,16.89,trailing,66.238,2.2664993700,-30.0864593700,-0.026240,40.00,tb-donchian-BNBUSDT-1590811200-B,tb-donchian-BNBUSDT-1590955200-T
ETH/USDT,donchian,2020-05-29 00:00,220.36,2020-06-02 15:59,235.29,trailing,4.6372,2.1139758740,67.1194201260,0.065684,112.00,tb-donchian-ETHUSDT-1590696000-B,tb-donchian-ETHUSDT-1591099200-T
LINK/USDT,donchian,2020-06-01 04:00,4.366,2020-06-02 15:59,4.210,trailing,154.81,1.32834912000,-25.47870912000,-0.037696,36.00,tb-donchian-LINKUSDT-1590969600-B,tb-donchian-LINKUSDT-1591099200-T
BTC/USDT,donchian,2020-06-02 00:00,10207.82,2020-06-02 15:59,9716.01,trailing,0.09864,1.9663073768,-50.4784457768,-0.050133,16.00,tb-donchian-BTCUSDT-1591041600-B,tb-donchian-BTCUSDT-1591099200-T
ADA/USDT,donchian,2020-06-04 04:00,0.0884,2020-06-09 19:59,0.0830,trailing,4296.6,0.736826200000,-23.938466200000,-0.063026,136.00,tb-donchian-ADAUSDT-1591228800-B,tb-donchian-ADAUSDT-1591718400-T
BTC/USDT,donchian,2020-06-23 00:00,9690.54,2020-06-24 11:59,9412.26,trailing,0.16343,3.1236179940,-48.6029183940,-0.030689,36.00,tb-donchian-BTCUSDT-1592856000-B,tb-donchian-BTCUSDT-1592985600-T
LINK/USDT,donchian,2020-06-22 04:00,4.299,2020-06-24 15:59,4.540,trailing,251.59,2.22492175000,58.40826825000,0.054002,60.00,tb-donchian-LINKUSDT-1592784000-B,tb-donchian-LINKUSDT-1593000000-T
ETH/USDT,donchian,2020-06-22 16:00,241.62,2020-06-24 15:59,236.04,trailing,5.5785,2.6659793820,-33.7940093820,-0.025072,48.00,tb-donchian-ETHUSDT-1592827200-B,tb-donchian-ETHUSDT-1593000000-T
ADA/USDT,donchian,2020-07-25 16:00,0.1379,2020-07-27 03:59,0.1391,trailing,5630.0,1.560296030000,5.195703970000,0.006692,36.00,tb-donchian-ADAUSDT-1595678400-B,tb-donchian-ADAUSDT-1595808000-T
