pair,strategy,entry_time,entry_price,exit_time,exit_price,exit_reason,qty,fees_quote,pnl,pnl_pct,duration_hours,entry_client_order_id,exit_client_order_id
BTC/USDT,donchian,2019-08-06 08:00,12209.75,2019-08-06 23:59,11393.65,stop,0.06296,1.4869247425,-52.8685807425,-0.068774,16.00,tb-donchian-BTCUSDT-1565064000-B,tb-donchian-BTCUSDT-1565121600-X
BNB/USDT,donchian,2019-08-07 20:00,30.03,2019-08-10 07:59,29.19,trailing,29.064,1.7220709800,-26.1358309800,-0.029945,60.00,tb-donchian-BNBUSDT-1565193600-B,tb-donchian-BNBUSDT-1565409600-T
ADA/USDT,donchian,2019-08-25 04:00,0.0527,2019-08-25 23:59,0.0486,stop,12525.2,1.269466780000,-52.622786780000,-0.079722,20.00,tb-donchian-ADAUSDT-1566691200-B,tb-donchian-ADAUSDT-1566763200-X
ETH/USDT,donchian,2019-09-14 20:00,187.19,2019-09-19 03:59,202.60,trailing,5.9929,2.3370956310,90.0134933690,0.080239,104.00,tb-donchian-ETHUSDT-1568476800-B,tb-donchian-ETHUSDT-1568851200-T
XRP/USDT,donchian,2019-09-17 08:00,0.2675,2019-09-19 03:59,0.2904,trailing,4736.7,2.643888930000,105.826541070000,0.083521,44.00,tb-donchian-XRPUSDT-1568692800-B,tb-donchian-XRPUSDT-1568851200-T
ADA/USDT,donchian,2019-09-17 16:00,0.0489,2019-09-19 03:59,0.0510,trailing,19739.1,1.972904310000,39.479205690000,0.040901,36.00,tb-donchian-ADAUSDT-1568721600-B,tb-donchian-ADAUSDT-1568851200-T
BNB/USDT,donchian,2019-10-28 04:00,20.56,2019-11-03 23:59,19.78,trailing,24.862,1.0034470800,-20.3958070800,-0.039901,164.00,tb-donchian-BNBUSDT-1572220800-B,tb-donchian-BNBUSDT-1572811200-T
XRP/USDT,donchian,2019-11-07 00:00,0.3108,2019-11-07 03:59,0.2959,stop,3515.5,2.133972730000,-54.514922730000,-0.049894,4.00,tb-donchian-XRPUSDT-1573070400-B,tb-donchian-XRPUSDT-1573084800-X
ADA/USDT,donchian,2019-11-06 12:00,0.0454,2019-11-07 11:59,0.0429,trailing,19752.1,1.745009350000,-51.125259350000,-0.057012,24.00,tb-donchian-ADAUSDT-1573027200-B,tb-donchian-ADAUSDT-1573113600-T
BTC/USDT,donchian,2020-01-29 00:00,9394.10,2020-02-02 07:59,9118.34,trailing,0.10273,1.9028163140,-30.2316411140,-0.031326,104.00,tb-donchian-BTCUSDT-1580241600-B,tb-donchian-BTCUSDT-1580616000-T
ADA/USDT,donchian,2020-01-29 00:00,0.0531,2020-02-08 03:59,0.0570,trailing,9794.2,1.078867110000,37.118512890000,0.071372,244.00,tb-donchian-ADAUSDT-1580241600-B,tb-donchian-ADAUSDT-1581120000-T
XRP/USDT,donchian,2020-02-02 12:00,0.2554,2020-02-08 03:59,0.2636,trailing,3311.0,1.719277360000,25.430922640000,0.030073,136.00,tb-donchian-XRPUSDT-1580630400-B,tb-donchian-XRPUSDT-1581120000-T
LTC/USDT,donchian,2020-02-08 12:00,76.17,2020-02-10 11:59,72.29,trailing,8.912,1.3237610500,-35.9023210500,-0.052889,48.00,tb-donchian-LTCUSDT-1581148800-B,tb-donchian-LTCUSDT-1581321600-T
BTC/USDT,donchian,2020-02-11 20:00,10267.09,2020-02-15 15:59,9946.00,trailing,0.11684,2.3629294864,-39.8790850864,-0.033243,92.00,tb-donchian-BTCUSDT-1581436800-B,tb-donchian-BTCUSDT-1581768000-T
ETH/USDT,donchian,2020-01-29 08:00,178.39,2020-02-16 03:59,259.68,trailing,5.4209,2.3757148060,438.2892461940,0.453230,428.00,tb-donchian-ETHUSDT-1580270400-B,tb-donchian-ETHUSDT-1581811200-T
LINK/USDT,donchian,2020-02-08 20:00,3.435,2020-02-17 11:59,3.977,trailing,151.26,1.12168872000,80.86123128000,0.155629,208.00,tb-donchian-LINKUSDT-1581177600-B,tb-donchian-LINKUSDT-1581926400-T
ADA/USDT,donchian,2020-04-30 04:00,0.0542,2020-04-30 07:59,0.0498,stop,12205.7,1.270059460000,-54.975139460000,-0.083101,4.00,tb-donchian-ADAUSDT-1588204800-B,tb-donchian-ADAUSDT-1588219200-X
BNB/USDT,donchian,2020-04-30 04:00,18.16,2020-04-30 11:59,17.15,stop,53.627,1.8945500100,-56.0578200100,-0.057562,8.00,tb-donchian-BNBUSDT-1588204800-B,tb-donchian-BNBUSDT-1588233600-X
BTC/USDT,donchian,2020-04-30 04:00,9308.55,2020-04-30 11:59,8687.84,stop,0.08654,1.5582453565,-55.2744887565,-0.068616,8.00,tb-donchian-BTCUSDT-1588204800-B,tb-donchian-BTCUSDT-1588233600-X
BTC/USDT,donchian,2020-05-07 16:00,9535.47,2020-05-10 03:59,9341.35,trailing,0.08248,1.5578183079,-17.5688359079,-0.022338,60.00,tb-donchian-BTCUSDT-1588852800-B,tb-donchian-BTCUSDT-1589068800-T
LINK/USDT,donchian,2020-05-09 12:00,4.101,2020-05-10 03:59,3.853,trailing,158.41,1.26064930000,-40.54632930000,-0.062414,16.00,tb-donchian-LINKUSDT-1589011200-B,tb-donchian-LINKUSDT-1589068800-T
ADA/USDT,donchian,2020-05-18 04:00,0.0547,2020-05-21 15:59,0.0531,trailing,14971.0,1.614694300000,-25.568294300000,-0.031222,84.00,tb-donchian-ADAUSDT-1589760000-B,tb-donchian-ADAUSDT-1590062400-T
LINK/USDT,donchian,2020-05-20 04:00,4.044,2020-05-21 15:59,3.808,trailing,212.89,1.67250196000,-51.91454196000,-0.060301,36.00,tb-donchian-LINKUSDT-1589932800-B,tb-donchian-LINKUSDT-1590062400-T
ADA/USDT,donchian,2020-05-28 16:00,0.0589,2020-05-31 23:59,0.0743,trailing,12185.0,1.623760580000,186.025239420000,0.259198,80.00,tb-donchian-ADAUSDT-1590667200-B,tb-donchian-ADAUSDT-1590955200-T
BNB/USDT,donchian,2020-05-30 08:00,17.34,2020-05-31 23:59,16.86,trailing,65.900,2.2549244400,-33.8869244400,-0.029655,40.00,tb-donchian-BNBUSDT-1590811200-B,tb-donchian-BNBUSDT-1590955200-T
ETH/USDT,donchian,2020-05-29 00:00,220.69,2020-06-02 15:59,234.94,trailing,4.6142,2.1034051910,63.6489448090,0.062505,112.00,tb-donchian-ETHUSDT-1590696000-B,tb-donchian-ETHUSDT-1591099200-T
LINK/USDT,donchian,2020-06-01 04:00,4.373,2020-06-02 15:59,4.204,trailing,153.94,1.32104306000,-27.33690306000,-0.040609,36.00,tb-donchian-LINKUSDT-1590969600-B,tb-donchian-LINKUSDT-1591099200-T
BTC/USDT,donchian,2020-06-02 00:00,10223.12,2020-06-02 15:59,9716.70,trailing,0.09808,1.9567198616,-51.6263934616,-0.051488,16.00,tb-donchian-BTCUSDT-1591041600-B,tb-donchian-BTCUSDT-1591099200-T
ADA/USDT,donchian,2020-06-04 04:00,0.0886,2020-06-09 19:59,0.0829,trailing,4270.5,0.732771730000,-25.074621730000,-0.066271,136.00,tb-donchian-ADAUSDT-1591228800-B,tb-donchian-ADAUSDT-1591718400-T
BTC/USDT,donchian,2020-06-23 00:00,9705.07,2020-06-24 11:59,9411.19,trailing,0.16236,3.1053658371,-50.8197226371,-0.032252,36.00,tb-donchian-BTCUSDT-1592856000-B,tb-donchian-BTCUSDT-1592985600-T
LINK/USDT,donchian,2020-06-22 04:00,4.305,2020-06-24 15:59,4.533,trailing,250.02,2.21079606000,54.79376394000,0.050908,60.00,tb-donchian-LINKUSDT-1592784000-B,tb-donchian-LINKUSDT-1593000000-T
ETH/USDT,donchian,2020-06-22 16:00,241.98,2020-06-24 15:59,235.68,trailing,5.5430,2.6490244680,-37.5699244680,-0.028010,48.00,tb-donchian-ETHUSDT-1592827200-B,tb-donchian-ETHUSDT-1593000000-T
ADA/USDT,donchian,2020-07-25 16:00,0.1381,2020-07-27 03:59,0.1389,trailing,5588.3,1.548732460000,2.921907540000,0.003786,36.00,tb-donchian-ADAUSDT-1595678400-B,tb-donchian-ADAUSDT-1595808000-T
BNB/USDT,donchian,2020-07-25 04:00,19.79,2020-07-27 15:59,18.71,trailing,42.139,1.6232024700,-47.1333224700,-0.056519,60.00,tb-donchian-BNBUSDT-1595635200-B,tb-donchian-BNBUSDT-1595851200-T
LTC/USDT,donchian,2020-07-25 04:00,47.07,2020-08-02 07:59,58.99,trailing,21.354,2.2658407800,252.2738392200,0.250986,196.00,tb-donchian-LTCUSDT-1595635200-B,tb-donchian-LTCUSDT-1596340800-T
BTC/USDT,donchian,2020-07-27 04:00,10269.35,2020-08-02 07:59,11307.51,trailing,0.13174,2.8439732480,133.9232251520,0.098991,148.00,tb-donchian-BTCUSDT-1595808000-B,tb-donchian-BTCUSDT-1596340800-T
XRP/USDT,donchian,2020-07-29 00:00,0.2308,2020-08-02 07:59,0.2917,trailing,2897.0,1.514351820000,174.912948180000,0.261600,104.00,tb-donchian-XRPUSDT-1595966400-B,tb-donchian-XRPUSDT-1596340800-T
BNB/USDT,donchian,2020-08-03 12:00,22.45,2020-08-07 19:59,21.98,trailing,27.024,1.2013049200,-13.9025849200,-0.022916,104.00,tb-donchian-BNBUSDT-1596441600-B,tb-donchian-BNBUSDT-1596816000-T
LINK/USDT,donchian,2020-08-04 00:00,9.269,2020-08-07 19:59,9.192,trailing,44.57,0.82327022000,-4.25516022000,-0.010300,92.00,tb-donchian-LINKUSDT-1596484800-B,tb-donchian-LINKUSDT-1596816000-T
LINK/USDT,donchian,2020-08-08 04:00,10.329,2020-08-17 23:59,17.156,trailing,45.04,1.23844085000,306.24963915000,0.658293,236.00,tb-donchian-LINKUSDT-1596844800-B,tb-donchian-LINKUSDT-1597694400-T
ETH/USDT,donchian,2020-08-14 00:00,425.39,2020-08-19 07:59,411.44,trailing,1.5946,1.3350897380,-23.5797597380,-0.034762,128.00,tb-donchian-ETHUSDT-1597348800-B,tb-donchian-ETHUSDT-1597809600-T
LTC/USDT,donchian,2020-08-16 04:00,61.63,2020-08-19 19:59,60.71,trailing,10.708,1.3106946500,-11.1620546500,-0.016914,88.00,tb-donchian-LTCUSDT-1597536000-B,tb-donchian-LTCUSDT-1597852800-T
LINK/USDT,donchian,2020-08-30 04:00,17.144,2020-08-31 23:59,15.424,trailing,26.80,0.87333672000,-46.96933672000,-0.102227,44.00,tb-donchian-LINKUSDT-1598745600-B,tb-donchian-LINKUSDT-1598904000-T
ETH/USDT,donchian,2020-08-30 20:00,425.92,2020-09-02 11:59,445.99,trailing,2.2278,1.9434207120,42.7685252880,0.045073,64.00,tb-donchian-ETHUSDT-1598803200-B,tb-donchian-ETHUSDT-1599033600-T
BNB/USDT,donchian,2020-08-30 20:00,23.78,2020-09-02 11:59,23.29,trailing,40.799,1.9213839100,-21.9128939100,-0.022586,64.00,tb-donchian-BNBUSDT-1598803200-B,tb-donchian-BNBUSDT-1599033600-T
