pair,strategy,entry_time,entry_price,exit_time,exit_price,exit_reason,qty,fees_quote,pnl,pnl_pct,duration_hours,entry_client_order_id,exit_client_order_id
BTC/USDT,supertrend,2019-08-07 14:00,12040.86,2019-08-07 16:59,11592.91,trailing,0.05223,1.2351142594,-24.6315427594,-0.039166,3.00,tb-supertrend-BTCUSDT-1565182800-B,tb-supertrend-BTCUSDT-1565193600-T
BNB/USDT,supertrend,2019-08-07 13:00,28.59,2019-08-08 14:59,30.32,trailing,27.998,1.6501912900,46.7863487100,0.058449,26.00,tb-supertrend-BNBUSDT-1565179200-B,tb-supertrend-BNBUSDT-1565272800-T
LINK/USDT,supertrend,2019-08-13 17:00,2.427,2019-08-14 16:59,2.397,trailing,245.22,1.18354803000,-8.54014803000,-0.014350,24.00,tb-supertrend-LINKUSDT-1565712000-B,tb-supertrend-LINKUSDT-1565798400-T
ADA/USDT,supertrend,2019-08-14 00:00,0.0527,2019-08-14 16:59,0.0508,trailing,10674.1,1.105333240000,-21.386123240000,-0.038018,17.00,tb-supertrend-ADAUSDT-1565737200-B,tb-supertrend-ADAUSDT-1565798400-T
ADA/USDT,supertrend,2019-08-17 10:00,0.0480,2019-08-17 18:59,0.0462,trailing,13200.1,1.244087820000,-25.004267820000,-0.039464,9.00,tb-supertrend-ADAUSDT-1566032400-B,tb-supertrend-ADAUSDT-1566064800-T
XRP/USDT,supertrend,2019-08-17 06:00,0.2676,2019-08-19 00:59,0.2787,trailing,2507.0,1.370269860000,26.457430140000,0.039437,43.00,tb-supertrend-XRPUSDT-1566018000-B,tb-supertrend-XRPUSDT-1566172800-T
LINK/USDT,supertrend,2019-08-23 08:00,2.282,2019-08-23 21:59,2.192,trailing,249.43,1.11652032000,-23.56522032000,-0.041401,14.00,tb-supertrend-LINKUSDT-1566543600-B,tb-supertrend-LINKUSDT-1566594000-T
LTC/USDT,supertrend,2019-08-21 21:00,73.75,2019-08-24 08:59,73.29,trailing,7.627,1.1220640800,-4.6304840800,-0.008232,60.00,tb-supertrend-LTCUSDT-1566417600-B,tb-supertrend-LTCUSDT-1566633600-T
XRP/USDT,supertrend,2019-08-25 08:00,0.2747,2019-08-25 14:59,0.2681,trailing,3637.4,1.975397110000,-25.982237110000,-0.026003,7.00,tb-supertrend-XRPUSDT-1566716400-B,tb-supertrend-XRPUSDT-1566741600-T
ADA/USDT,supertrend,2019-08-24 18:00,0.0503,2019-08-25 16:59,0.0503,trailing,13531.8,1.361983160000,-1.361983160000,-0.002001,23.00,tb-supertrend-ADAUSDT-1566666000-B,tb-supertrend-ADAUSDT-1566748800-T
ETH/USDT,supertrend,2019-08-26 01:00,192.88,2019-08-26 16:59,187.92,trailing,3.8118,1.4522856760,-20.3588136760,-0.027691,16.00,tb-supertrend-ETHUSDT-1566777600-B,tb-supertrend-ETHUSDT-1566835200-T
LTC/USDT,supertrend,2019-08-26 01:00,74.86,2019-08-27 02:59,72.57,trailing,7.840,1.1564500800,-19.1100500800,-0.032561,26.00,tb-supertrend-LTCUSDT-1566777600-B,tb-supertrend-LTCUSDT-1566871200-T
LINK/USDT,supertrend,2019-08-27 13:00,2.101,2019-08-27 21:59,2.082,trailing,315.00,1.31831732000,-7.30331732000,-0.011035,9.00,tb-supertrend-LINKUSDT-1566907200-B,tb-supertrend-LINKUSDT-1566939600-T
ADA/USDT,supertrend,2019-08-27 23:00,0.0499,2019-08-28 15:59,0.0485,trailing,18189.6,1.790769810000,-27.256209810000,-0.030029,17.00,tb-supertrend-ADAUSDT-1566943200-B,tb-supertrend-ADAUSDT-1567004400-T
XRP/USDT,supertrend,2019-08-29 18:00,0.2581,2019-08-30 18:59,0.2528,trailing,2678.9,1.369346880000,-15.567516880000,-0.022515,25.00,tb-supertrend-XRPUSDT-1567098000-B,tb-supertrend-XRPUSDT-1567188000-T
LTC/USDT,supertrend,2019-09-14 14:00,69.79,2019-09-15 14:59,69.52,trailing,15.566,2.1696161000,-6.3724361000,-0.005866,25.00,tb-supertrend-LTCUSDT-1568466000-B,tb-supertrend-LTCUSDT-1568556000-T
ADA/USDT,supertrend,2019-09-14 14:00,0.0459,2019-09-16 10:59,0.0465,trailing,23403.3,2.163543570000,11.878436430000,0.011058,45.00,tb-supertrend-ADAUSDT-1568466000-B,tb-supertrend-ADAUSDT-1568628000-T
BNB/USDT,supertrend,2019-09-17 08:00,20.51,2019-09-18 12:59,21.87,trailing,45.331,1.9220712400,59.7280887600,0.064242,29.00,tb-supertrend-BNBUSDT-1568703600-B,tb-supertrend-BNBUSDT-1568808000-T
XRP/USDT,supertrend,2019-09-17 08:00,0.2671,2019-09-19 00:59,0.3009,trailing,4751.5,2.700134080000,157.900565920000,0.124417,41.00,tb-supertrend-XRPUSDT-1568703600-B,tb-supertrend-XRPUSDT-1568851200-T
ADA/USDT,supertrend,2019-09-21 06:00,0.0532,2019-09-21 21:59,0.0511,trailing,10657.8,1.112177780000,-23.493557780000,-0.041435,16.00,tb-supertrend-ADAUSDT-1569042000-B,tb-supertrend-ADAUSDT-1569099600-T
LTC/USDT,supertrend,2019-10-27 15:00,59.82,2019-10-28 04:59,58.36,trailing,7.712,0.9118827200,-12.1714027200,-0.026383,14.00,tb-supertrend-LTCUSDT-1572184800-B,tb-supertrend-LTCUSDT-1572235200-T
ADA/USDT,supertrend,2019-10-27 15:00,0.0427,2019-10-28 23:59,0.0420,trailing,10657.6,0.903155610000,-8.363475610000,-0.018378,33.00,tb-supertrend-ADAUSDT-1572184800-B,tb-supertrend-ADAUSDT-1572303600-T
BTC/USDT,supertrend,2019-10-31 13:00,9308.57,2019-10-31 21:59,9038.21,trailing,0.07775,1.4272068331,-22.4476968331,-0.031016,9.00,tb-supertrend-BTCUSDT-1572523200-B,tb-supertrend-BTCUSDT-1572555600-T
BNB/USDT,supertrend,2019-10-31 14:00,20.33,2019-10-31 21:59,19.52,trailing,29.892,1.1918061000,-25.4043261000,-0.041804,8.00,tb-supertrend-BNBUSDT-1572526800-B,tb-supertrend-BNBUSDT-1572555600-T
XRP/USDT,supertrend,2019-11-02 17:00,0.2962,2019-11-03 05:59,0.2912,trailing,4290.1,2.521278400000,-23.971778400000,-0.018865,13.00,tb-supertrend-XRPUSDT-1572710400-B,tb-supertrend-XRPUSDT-1572757200-T
ADA/USDT,supertrend,2019-11-02 12:00,0.0423,2019-11-03 08:59,0.0416,trailing,25934.2,2.176979180000,-20.330919180000,-0.018533,21.00,tb-supertrend-ADAUSDT-1572692400-B,tb-supertrend-ADAUSDT-1572768000-T
LTC/USDT,supertrend,2019-11-04 08:00,58.84,2019-11-07 02:59,62.64,trailing,20.428,2.4828290800,75.1435709200,0.062516,67.00,tb-supertrend-LTCUSDT-1572850800-B,tb-supertrend-LTCUSDT-1573092000-T
BNB/USDT,supertrend,2019-11-04 02:00,20.38,2019-11-07 07:59,20.43,trailing,57.608,2.3521645200,0.5282354800,0.000450,78.00,tb-supertrend-BNBUSDT-1572829200-B,tb-supertrend-BNBUSDT-1573110000-T
LTC/USDT,supertrend,2020-01-29 02:00,61.56,2020-01-30 00:59,59.15,trailing,7.804,0.9425133200,-19.7501533200,-0.041111,23.00,tb-supertrend-LTCUSDT-1580259600-B,tb-supertrend-LTCUSDT-1580342400-T
ETH/USDT,supertrend,2020-01-30 18:00,179.67,2020-01-31 10:59,180.25,trailing,4.0990,1.4760666940,0.9013533060,0.001224,17.00,tb-supertrend-ETHUSDT-1580403600-B,tb-supertrend-ETHUSDT-1580464800-T
XRP/USDT,supertrend,2020-01-30 19:00,0.2406,2020-01-31 10:59,0.2383,trailing,3241.0,1.552908880000,-9.007208880000,-0.011551,16.00,tb-supertrend-XRPUSDT-1580407200-B,tb-supertrend-XRPUSDT-1580464800-T
ADA/USDT,supertrend,2020-02-01 19:00,0.0559,2020-02-02 23:59,0.0559,trailing,11176.1,1.250114060000,-1.250114060000,-0.002001,29.00,tb-supertrend-ADAUSDT-1580580000-B,tb-supertrend-ADAUSDT-1580684400-T
ETH/USDT,supertrend,2020-02-02 07:00,186.14,2020-02-03 16:59,186.93,trailing,4.3012,1.6054677040,1.7924802960,0.002239,34.00,tb-supertrend-ETHUSDT-1580623200-B,tb-supertrend-ETHUSDT-1580745600-T
XRP/USDT,supertrend,2020-02-04 15:00,0.2607,2020-02-06 13:59,0.2726,trailing,2364.9,1.261826850000,26.880483150000,0.043600,47.00,tb-supertrend-XRPUSDT-1580824800-B,tb-supertrend-XRPUSDT-1580994000-T
BNB/USDT,supertrend,2020-02-05 03:00,18.83,2020-02-08 01:59,21.40,trailing,51.471,2.0716574900,130.2088125100,0.134347,71.00,tb-supertrend-BNBUSDT-1580868000-B,tb-supertrend-BNBUSDT-1581123600-T
XRP/USDT,supertrend,2020-02-08 09:00,0.2797,2020-02-09 15:59,0.2766,trailing,2240.4,1.246977830000,-8.192217830000,-0.013073,31.00,tb-supertrend-XRPUSDT-1581148800-B,tb-supertrend-XRPUSDT-1581260400-T
ADA/USDT,supertrend,2020-02-08 09:00,0.0611,2020-02-09 15:59,0.0602,trailing,10278.0,1.247350730000,-10.497550730000,-0.016716,31.00,tb-supertrend-ADAUSDT-1581148800-B,tb-supertrend-ADAUSDT-1581260400-T
LINK/USDT,supertrend,2020-02-10 00:00,3.495,2020-02-10 05:59,3.326,trailing,151.49,1.03387249000,-26.63568249000,-0.050307,6.00,tb-supertrend-LINKUSDT-1581289200-B,tb-supertrend-LINKUSDT-1581310800-T
BTC/USDT,supertrend,2020-02-11 16:00,10170.09,2020-02-13 08:59,10252.25,trailing,0.10242,2.0927747777,6.3220524223,0.006069,41.00,tb-supertrend-BTCUSDT-1581433200-B,tb-supertrend-BTCUSDT-1581580800-T
ADA/USDT,supertrend,2020-02-11 16:00,0.0613,2020-02-13 08:59,0.0679,trailing,14534.7,1.878778220000,94.050241780000,0.105559,41.00,tb-supertrend-ADAUSDT-1581433200-B,tb-supertrend-ADAUSDT-1581580800-T
BNB/USDT,supertrend,2020-02-14 19:00,26.52,2020-02-15 06:00,25.57,trailing,23.696,1.2349611200,-23.7461611200,-0.037787,11.00,tb-supertrend-BNBUSDT-1581703200-B,tb-supertrend-BNBUSDT-1581742800-T
