ts,datetime_utc,equity,B&H BTC,Equiponderado,B&H BTC filtrado
1564621199999,2019-08-01 00:59,10000,9947.8435796398000000,9932.4209401884000000,10000.00000000
1564624799999,2019-08-01 01:59,10000,9925.3290943621000000,9903.0609391788000000,10000.00000000
1564628399999,2019-08-01 02:59,10000,9934.2239504023000000,9908.7185533014000000,10000.00000000
1564631999999,2019-08-01 03:59,10000,9893.3650626898000000,9890.2418974524000000,10000.00000000
1564635599999,2019-08-01 04:59,10000,9882.7268941072000000,9885.4644594726000000,10000.00000000
1564639199999,2019-08-01 05:59,10000,9814.6485582895000000,9855.0072732465000000,10000.00000000
1564642799999,2019-08-01 06:59,10000,9862.3420235830000000,9878.8302539190000000,10000.00000000
1564646399999,2019-08-01 07:59,10000,9865.7989331131000000,9887.7570958413000000,10000.00000000
1564649999999,2019-08-01 08:59,10000,9874.2480558328000000,9885.1173341454000000,10000.00000000
1564653599999,2019-08-01 09:59,10000,9876.2191876279000000,9893.2050740097000000,10000.00000000
1564657199999,2019-08-01 10:59,10000,9849.7525335751000000,9856.7572197483000000,10000.00000000
1564660799999,2019-08-01 11:59,10000,9868.4436174814000000,9882.7907627457000000,10000.00000000
1564664399999,2019-08-01 12:59,10000,9929.3307890617000000,9909.7506824391000000,10000.00000000
1564667999999,2019-08-01 13:59,10000,9949.9731943933000000,9912.4572688434000000,10000.00000000
1564671599999,2019-08-01 14:59,10000,9899.9619158332000000,9890.8069751091000000,10000.00000000
1564675199999,2019-08-01 15:59,10000,9918.9600604714000000,9905.0132330307000000,10000.00000000
1564678799999,2019-08-01 16:59,10000,9956.4511853179000000,9926.8910667972000000,10000.00000000
1564682399999,2019-08-01 17:59,10000,9989.8613739856000000,9945.9241860258000000,10000.00000000
1564685999999,2019-08-01 18:59,10000,10073.9762041564000000,9953.2781977527000000,10000.00000000
1564689599999,2019-08-01 19:59,10000,10186.2712853677000000,9962.6681440071000000,10000.00000000
1564693199999,2019-08-01 20:59,10000,10288.5621298300000000,10006.1453638665000000,10000.00000000
1564696799999,2019-08-01 21:59,10000,10308.3526892602000000,10016.5407819426000000,10000.00000000
1564700399999,2019-08-01 22:59,10000,10276.5570457312000000,10016.4922530201000000,10000.00000000
1564703999999,2019-08-01 23:59,10000,10276.6660027651000000,10013.1575488623000000,10000.00000000
1564707599999,2019-08-02 00:59,10000,10276.6660027651000000,9959.1210594423000000,10000.00000000
1564711199999,2019-08-02 01:59,10000,10286.5117565557000000,9971.5003924176000000,10000.00000000
1564714799999,2019-08-02 02:59,10000,10278.6371345602000000,9960.2053917246000000,10000.00000000
1564718399999,2019-08-02 03:59,10000,10237.8178675873000000,9934.1714444319000000,10000.00000000
1564721999999,2019-08-02 04:59,10000,10270.8516592288000000,9949.0669515144000000,10000.00000000
1564725599999,2019-08-02 05:59,10000,10333.5217640911000000,9964.4528203443000000,10000.00000000
1564729199999,2019-08-02 06:59,10000,10356.2244478819000000,10005.6360245157000000,10000.00000000
1564732799999,2019-08-02 07:59,10000,10431.6425257105000000,10041.4200788415000000,10000.00000000
1564736399999,2019-08-02 08:59,10000,10401.4614273202000000,10017.2316009321000000,10000.00000000
1564739999999,2019-08-02 09:59,10000,10344.9424422808000000,9970.8335366409000000,10000.00000000
1564743599999,2019-08-02 10:59,10000,10396.3305415420000000,9997.2998447400000000,10000.00000000
1564747199999,2019-08-02 11:59,10000,10367.9719971733000000,9969.9157848114000000,10000.00000000
1564750799999,2019-08-02 12:59,10000,10454.7513220822000000,9992.3831622441000000,10000.00000000
1564754399999,2019-08-02 13:59,10000,10444.9451890312000000,9986.0607085266000000,10000.00000000
1564757999999,2019-08-02 14:59,10000,10489.6373833000000000,10001.8913656230000000,10000.00000000
1564761599999,2019-08-02 15:59,10000,10511.5674626686000000,9961.9831664703000000,10000.00000000
1564765199999,2019-08-02 16:59,10000,10324.0127865871000000,9840.0226850343000000,10000.00000000
1564768799999,2019-08-02 17:59,10000,10342.3769993917000000,9861.8843222136000000,10000.00000000
1564772399999,2019-08-02 18:59,10000,10357.1456300776000000,9880.6048817148000000,10000.00000000
1564775999999,2019-08-02 19:59,10000,10345.4277963409000000,9868.5161646327000000,10000.00000000
1564779599999,2019-08-02 20:59,10000,10284.6693921643000000,9838.1684245509000000,10000.00000000
1564783199999,2019-08-02 21:59,10000,10310.1257173573000000,9853.0128357804000000,10000.00000000
1564786799999,2019-08-02 22:59,10000,10415.5069795084000000,9910.0226780712000000,10000.00000000
1564790399999,2019-08-02 23:59,10000,10424.0155333375000000,9918.8319966345000000,10000.00000000
1564793999999,2019-08-03 00:59,10000,10417.0224727981000000,9901.3678929198000000,10000.00000000
1564797599999,2019-08-03 01:59,10000,10541.3127329233000000,9962.1504244449000000,10000.00000000
1564801199999,2019-08-03 02:59,10000,10687.4439257530000000,10020.2632433550000000,10000.00000000
1564804799999,2019-08-03 03:59,10000,10676.3699290348000000,9994.6701371799000000,10000.00000000
1564808399999,2019-08-03 04:59,10000,10743.5171774719000000,10007.6772502467000000,10000.00000000
1564811999999,2019-08-03 05:59,10000,10675.7558075710000000,9972.9589729770000000,10000.00000000
1564815599999,2019-08-03 06:59,10000,10696.6458425251000000,9991.9332264303000000,10000.00000000
1564819199999,2019-08-03 07:59,10000,10725.1628698522000000,10004.0079053646000000,10000.00000000
1564822799999,2019-08-03 08:59,10000,10682.6399110765000000,9965.7020626515000000,10000.00000000
1564826399999,2019-08-03 09:59,10000,10661.3734790962000000,9959.2405859961000000,10000.00000000
1564829999999,2019-08-03 10:59,10000,10665.9694848898000000,9980.2087050879000000,10000.00000000
1564833599999,2019-08-03 11:59,10000,10642.0979892808000000,9973.6819283979000000,10000.00000000
1564837199999,2019-08-03 12:59,10000,10630.1424311065000000,9973.8113752215000000,10000.00000000
1564840799999,2019-08-03 13:59,10000,10693.6841922400000000,9998.9010019800000000,10000.00000000
1564844399999,2019-08-03 14:59,10000,10689.2070486652000000,9993.0477814596000000,10000.00000000
1564847999999,2019-08-03 15:59,10000,10631.3310532945000000,9955.9913575770000000,10000.00000000
1564851599999,2019-08-03 16:59,10000,10691.2475167546000000,9990.4443557913000000,10000.00000000
1564855199999,2019-08-03 17:59,10000,10726.9160875795000000,9997.9641312885000000,10000.00000000
1564858799999,2019-08-03 18:59,10000,10743.1903063702000000,9987.7495674771000000,10000.00000000
1564862399999,2019-08-03 19:59,10000,10747.7665017940000000,9983.3954825205000000,10000.00000000
1564865999999,2019-08-03 20:59,10000,10774.7086047220000000,9987.9564110265000000,10000.00000000
1564869599999,2019-08-03 21:59,10000,10728.2136668014000000,9961.2782626797000000,10000.00000000
1564873199999,2019-08-03 22:59,10000,10718.0707574638000000,9979.3898412714000000,10000.00000000
1564876799999,2019-08-03 23:59,10000,10714.3464079414000000,9980.5110466437000000,10000.00000000
1564880399999,2019-08-04 00:59,10000,10730.9871185734000000,9978.5994556482000000,10000.00000000
1564883999999,2019-08-04 01:59,10000,10746.2906292439000000,9983.3576991417000000,10000.00000000
1564887599999,2019-08-04 02:59,10000,10701.6083401600000000,9951.0937206165000000,10000.00000000
1564891199999,2019-08-04 03:59,10000,10653.0927445198000000,9879.4144357524000000,10000.00000000
1564894799999,2019-08-04 04:59,10000,10510.7057115823000000,9827.0858227464000000,10000.00000000
1564898399999,2019-08-04 05:59,10000,10509.1307871832000000,9826.5947396211000000,10000.00000000
1564901999999,2019-08-04 06:59,10000,10608.4996021000000000,9864.0639520020000000,10000.00000000
1564905599999,2019-08-04 07:59,10000,10568.8788625000000000,9841.9414761225000000,10000.00000000
1564909199999,2019-08-04 08:59,10000,10561.9353278851000000,9844.9250917203000000,10000.00000000
1564912799999,2019-08-04 09:59,10000,10637.6901820003000000,9895.9719931209000000,10000.00000000
1564916399999,2019-08-04 10:59,10000,10615.2351278320000000,9890.0285559075000000,10000.00000000
1564919999999,2019-08-04 11:59,10000,10567.4525158744000000,9871.4014694397000000,10000.00000000
1564923599999,2019-08-04 12:59,10000,10547.6124305197000000,9880.2402998616000000,10000.00000000
1564927199999,2019-08-04 13:59,10000,10556.8539680314000000,9932.1756194547000000,10000.00000000
1564930799999,2019-08-04 14:59,10000,10669.8126966310000000,9962.5472471250000000,10000.00000000
1564934399999,2019-08-04 15:59,10000,10840.4295065335000000,9945.9351393615000000,10000.00000000
1564937999999,2019-08-04 16:59,10000,10814.7255517180000000,9947.5676497170000000,10000.00000000
1564941599999,2019-08-04 17:59,10000,10793.4194989981000000,9927.6808835898000000,10000.00000000
1564945199999,2019-08-04 18:59,10000,10803.5326927810000000,9943.9489825065000000,10000.00000000
1564948799999,2019-08-04 19:59,10000,10817.6376760786000000,9941.3352760293000000,10000.00000000
1564952399999,2019-08-04 20:59,10000,10810.0701148150000000,9939.1651226550000000,10000.00000000
1564955999999,2019-08-04 21:59,10000,10841.2120161406000000,9944.7742181448000000,10000.00000000
1564959599999,2019-08-04 22:59,10000,10840.7464724503000000,9930.5782617114000000,10000.00000000
1564963199999,2019-08-04 23:59,10000,10825.6509706627000000,9930.7055495961000000,10000.00000000
