pair,strategy,entry_time,entry_price,exit_time,exit_price,exit_reason,qty,fees_quote,pnl,pnl_pct,duration_hours,entry_client_order_id,exit_client_order_id
BTC/USDT,supertrend,2019-08-07 14:00,12040.86,2019-08-07 16:59,11592.91,trailing,0.10456,2.4724714862,-49.3101234862,-0.039166,3.00,tb-supertrend-BTCUSDT-1565182800-B,tb-supertrend-BTCUSDT-1565193600-T
BNB/USDT,supertrend,2019-08-07 13:00,28.59,2019-08-08 14:59,30.32,trailing,55.997,3.3004129000,93.5743971000,0.058449,26.00,tb-supertrend-BNBUSDT-1565179200-B,tb-supertrend-BNBUSDT-1565272800-T
LINK/USDT,supertrend,2019-08-13 17:00,2.427,2019-08-14 16:59,2.397,trailing,491.54,2.37240246000,-17.11860246000,-0.014350,24.00,tb-supertrend-LINKUSDT-1565712000-B,tb-supertrend-LINKUSDT-1565798400-T
ADA/USDT,supertrend,2019-08-14 00:00,0.0527,2019-08-14 16:59,0.0508,trailing,21391.9,2.215194700000,-42.859804700000,-0.038018,17.00,tb-supertrend-ADAUSDT-1565737200-B,tb-supertrend-ADAUSDT-1565798400-T
ADA/USDT,supertrend,2019-08-17 10:00,0.0480,2019-08-17 18:59,0.0462,trailing,26372.8,2.485584960000,-49.956624960000,-0.039464,9.00,tb-supertrend-ADAUSDT-1566032400-B,tb-supertrend-ADAUSDT-1566064800-T
XRP/USDT,supertrend,2019-08-17 06:00,0.2676,2019-08-19 00:59,0.2787,trailing,5010.2,2.738437020000,52.874782980000,0.039437,43.00,tb-supertrend-XRPUSDT-1566018000-B,tb-supertrend-XRPUSDT-1566172800-T
LINK/USDT,supertrend,2019-08-23 08:00,2.282,2019-08-23 21:59,2.192,trailing,498.66,2.23214584000,-47.11154584000,-0.041401,14.00,tb-supertrend-LINKUSDT-1566543600-B,tb-supertrend-LINKUSDT-1566594000-T
LTC/USDT,supertrend,2019-08-21 21:00,73.75,2019-08-24 08:59,73.29,trailing,15.245,2.2428048000,-9.2555048000,-0.008232,60.00,tb-supertrend-LTCUSDT-1566417600-B,tb-supertrend-LTCUSDT-1566633600-T
BTC/USDT,supertrend,2019-08-23 14:00,10353.92,2019-08-24 08:59,10174.77,trailing,0.16516,3.3922786036,-32.9806926036,-0.019286,19.00,tb-supertrend-BTCUSDT-1566565200-B,tb-supertrend-BTCUSDT-1566633600-T
XRP/USDT,supertrend,2019-08-25 08:00,0.2747,2019-08-25 14:59,0.2681,trailing,7236.2,3.929814670000,-51.688734670000,-0.026003,7.00,tb-supertrend-XRPUSDT-1566716400-B,tb-supertrend-XRPUSDT-1566741600-T
BTC/USDT,supertrend,2019-08-25 13:00,10302.35,2019-08-25 14:59,10012.30,trailing,0.15891,3.2298494045,-49.3216949045,-0.030127,2.00,tb-supertrend-BTCUSDT-1566734400-B,tb-supertrend-BTCUSDT-1566741600-T
ADA/USDT,supertrend,2019-08-24 18:00,0.0503,2019-08-25 16:59,0.0503,trailing,26879.8,2.705465980000,-2.705465980000,-0.002001,23.00,tb-supertrend-ADAUSDT-1566666000-B,tb-supertrend-ADAUSDT-1566748800-T
XRP/USDT,supertrend,2019-08-26 01:00,0.2768,2019-08-26 08:59,0.2678,trailing,5181.5,2.823284260000,-49.456784260000,-0.034483,8.00,tb-supertrend-XRPUSDT-1566777600-B,tb-supertrend-XRPUSDT-1566806400-T
ETH/USDT,supertrend,2019-08-26 01:00,192.88,2019-08-26 16:59,187.92,trailing,7.5133,2.8625305320,-40.1284985320,-0.027691,16.00,tb-supertrend-ETHUSDT-1566777600-B,tb-supertrend-ETHUSDT-1566835200-T
LTC/USDT,supertrend,2019-08-26 01:00,74.86,2019-08-27 02:59,72.57,trailing,15.453,2.2794335500,-37.6668035500,-0.032561,26.00,tb-supertrend-LTCUSDT-1566777600-B,tb-supertrend-LTCUSDT-1566871200-T
LINK/USDT,supertrend,2019-08-27 13:00,2.101,2019-08-27 21:59,2.082,trailing,615.26,2.57493520000,-14.26487520000,-0.011035,9.00,tb-supertrend-LINKUSDT-1566907200-B,tb-supertrend-LINKUSDT-1566939600-T
ADA/USDT,supertrend,2019-08-27 23:00,0.0499,2019-08-28 15:59,0.0485,trailing,35500.9,3.495065000000,-53.196325000000,-0.030029,17.00,tb-supertrend-ADAUSDT-1566943200-B,tb-supertrend-ADAUSDT-1567004400-T
