pair,strategy,entry_time,entry_price,exit_time,exit_price,exit_reason,qty,fees_quote,pnl,pnl_pct,duration_hours,entry_client_order_id,exit_client_order_id
XRP/USDT,donchian,2021-02-01 04:00,0.5548,2021-02-01 15:59,0.4678,trailing,164.8,0.168635440000,-14.506235440000,-0.158658,12.00,tb-donchian-XRPUSDT-1612137600-B,tb-donchian-XRPUSDT-1612180800-T
LINK/USDT,donchian,2021-03-09 00:00,31.839,2021-03-11 03:59,28.758,trailing,7.44,0.45116007000,-23.37380007000,-0.098673,52.00,tb-donchian-LINKUSDT-1615233600-B,tb-donchian-LINKUSDT-1615420800-T
SOL/USDT,donchian,2021-03-11 20:00,15.74,2021-03-12 23:59,14.26,trailing,13.841,0.4154503600,-20.9001303600,-0.095935,28.00,tb-donchian-SOLUSDT-1615478400-B,tb-donchian-SOLUSDT-1615579200-T
ETH/USDT,donchian,2021-03-10 00:00,1871.44,2021-03-15 07:59,1772.49,trailing,0.1565,0.5706493380,-16.0563243380,-0.054822,128.00,tb-donchian-ETHUSDT-1615320000-B,tb-donchian-ETHUSDT-1615780800-T
LTC/USDT,donchian,2021-03-13 00:00,220.92,2021-03-15 07:59,206.70,trailing,1.007,0.4310551800,-14.7505951800,-0.066305,56.00,tb-donchian-LTCUSDT-1615579200-B,tb-donchian-LTCUSDT-1615780800-T
ADA/USDT,donchian,2021-03-16 20:00,1.2269,2021-03-18 19:59,1.2546,trailing,153.1,0.380163030000,3.860706970000,0.020553,48.00,tb-donchian-ADAUSDT-1615910400-B,tb-donchian-ADAUSDT-1616083200-T
SOL/USDT,donchian,2021-03-22 12:00,16.41,2021-03-22 23:59,14.95,stop,17.116,0.5370531400,-25.5264131400,-0.090882,12.00,tb-donchian-SOLUSDT-1616400000-B,tb-donchian-SOLUSDT-1616443200-X
XRP/USDT,donchian,2021-03-20 20:00,0.5287,2021-03-24 19:59,0.5091,trailing,534.6,0.555125100000,-11.033285100000,-0.039036,96.00,tb-donchian-XRPUSDT-1616256000-B,tb-donchian-XRPUSDT-1616601600-T
ETH/USDT,donchian,2021-03-31 20:00,1901.59,2021-04-04 03:59,1981.14,trailing,0.1944,0.7551830340,14.7093369660,0.039791,80.00,tb-donchian-ETHUSDT-1617206400-B,tb-donchian-ETHUSDT-1617494400-T
BNB/USDT,donchian,2021-03-28 04:00,278.13,2021-04-07 11:59,356.50,trailing,0.967,0.6139653400,75.1698246600,0.279492,248.00,tb-donchian-BNBUSDT-1616889600-B,tb-donchian-BNBUSDT-1617782400-T
BNB/USDT,donchian,2023-04-11 04:00,327.57,2023-04-11 23:59,322.59,trailing,3.192,2.0766210000,-17.9727810000,-0.017189,20.00,tb-donchian-BNBUSDT-1681171200-B,tb-donchian-BNBUSDT-1681243200-T
SOL/USDT,donchian,2023-04-11 08:00,22.49,2023-04-19 11:59,23.94,trailing,20.592,0.9565588500,28.9018411500,0.062408,196.00,tb-donchian-SOLUSDT-1681185600-B,tb-donchian-SOLUSDT-1681891200-T
LTC/USDT,donchian,2024-03-26 20:00,95.19,2024-04-01 15:59,101.13,trailing,3.266,0.6415618800,18.7584781200,0.060338,140.00,tb-donchian-LTCUSDT-1711468800-B,tb-donchian-LTCUSDT-1711972800-T
