pair,strategy,entry_time,entry_price,exit_time,exit_price,exit_reason,qty,fees_quote,pnl,pnl_pct,duration_hours,entry_client_order_id,exit_client_order_id
XRP/USDT,donchian,2021-02-01 04:00,0.5548,2021-02-01 15:59,0.4678,trailing,329.7,0.337373140000,-29.021273140000,-0.158658,12.00,tb-donchian-XRPUSDT-1612137600-B,tb-donchian-XRPUSDT-1612180800-T
LINK/USDT,donchian,2021-03-09 00:00,31.839,2021-03-11 03:59,28.758,trailing,14.87,0.90171417000,-46.71618417000,-0.098673,52.00,tb-donchian-LINKUSDT-1615233600-B,tb-donchian-LINKUSDT-1615420800-T
SOL/USDT,donchian,2021-03-11 20:00,15.74,2021-03-12 23:59,14.26,trailing,27.542,0.8267007200,-41.5888607200,-0.095935,28.00,tb-donchian-SOLUSDT-1615478400-B,tb-donchian-SOLUSDT-1615579200-T
ETH/USDT,donchian,2021-03-10 00:00,1871.44,2021-03-15 07:59,1772.49,trailing,0.3126,1.1398410900,-32.0716110900,-0.054822,128.00,tb-donchian-ETHUSDT-1615320000-B,tb-donchian-ETHUSDT-1615780800-T
LTC/USDT,donchian,2021-03-13 00:00,220.92,2021-03-15 07:59,206.70,trailing,2.000,0.8559027600,-29.2959027600,-0.066304,56.00,tb-donchian-LTCUSDT-1615579200-B,tb-donchian-LTCUSDT-1615780800-T
BTC/USDT,donchian,2021-03-12 00:00,57802.04,2021-03-15 11:59,57165.93,trailing,0.01138,1.3094915360,-8.5484233360,-0.012996,84.00,tb-donchian-BTCUSDT-1615492800-B,tb-donchian-BTCUSDT-1615795200-T
ADA/USDT,donchian,2021-03-16 20:00,1.2269,2021-03-18 19:59,1.2546,trailing,303.2,0.752881560000,7.645758440000,0.020553,48.00,tb-donchian-ADAUSDT-1615910400-B,tb-donchian-ADAUSDT-1616083200-T
SOL/USDT,donchian,2021-03-22 12:00,16.41,2021-03-22 23:59,14.95,stop,33.956,1.0654181000,-50.6411781000,-0.090882,12.00,tb-donchian-SOLUSDT-1616400000-B,tb-donchian-SOLUSDT-1616443200-X
XRP/USDT,donchian,2021-03-20 20:00,0.5287,2021-03-24 19:59,0.5091,trailing,1059.2,1.099819330000,-21.860139330000,-0.039036,96.00,tb-donchian-XRPUSDT-1616256000-B,tb-donchian-XRPUSDT-1616601600-T
ETH/USDT,donchian,2021-03-31 20:00,1901.59,2021-04-04 03:59,1981.14,trailing,0.3846,1.4940585900,29.1008714100,0.039791,80.00,tb-donchian-ETHUSDT-1617206400-B,tb-donchian-ETHUSDT-1617494400-T
BNB/USDT,donchian,2021-03-28 04:00,278.13,2021-04-07 11:59,356.50,trailing,1.910,1.2126995600,148.4740004400,0.279492,248.00,tb-donchian-BNBUSDT-1616889600-B,tb-donchian-BNBUSDT-1617782400-T
BNB/USDT,donchian,2023-04-11 04:00,327.57,2023-04-11 23:59,322.59,trailing,6.359,4.1366604300,-35.8044804300,-0.017189,20.00,tb-donchian-BNBUSDT-1681171200-B,tb-donchian-BNBUSDT-1681243200-T
LTC/USDT,donchian,2023-04-11 08:00,96.44,2023-04-12 03:59,92.30,trailing,11.584,2.1875214400,-50.1452814400,-0.044886,20.00,tb-donchian-LTCUSDT-1681185600-B,tb-donchian-LTCUSDT-1681257600-T
SOL/USDT,donchian,2023-04-11 08:00,22.49,2023-04-19 11:59,23.94,trailing,41.055,1.9071282300,57.6226217700,0.062408,196.00,tb-donchian-SOLUSDT-1681185600-B,tb-donchian-SOLUSDT-1681891200-T
LTC/USDT,donchian,2024-03-26 20:00,95.19,2024-04-01 15:59,101.13,trailing,6.479,1.2726236100,37.2126363900,0.060338,140.00,tb-donchian-LTCUSDT-1711468800-B,tb-donchian-LTCUSDT-1711972800-T
