pair,strategy,entry_time,entry_price,exit_time,exit_price,exit_reason,qty,fees_quote,pnl,pnl_pct,duration_hours,entry_client_order_id,exit_client_order_id
BTC/USDT,donchian,2021-02-06 04:00,39406.62,2021-02-07 15:59,37752.97,trailing,0.00807,0.6230719596,-13.9680274596,-0.043923,36.00,tb-donchian-BTCUSDT-1612569600-B,tb-donchian-BTCUSDT-1612699200-T
LTC/USDT,donchian,2021-04-01 16:00,204.14,2021-04-03 23:59,197.47,trailing,1.592,0.6397714000,-11.2584114000,-0.034642,56.00,tb-donchian-LTCUSDT-1617278400-B,tb-donchian-LTCUSDT-1617480000-T
BTC/USDT,donchian,2021-04-02 04:00,59899.73,2021-04-03 23:59,57062.72,trailing,0.00722,0.8450678879,-21.3282800879,-0.049317,44.00,tb-donchian-BTCUSDT-1617321600-B,tb-donchian-BTCUSDT-1617480000-T
BNB/USDT,donchian,2021-04-05 16:00,377.54,2021-04-07 11:59,356.50,trailing,0.597,0.4385994200,-12.9994794200,-0.057675,44.00,tb-donchian-BNBUSDT-1617624000-B,tb-donchian-BNBUSDT-1617782400-T
XRP/USDT,donchian,2021-04-05 04:00,0.6817,2021-04-07 15:59,0.8566,trailing,301.8,0.464531620000,52.320288380000,0.254307,60.00,tb-donchian-XRPUSDT-1617580800-B,tb-donchian-XRPUSDT-1617796800-T
SOL/USDT,donchian,2021-04-07 16:00,26.63,2021-04-14 15:59,25.31,trailing,4.978,0.2586904700,-6.8296504700,-0.051520,168.00,tb-donchian-SOLUSDT-1617796800-B,tb-donchian-SOLUSDT-1618401600-T
BNB/USDT,donchian,2021-04-08 16:00,418.42,2021-04-16 03:59,523.78,trailing,0.428,0.4036800200,44.6903999800,0.249550,180.00,tb-donchian-BNBUSDT-1617883200-B,tb-donchian-BNBUSDT-1618531200-T
LINK/USDT,donchian,2021-04-15 00:00,41.358,2021-04-18 03:59,37.913,trailing,4.97,0.39439045000,-17.51604045000,-0.085216,76.00,tb-donchian-LINKUSDT-1618430400-B,tb-donchian-LINKUSDT-1618704000-T
LTC/USDT,donchian,2021-04-16 20:00,311.88,2021-04-18 03:59,282.35,trailing,0.573,0.3408056700,-17.2614956700,-0.096591,32.00,tb-donchian-LTCUSDT-1618588800-B,tb-donchian-LTCUSDT-1618704000-T
SOL/USDT,donchian,2021-04-18 20:00,30.22,2021-05-04 03:59,43.82,trailing,4.181,0.3097123400,56.5518876600,0.447582,368.00,tb-donchian-SOLUSDT-1618761600-B,tb-donchian-SOLUSDT-1620086400-T
ETH/USDT,donchian,2021-05-04 00:00,3432.76,2021-05-10 23:59,3742.45,trailing,0.0910,0.6532873860,27.5285026140,0.088125,168.00,tb-donchian-ETHUSDT-1620072000-B,tb-donchian-ETHUSDT-1620676800-T
LTC/USDT,donchian,2021-05-04 12:00,317.62,2021-05-10 23:59,350.52,trailing,0.642,0.4292635000,20.6925365000,0.101478,156.00,tb-donchian-LTCUSDT-1620115200-B,tb-donchian-LTCUSDT-1620676800-T
ETH/USDT,donchian,2021-11-03 00:00,4591.98,2021-11-06 11:59,4380.62,trailing,0.0865,0.7765890980,-19.0592290980,-0.047983,84.00,tb-donchian-ETHUSDT-1635883200-B,tb-donchian-ETHUSDT-1636185600-T
SOL/USDT,donchian,2021-11-03 00:00,220.93,2021-11-09 15:59,237.65,trailing,1.172,0.5378976200,19.0579423800,0.073603,160.00,tb-donchian-SOLUSDT-1635883200-B,tb-donchian-SOLUSDT-1636459200-T
BTC/USDT,donchian,2021-11-08 04:00,65232.60,2021-11-10 23:59,65298.68,trailing,0.00843,1.1010310140,-0.5439766140,-0.000989,68.00,tb-donchian-BTCUSDT-1636329600-B,tb-donchian-BTCUSDT-1636574400-T
