pair,strategy,entry_time,entry_price,exit_time,exit_price,exit_reason,qty,fees_quote,pnl,pnl_pct,duration_hours,entry_client_order_id,exit_client_order_id
BTC/USDT,donchian,2021-02-06 04:00,39406.62,2021-02-07 15:59,37752.97,trailing,0.01614,1.2461439192,-27.9360549192,-0.043923,36.00,tb-donchian-BTCUSDT-1612569600-B,tb-donchian-BTCUSDT-1612699200-T
LTC/USDT,donchian,2021-04-01 16:00,204.14,2021-04-03 23:59,197.47,trailing,3.181,1.2783379700,-22.4956079700,-0.034642,56.00,tb-donchian-LTCUSDT-1617278400-B,tb-donchian-LTCUSDT-1617480000-T
BTC/USDT,donchian,2021-04-02 04:00,59899.73,2021-04-03 23:59,57062.72,trailing,0.01443,1.6889661485,-42.6270204485,-0.049317,44.00,tb-donchian-BTCUSDT-1617321600-B,tb-donchian-BTCUSDT-1617480000-T
BNB/USDT,donchian,2021-04-05 16:00,377.54,2021-04-07 11:59,356.50,trailing,1.198,0.8801350000,-26.0860550000,-0.057675,44.00,tb-donchian-BNBUSDT-1617624000-B,tb-donchian-BNBUSDT-1617782400-T
LTC/USDT,donchian,2021-04-06 00:00,221.60,2021-04-07 11:59,211.40,trailing,2.409,1.0437618000,-25.6155618000,-0.047984,36.00,tb-donchian-LTCUSDT-1617652800-B,tb-donchian-LTCUSDT-1617782400-T
XRP/USDT,donchian,2021-04-03 04:00,0.6236,2021-04-07 15:59,0.8566,trailing,769.0,1.138772680000,178.038227320000,0.371262,108.00,tb-donchian-XRPUSDT-1617408000-B,tb-donchian-XRPUSDT-1617796800-T
SOL/USDT,donchian,2021-04-07 16:00,26.63,2021-04-14 15:59,25.31,trailing,9.995,0.5194332300,-13.7128332300,-0.051520,168.00,tb-donchian-SOLUSDT-1617796800-B,tb-donchian-SOLUSDT-1618401600-T
BNB/USDT,donchian,2021-04-08 16:00,418.42,2021-04-16 03:59,523.78,trailing,0.860,0.8107104200,89.7988895800,0.249551,180.00,tb-donchian-BNBUSDT-1617883200-B,tb-donchian-BNBUSDT-1618531200-T
XRP/USDT,donchian,2021-04-10 08:00,1.1506,2021-04-16 11:59,1.5472,trailing,232.7,0.628123240000,91.660696760000,0.342344,148.00,tb-donchian-XRPUSDT-1618027200-B,tb-donchian-XRPUSDT-1618560000-T
LINK/USDT,donchian,2021-04-15 00:00,41.358,2021-04-18 03:59,37.913,trailing,10.19,0.80859865000,-35.91314865000,-0.085216,76.00,tb-donchian-LINKUSDT-1618430400-B,tb-donchian-LINKUSDT-1618704000-T
LTC/USDT,donchian,2021-04-16 20:00,311.88,2021-04-18 03:59,282.35,trailing,1.166,0.6934959400,-35.1254759400,-0.096591,32.00,tb-donchian-LTCUSDT-1618588800-B,tb-donchian-LTCUSDT-1618704000-T
SOL/USDT,donchian,2021-04-18 20:00,30.22,2021-05-04 03:59,43.82,trailing,8.476,0.6278350200,114.6457649800,0.447582,368.00,tb-donchian-SOLUSDT-1618761600-B,tb-donchian-SOLUSDT-1620086400-T
ETH/USDT,donchian,2021-05-04 00:00,3432.76,2021-05-10 23:59,3742.45,trailing,0.1857,1.3331230540,56.1763099460,0.088125,168.00,tb-donchian-ETHUSDT-1620072000-B,tb-donchian-ETHUSDT-1620676800-T
LTC/USDT,donchian,2021-05-04 12:00,317.62,2021-05-10 23:59,350.52,trailing,1.310,0.8758986400,42.2231013600,0.101478,156.00,tb-donchian-LTCUSDT-1620115200-B,tb-donchian-LTCUSDT-1620676800-T
ADA/USDT,donchian,2021-05-09 16:00,1.7927,2021-05-10 23:59,1.5418,trailing,197.9,0.660256090000,-50.313366090000,-0.141818,32.00,tb-donchian-ADAUSDT-1620561600-B,tb-donchian-ADAUSDT-1620676800-T
ETH/USDT,donchian,2021-11-03 00:00,4591.98,2021-11-06 11:59,4380.62,trailing,0.1763,1.5827877800,-38.8455557800,-0.047983,84.00,tb-donchian-ETHUSDT-1635883200-B,tb-donchian-ETHUSDT-1636185600-T
XRP/USDT,donchian,2021-11-03 08:00,1.2022,2021-11-06 11:59,1.1285,trailing,563.1,1.313138490000,-42.813608490000,-0.063244,76.00,tb-donchian-XRPUSDT-1635912000-B,tb-donchian-XRPUSDT-1636185600-T
SOL/USDT,donchian,2021-11-03 00:00,220.93,2021-11-09 15:59,237.65,trailing,2.390,1.0966689900,38.8641310100,0.073603,160.00,tb-donchian-SOLUSDT-1635883200-B,tb-donchian-SOLUSDT-1636459200-T
BTC/USDT,donchian,2021-11-08 04:00,65232.60,2021-11-10 23:59,65298.68,trailing,0.01714,2.2386107960,-1.1059995960,-0.000989,68.00,tb-donchian-BTCUSDT-1636329600-B,tb-donchian-BTCUSDT-1636574400-T
ETH/USDT,donchian,2021-11-08 04:00,4722.88,2021-11-10 23:59,4609.89,trailing,0.2202,2.0564928200,-26.9368908200,-0.025901,68.00,tb-donchian-ETHUSDT-1636329600-B,tb-donchian-ETHUSDT-1636574400-T
