pair,strategy,entry_time,entry_price,exit_time,exit_price,exit_reason,qty,fees_quote,pnl,pnl_pct,duration_hours,entry_client_order_id,exit_client_order_id
BTC/USDT,ema_trend,2021-08-27 16:00,48208.76,2021-08-31 03:59,46735.52,trailing,0.05179,4.9200567860,-81.2191563860,-0.032530,84.00,tb-ema_trend-BTCUSDT-1630065600-B,tb-ema_trend-BTCUSDT-1630368000-T
ETH/USDT,ema_trend,2021-08-28 08:00,3231.90,2021-09-07 11:59,3765.21,trailing,0.5796,4.0574641000,305.0490119000,0.162848,244.00,tb-ema_trend-ETHUSDT-1630123200-B,tb-ema_trend-ETHUSDT-1631001600-T
LINK/USDT,ema_trend,2021-09-01 08:00,26.954,2021-09-07 11:59,32.018,trailing,57.30,3.38071284000,286.78648716000,0.185687,148.00,tb-ema_trend-LINKUSDT-1630468800-B,tb-ema_trend-LINKUSDT-1631001600-T
LINK/USDT,ema_trend,2021-09-15 08:00,30.326,2021-09-17 11:59,28.084,trailing,39.07,2.28329174000,-89.87823174000,-0.075857,52.00,tb-ema_trend-LINKUSDT-1631678400-B,tb-ema_trend-LINKUSDT-1631865600-T
ETH/USDT,ema_trend,2021-09-16 08:00,3635.91,2021-09-17 11:59,3444.81,stop,0.4803,3.4026877680,-95.1880177680,-0.054508,28.00,tb-ema_trend-ETHUSDT-1631764800-B,tb-ema_trend-ETHUSDT-1631865600-X
BTC/USDT,ema_trend,2021-09-16 04:00,47638.88,2021-09-20 03:59,46410.07,trailing,0.04888,4.5994946184,-64.6637274184,-0.027769,96.00,tb-ema_trend-BTCUSDT-1631750400-B,tb-ema_trend-BTCUSDT-1632096000-T
ETH/USDT,ema_trend,2021-10-01 16:00,3237.32,2021-10-10 23:59,3411.28,trailing,0.4995,3.3225943600,83.5704256400,0.051681,224.00,tb-ema_trend-ETHUSDT-1633089600-B,tb-ema_trend-ETHUSDT-1633896000-T
XRP/USDT,ema_trend,2021-10-01 16:00,1.0258,2021-10-11 23:59,1.1141,trailing,1637.3,3.505402130000,141.068187870000,0.083992,248.00,tb-ema_trend-XRPUSDT-1633089600-B,tb-ema_trend-XRPUSDT-1633982400-T
BTC/USDT,ema_trend,2021-10-01 12:00,47511.82,2021-10-12 23:59,54199.42,trailing,0.04422,4.5000466214,291.2256253786,0.138615,276.00,tb-ema_trend-BTCUSDT-1633075200-B,tb-ema_trend-BTCUSDT-1634068800-T
BNB/USDT,ema_trend,2021-10-13 00:00,444.33,2021-10-16 15:59,445.52,trailing,4.599,4.0946418000,1.3781682000,0.000674,88.00,tb-ema_trend-BNBUSDT-1634068800-B,tb-ema_trend-BNBUSDT-1634385600-T
LINK/USDT,ema_trend,2021-10-15 00:00,26.724,2021-10-17 23:59,26.018,trailing,62.31,3.28822470000,-47.27908470000,-0.028393,72.00,tb-ema_trend-LINKUSDT-1634241600-B,tb-ema_trend-LINKUSDT-1634500800-T
XRP/USDT,ema_trend,2021-10-21 00:00,1.1457,2021-10-21 15:59,1.0976,stop,2254.3,5.059706300000,-113.491536300000,-0.043942,16.00,tb-ema_trend-XRPUSDT-1634760000-B,tb-ema_trend-XRPUSDT-1634817600-X
ADA/USDT,ema_trend,2021-10-21 12:00,2.2312,2021-10-21 15:59,2.1422,stop,683.8,2.992092760000,-63.850292760000,-0.041850,4.00,tb-ema_trend-ADAUSDT-1634803200-B,tb-ema_trend-ADAUSDT-1634817600-X
XRP/USDT,ema_trend,2021-10-27 04:00,1.1120,2021-10-27 08:00,1.0802,signal,1913.0,4.195902600000,-65.029302600000,-0.030570,4.00,tb-ema_trend-XRPUSDT-1635292800-B,tb-ema_trend-XRPUSDT-1635307200-S
LINK/USDT,ema_trend,2021-10-21 00:00,27.494,2021-10-27 11:59,30.597,trailing,73.93,4.29686715000,225.10792285000,0.110747,156.00,tb-ema_trend-LINKUSDT-1634760000-B,tb-ema_trend-LINKUSDT-1635321600-T
BNB/USDT,ema_trend,2021-10-29 04:00,497.05,2021-11-10 07:59,624.39,trailing,4.722,5.2979249300,596.0015550700,0.253934,292.00,tb-ema_trend-BNBUSDT-1635465600-B,tb-ema_trend-BNBUSDT-1636516800-T
SOL/USDT,ema_trend,2021-12-01 08:00,218.55,2021-12-03 19:59,211.18,trailing,7.885,3.3901694500,-61.5026194500,-0.035690,60.00,tb-ema_trend-SOLUSDT-1638331200-B,tb-ema_trend-SOLUSDT-1638547200-T
ETH/USDT,ema_trend,2021-12-08 20:00,4383.57,2021-12-09 19:59,4124.24,stop,0.4366,3.7167016270,-116.9401796270,-0.061102,24.00,tb-ema_trend-ETHUSDT-1638979200-B,tb-ema_trend-ETHUSDT-1639065600-X
BTC/USDT,ema_trend,2022-02-04 20:00,40748.29,2022-02-11 19:59,42339.75,trailing,0.05634,4.6836250760,84.9792313240,0.037016,168.00,tb-ema_trend-BTCUSDT-1643990400-B,tb-ema_trend-BTCUSDT-1644595200-T
ETH/USDT,ema_trend,2022-02-15 16:00,3124.18,2022-02-17 15:59,2970.72,stop,0.6262,3.8188133020,-99.9154653020,-0.051072,48.00,tb-ema_trend-ETHUSDT-1644926400-B,tb-ema_trend-ETHUSDT-1645099200-X
LTC/USDT,ema_trend,2022-02-15 20:00,129.57,2022-02-17 15:59,122.74,stop,11.318,2.8571994200,-80.1591394200,-0.054661,44.00,tb-ema_trend-LTCUSDT-1644940800-B,tb-ema_trend-LTCUSDT-1645099200-X
BNB/USDT,ema_trend,2022-02-15 12:00,428.62,2022-02-17 19:59,409.20,stop,5.243,4.3952619800,-106.2143219800,-0.047264,56.00,tb-ema_trend-BNBUSDT-1644912000-B,tb-ema_trend-BNBUSDT-1645113600-X
BNB/USDT,ema_trend,2022-03-09 12:00,395.50,2022-03-10 07:59,375.57,stop,4.958,3.8249425600,-102.6378825600,-0.052343,20.00,tb-ema_trend-BNBUSDT-1646812800-B,tb-ema_trend-BNBUSDT-1646884800-X
BTC/USDT,ema_trend,2022-03-09 20:00,42225.76,2022-03-10 07:59,40174.38,stop,0.04633,3.8197097788,-98.8601451788,-0.050534,12.00,tb-ema_trend-BTCUSDT-1646841600-B,tb-ema_trend-BTCUSDT-1646884800-X
ETH/USDT,ema_trend,2022-03-16 20:00,2754.54,2022-03-31 19:59,3293.49,trailing,0.7274,4.4015406580,387.6306893420,0.193462,360.00,tb-ema_trend-ETHUSDT-1647446400-B,tb-ema_trend-ETHUSDT-1648742400-T
BTC/USDT,ema_trend,2022-03-16 20:00,40900.62,2022-03-31 19:59,46130.74,trailing,0.04634,4.0350782518,238.3286825482,0.125745,360.00,tb-ema_trend-BTCUSDT-1647446400-B,tb-ema_trend-BTCUSDT-1648742400-T
LTC/USDT,ema_trend,2022-04-05 12:00,126.67,2022-04-05 16:00,124.03,signal,20.154,5.0552678700,-58.2618278700,-0.022822,4.00,tb-ema_trend-LTCUSDT-1649145600-B,tb-ema_trend-LTCUSDT-1649160000-S
ETH/USDT,ema_trend,2022-04-21 12:00,3152.73,2022-04-21 19:59,3043.93,stop,0.6579,4.0789895280,-75.6585095280,-0.036476,8.00,tb-ema_trend-ETHUSDT-1650528000-B,tb-ema_trend-ETHUSDT-1650556800-X
SOL/USDT,ema_trend,2022-04-21 04:00,107.12,2022-04-21 23:59,101.20,stop,17.325,3.6110721600,-106.1750721600,-0.057211,20.00,tb-ema_trend-SOLUSDT-1650499200-B,tb-ema_trend-SOLUSDT-1650571200-X
SOL/USDT,ema_trend,2022-07-15 12:00,37.74,2022-07-21 03:59,41.17,trailing,42.367,3.3448027900,141.9740072100,0.088793,136.00,tb-ema_trend-SOLUSDT-1657872000-B,tb-ema_trend-SOLUSDT-1658361600-T
SOL/USDT,ema_trend,2022-08-08 08:00,42.70,2022-08-09 11:59,40.69,stop,50.340,4.2000303000,-105.3834303000,-0.049027,28.00,tb-ema_trend-SOLUSDT-1659931200-B,tb-ema_trend-SOLUSDT-1660032000-X
LTC/USDT,ema_trend,2022-08-10 16:00,61.87,2022-08-15 07:59,61.57,trailing,35.082,4.3327494000,-14.8573494000,-0.006845,112.00,tb-ema_trend-LTCUSDT-1660132800-B,tb-ema_trend-LTCUSDT-1660536000-T
SOL/USDT,ema_trend,2022-08-10 16:00,42.11,2022-08-15 07:59,43.84,trailing,45.365,3.9010588100,74.5803911900,0.039041,112.00,tb-ema_trend-SOLUSDT-1660132800-B,tb-ema_trend-SOLUSDT-1660536000-T
XRP/USDT,ema_trend,2022-08-11 00:00,0.3816,2022-08-15 07:59,0.3687,stop,3802.2,2.854278900000,-51.902658900000,-0.035772,104.00,tb-ema_trend-XRPUSDT-1660161600-B,tb-ema_trend-XRPUSDT-1660536000-X
ETH/USDT,ema_trend,2022-09-08 00:00,1630.82,2022-09-13 15:59,1667.00,trailing,1.0834,3.5746520900,35.6227599100,0.020162,136.00,tb-ema_trend-ETHUSDT-1662580800-B,tb-ema_trend-ETHUSDT-1663070400-T
