pair,strategy,entry_time,entry_price,exit_time,exit_price,exit_reason,qty,fees_quote,pnl,pnl_pct,duration_hours,entry_client_order_id,exit_client_order_id
ETH/USDT,ema_trend,2021-08-27 16:00,3240.58,2021-09-07 11:59,3698.01,trailing,0.3766,2.6143692300,169.6537687700,0.139015,260.00,tb-ema_trend-ETHUSDT-1630065600-B,tb-ema_trend-ETHUSDT-1631001600-T
XRP/USDT,ema_trend,2021-09-01 08:00,1.1866,2021-09-07 15:59,1.2449,trailing,723.2,1.759410080000,40.403149920000,0.047082,152.00,tb-ema_trend-XRPUSDT-1630468800-B,tb-ema_trend-XRPUSDT-1631016000-T
LINK/USDT,ema_trend,2021-09-01 16:00,29.125,2021-09-07 15:59,30.837,trailing,30.90,1.85399080000,51.04680920000,0.056721,144.00,tb-ema_trend-LINKUSDT-1630497600-B,tb-ema_trend-LINKUSDT-1631016000-T
ETH/USDT,ema_trend,2021-09-17 00:00,3569.76,2021-09-19 04:00,3411.84,signal,0.3087,2.1566478260,-50.9065518260,-0.046195,52.00,tb-ema_trend-ETHUSDT-1631822400-B,tb-ema_trend-ETHUSDT-1632009600-S
LINK/USDT,ema_trend,2021-09-15 12:00,31.166,2021-09-19 11:59,27.621,trailing,21.78,1.28131584000,-78.49141584000,-0.115633,96.00,tb-ema_trend-LINKUSDT-1631692800-B,tb-ema_trend-LINKUSDT-1632038400-T
BTC/USDT,ema_trend,2021-09-17 08:00,47743.59,2021-09-20 03:59,45680.86,trailing,0.03497,3.2689627559,-75.4026308559,-0.045162,68.00,tb-ema_trend-BTCUSDT-1631851200-B,tb-ema_trend-BTCUSDT-1632096000-T
SOL/USDT,ema_trend,2021-10-02 00:00,161.71,2021-10-06 11:59,151.45,trailing,4.423,1.3859152300,-46.7658952300,-0.065385,108.00,tb-ema_trend-SOLUSDT-1633118400-B,tb-ema_trend-SOLUSDT-1633507200-T
BNB/USDT,ema_trend,2021-10-01 12:00,415.61,2021-10-10 23:59,413.24,trailing,2.586,2.1446529300,-8.2734729300,-0.007698,228.00,tb-ema_trend-BNBUSDT-1633075200-B,tb-ema_trend-BNBUSDT-1633896000-T
LINK/USDT,ema_trend,2021-10-15 04:00,26.834,2021-10-18 15:59,25.346,trailing,33.00,1.72301336000,-50.82701336000,-0.057398,84.00,tb-ema_trend-LINKUSDT-1634256000-B,tb-ema_trend-LINKUSDT-1634558400-T
BTC/USDT,ema_trend,2021-10-01 20:00,48054.01,2021-10-22 15:59,61770.92,trailing,0.02516,2.7646368619,342.3528187381,0.283161,500.00,tb-ema_trend-BTCUSDT-1633104000-B,tb-ema_trend-BTCUSDT-1634904000-T
