pair,strategy,entry_time,entry_price,exit_time,exit_price,exit_reason,qty,fees_quote,pnl,pnl_pct,duration_hours,entry_client_order_id,exit_client_order_id
XRP/USDT,ema_trend,2021-08-01 04:00,0.7744,2021-08-01 23:59,0.7266,stop,2109.2,3.167612880000,-103.987372880000,-0.063665,20.00,tb-ema_trend-XRPUSDT-1627776000-B,tb-ema_trend-XRPUSDT-1627848000-X
BTC/USDT,ema_trend,2021-08-01 04:00,42451.63,2021-08-01 23:59,40384.39,stop,0.04880,4.0445203555,-104.9258323555,-0.050649,20.00,tb-ema_trend-BTCUSDT-1627776000-B,tb-ema_trend-BTCUSDT-1627848000-X
SOL/USDT,ema_trend,2021-08-01 04:00,36.11,2021-08-02 23:59,33.13,stop,33.729,2.3366237000,-102.8490437000,-0.084444,44.00,tb-ema_trend-SOLUSDT-1627776000-B,tb-ema_trend-SOLUSDT-1627934400-X
LINK/USDT,ema_trend,2021-08-02 00:00,22.077,2021-08-09 03:59,22.486,trailing,51.09,2.27804829000,18.61776171000,0.016506,172.00,tb-ema_trend-LINKUSDT-1627848000-B,tb-ema_trend-LINKUSDT-1628467200-T
XRP/USDT,ema_trend,2021-08-03 00:00,0.7384,2021-08-12 15:59,0.9471,trailing,2060.6,3.474691940000,426.572528060000,0.280354,232.00,tb-ema_trend-XRPUSDT-1627934400-B,tb-ema_trend-XRPUSDT-1628769600-T
ETH/USDT,ema_trend,2021-08-02 00:00,2556.78,2021-08-12 19:59,2983.18,trailing,0.6633,3.6764452100,279.1546747900,0.164604,260.00,tb-ema_trend-ETHUSDT-1627848000-B,tb-ema_trend-ETHUSDT-1628784000-T
BTC/USDT,ema_trend,2021-08-09 04:00,43517.84,2021-08-17 23:59,45210.83,trailing,0.03721,3.3033345200,59.6928233800,0.036863,212.00,tb-ema_trend-BTCUSDT-1628467200-B,tb-ema_trend-BTCUSDT-1629230400-T
ADA/USDT,ema_trend,2021-08-12 16:00,1.7167,2021-08-17 23:59,1.9657,trailing,731.3,2.694312480000,179.399387520000,0.142900,128.00,tb-ema_trend-ADAUSDT-1628769600-B,tb-ema_trend-ADAUSDT-1629230400-T
LTC/USDT,ema_trend,2021-08-12 20:00,165.55,2021-08-17 23:59,169.65,trailing,8.527,2.8597403500,32.1009596500,0.022740,124.00,tb-ema_trend-LTCUSDT-1628784000-B,tb-ema_trend-LTCUSDT-1629230400-T
SOL/USDT,ema_trend,2021-08-18 00:00,64.17,2021-08-24 19:59,69.77,trailing,11.076,1.4842894800,60.5413105200,0.085180,164.00,tb-ema_trend-SOLUSDT-1629230400-B,tb-ema_trend-SOLUSDT-1629820800-T
XRP/USDT,ema_trend,2021-08-18 00:00,1.0986,2021-08-24 19:59,1.1492,trailing,815.1,1.833170520000,39.410889480000,0.044011,164.00,tb-ema_trend-XRPUSDT-1629230400-B,tb-ema_trend-XRPUSDT-1629820800-T
ADA/USDT,ema_trend,2021-08-24 20:00,2.7947,2021-08-26 07:59,2.5484,stop,452.5,2.419150100000,-113.869900100000,-0.090044,36.00,tb-ema_trend-ADAUSDT-1629820800-B,tb-ema_trend-ADAUSDT-1629950400-X
ETH/USDT,ema_trend,2021-08-26 08:00,3106.72,2021-08-26 12:00,3086.00,signal,0.5652,3.5019893760,-15.2129333760,-0.008664,4.00,tb-ema_trend-ETHUSDT-1629950400-B,tb-ema_trend-ETHUSDT-1629964800-S
BTC/USDT,ema_trend,2021-08-24 20:00,48267.33,2021-08-26 15:59,46532.34,stop,0.04055,3.8465399880,-74.2003844880,-0.037911,44.00,tb-ema_trend-BTCUSDT-1629820800-B,tb-ema_trend-BTCUSDT-1629979200-X
BNB/USDT,ema_trend,2021-08-18 00:00,402.07,2021-08-30 15:59,472.18,trailing,4.167,3.6450101000,288.5033599000,0.172197,304.00,tb-ema_trend-BNBUSDT-1629230400-B,tb-ema_trend-BNBUSDT-1630324800-T
SOL/USDT,ema_trend,2021-08-26 16:00,74.75,2021-08-31 19:59,107.82,trailing,13.286,2.4266715200,436.9413484800,0.439965,124.00,tb-ema_trend-SOLUSDT-1629979200-B,tb-ema_trend-SOLUSDT-1630425600-T
ADA/USDT,ema_trend,2021-08-26 16:00,2.5573,2021-09-04 19:59,2.8278,trailing,466.4,2.512889290000,123.648310710000,0.103669,220.00,tb-ema_trend-ADAUSDT-1629979200-B,tb-ema_trend-ADAUSDT-1630771200-T
ETH/USDT,ema_trend,2021-08-31 16:00,3388.54,2021-09-07 11:59,3765.21,trailing,0.6396,4.5779104820,236.3402215180,0.109048,164.00,tb-ema_trend-ETHUSDT-1630411200-B,tb-ema_trend-ETHUSDT-1631001600-T
LTC/USDT,ema_trend,2021-09-04 20:00,210.71,2021-09-07 11:59,210.23,trailing,8.304,3.4973821500,-7.4833021500,-0.004277,64.00,tb-ema_trend-LTCUSDT-1630771200-B,tb-ema_trend-LTCUSDT-1631001600-T
SOL/USDT,ema_trend,2021-09-01 04:00,111.30,2021-09-07 15:59,161.98,trailing,8.149,2.2279604200,410.7633595800,0.452889,156.00,tb-ema_trend-SOLUSDT-1630454400-B,tb-ema_trend-SOLUSDT-1631016000-T
LINK/USDT,ema_trend,2021-09-07 12:00,32.707,2021-09-07 15:59,30.051,stop,46.30,2.90733075000,-125.88013075000,-0.083126,4.00,tb-ema_trend-LINKUSDT-1631001600-B,tb-ema_trend-LINKUSDT-1631016000-X
XRP/USDT,ema_trend,2021-09-07 12:00,1.2846,2021-09-07 15:59,1.2006,stop,1466.5,3.646472700000,-126.832472700000,-0.067326,4.00,tb-ema_trend-XRPUSDT-1631001600-B,tb-ema_trend-XRPUSDT-1631016000-X
ETH/USDT,ema_trend,2021-09-08 04:00,3431.84,2021-09-08 12:00,3404.55,signal,0.4281,2.9283744840,-14.6112234840,-0.009945,8.00,tb-ema_trend-ETHUSDT-1631059200-B,tb-ema_trend-ETHUSDT-1631088000-S
LINK/USDT,ema_trend,2021-09-08 04:00,28.065,2021-09-09 00:00,27.156,signal,30.09,1.66272249000,-29.01453249000,-0.034358,20.00,tb-ema_trend-LINKUSDT-1631059200-B,tb-ema_trend-LINKUSDT-1631131200-S
SOL/USDT,ema_trend,2021-09-08 04:00,173.12,2021-09-12 19:59,176.59,trailing,4.157,1.4546100700,12.9701799300,0.018023,112.00,tb-ema_trend-SOLUSDT-1631059200-B,tb-ema_trend-SOLUSDT-1631462400-T
LINK/USDT,ema_trend,2021-09-15 08:00,30.326,2021-09-17 11:59,28.084,trailing,43.80,2.55987430000,-100.75947430000,-0.075857,52.00,tb-ema_trend-LINKUSDT-1631678400-B,tb-ema_trend-LINKUSDT-1631865600-T
ETH/USDT,ema_trend,2021-09-16 08:00,3635.91,2021-09-17 11:59,3444.81,stop,0.5384,3.8144411900,-106.7026811900,-0.054508,28.00,tb-ema_trend-ETHUSDT-1631764800-B,tb-ema_trend-ETHUSDT-1631865600-X
LINK/USDT,ema_trend,2021-09-17 20:00,28.315,2021-09-19 04:00,27.926,signal,49.75,2.79940550000,-22.15215550000,-0.015726,32.00,tb-ema_trend-LINKUSDT-1631894400-B,tb-ema_trend-LINKUSDT-1632009600-S
ETH/USDT,ema_trend,2021-09-17 20:00,3425.66,2021-09-19 12:00,3324.52,signal,0.6202,4.1888595940,-66.9158875940,-0.031496,40.00,tb-ema_trend-ETHUSDT-1631894400-B,tb-ema_trend-ETHUSDT-1632038400-S
BTC/USDT,ema_trend,2021-09-16 04:00,47638.88,2021-09-20 03:59,46410.07,trailing,0.05479,5.1558003080,-72.4823002080,-0.027770,96.00,tb-ema_trend-BTCUSDT-1631750400-B,tb-ema_trend-BTCUSDT-1632096000-T
BNB/USDT,ema_trend,2021-10-01 08:00,399.10,2021-10-09 23:59,418.64,trailing,5.399,4.4173728600,101.0790871400,0.046910,208.00,tb-ema_trend-BNBUSDT-1633060800-B,tb-ema_trend-BNBUSDT-1633809600-T
ETH/USDT,ema_trend,2021-10-10 00:00,3576.62,2021-10-10 23:59,3433.39,stop,0.5211,3.6550621840,-78.2922151840,-0.042007,24.00,tb-ema_trend-ETHUSDT-1633809600-B,tb-ema_trend-ETHUSDT-1633896000-X
XRP/USDT,ema_trend,2021-10-01 16:00,1.0258,2021-10-11 23:59,1.1141,trailing,1690.3,3.618816830000,145.634673170000,0.083992,248.00,tb-ema_trend-XRPUSDT-1633089600-B,tb-ema_trend-XRPUSDT-1633982400-T
BNB/USDT,ema_trend,2021-10-11 04:00,416.01,2021-10-12 00:00,412.99,signal,4.434,3.6778660500,-17.0685460500,-0.009253,20.00,tb-ema_trend-BNBUSDT-1633910400-B,tb-ema_trend-BNBUSDT-1633982400-S
BTC/USDT,ema_trend,2021-10-01 12:00,47511.82,2021-10-12 23:59,54199.42,trailing,0.04865,4.9506274140,320.4011125860,0.138615,276.00,tb-ema_trend-BTCUSDT-1633075200-B,tb-ema_trend-BTCUSDT-1634068800-T
BNB/USDT,ema_trend,2021-10-13 00:00,444.33,2021-10-16 15:59,445.52,trailing,4.596,4.0919722500,1.3772677500,0.000674,88.00,tb-ema_trend-BNBUSDT-1634068800-B,tb-ema_trend-BNBUSDT-1634385600-T
ETH/USDT,ema_trend,2021-10-12 00:00,3543.90,2021-10-17 23:59,3728.26,trailing,0.5228,3.8040115900,92.5793964100,0.049969,144.00,tb-ema_trend-ETHUSDT-1633982400-B,tb-ema_trend-ETHUSDT-1634500800-T
