ts,datetime_utc,equity,B&H BTC (OOS),B&H BTC filtrado (OOS),Equiponderado (OOS)
1627790399999,2021-08-01 03:59,10000,10219.3922905622000000,10000.00000000,10276.2020445831000000
1627804799999,2021-08-01 07:59,10000,10042.6624950644000000,10000.00000000,10138.4742301632000000
1627819199999,2021-08-01 11:59,10000,10015.1489311694000000,10000.00000000,10082.5231427577000000
1627833599999,2021-08-01 15:59,10000,9942.8960246012000000,10000.00000000,10060.2811331316000000
1627847999999,2021-08-01 19:59,10000,9937.2054730490000000,10000.00000000,10113.1331213385000000
1627862399999,2021-08-01 23:59,10000,9595.7458898336000000,10000.00000000,9748.5873167538000000
1627876799999,2021-08-02 03:59,10000,9581.3328762746000000,10000.00000000,9787.1630029533000000
1627891199999,2021-08-02 07:59,10000,9658.1204034830000000,10000.00000000,10006.1711264025000000
1627905599999,2021-08-02 11:59,10000,9522.7729346348000000,10000.00000000,9889.2842773554000000
1627919999999,2021-08-02 15:59,10000,9561.9541761728000000,10000.00000000,9915.6153269484000000
1627934399999,2021-08-02 19:59,10000,9434.9775736790000000,10000.00000000,9838.6102100475000000
1627948799999,2021-08-02 23:59,10000,9427.7457809108000000,10000.00000000,9815.2420087404000000
1627963199999,2021-08-03 03:59,10000,9309.2435969156000000,10000.00000000,9672.3506986848000000
1627977599999,2021-08-03 07:59,10000,9294.2405769536000000,10000.00000000,9631.1637009108000000
1627991999999,2021-08-03 11:59,10000,9269.3326739894000000,10000.00000000,9598.2652024407000000
1628006399999,2021-08-03 15:59,10000,9192.1333463936000000,10000.00000000,9705.4839063108000000
1628020799999,2021-08-03 19:59,10000,9154.0670965478000000,10000.00000000,9723.1780223829000000
1628035199999,2021-08-03 23:59,10000,9201.1905467270000000,10000.00000000,9762.0414784245000000
1628049599999,2021-08-04 03:59,10000,9145.7443939814000000,10000.00000000,9655.6172509827000000
1628063999999,2021-08-04 07:59,10000,9110.1104154296000000,10000.00000000,9611.4151652148000000
1628078399999,2021-08-04 11:59,10000,9189.8744647364000000,10000.00000000,9685.4828609772000000
1628092799999,2021-08-04 15:59,10000,9464.8752450800000000,10000.00000000,10044.0947103570000000
1628107199999,2021-08-04 19:59,10000,9573.2847072998000000,10000.00000000,10101.8754318969000000
1628121599999,2021-08-04 23:59,10000,9566.3033662292000000,10000.00000000,10097.5298301486000000
1628135999999,2021-08-05 03:59,10000,9496.9258378046000000,10000.00000000,10096.1927049123000000
1628150399999,2021-08-05 07:59,10000,9360.9835461746000000,10000.00000000,9977.4744460083000000
1628164799999,2021-08-05 11:59,10000,9153.3470479172000000,10000.00000000,9856.5297165036000000
1628179199999,2021-08-05 15:59,10000,9331.9455983894000000,10000.00000000,10018.7859507507000000
1628193599999,2021-08-05 19:59,10000,9799.6713682256000000,10000.00000000,10197.9602070408000000
