pair,strategy,entry_time,entry_price,exit_time,exit_price,exit_reason,qty,fees_quote,pnl,pnl_pct,duration_hours,entry_client_order_id,exit_client_order_id
ETH/USDT,ema_trend,2021-08-08 04:00,3121.51,2021-08-09 03:59,2923.87,stop,0.5091,3.0795758670,-103.6980998670,-0.065253,24.00,tb-ema_trend-ETHUSDT-1628380800-B,tb-ema_trend-ETHUSDT-1628467200-X
XRP/USDT,ema_trend,2021-08-08 04:00,0.8182,2021-08-09 03:59,0.7711,stop,2138.6,3.400677020000,-104.128737020000,-0.059509,24.00,tb-ema_trend-XRPUSDT-1628380800-B,tb-ema_trend-XRPUSDT-1628467200-X
XRP/USDT,ema_trend,2021-08-10 04:00,0.8046,2021-08-12 15:59,0.9471,trailing,2033.8,3.564297120000,286.252202880000,0.174928,60.00,tb-ema_trend-XRPUSDT-1628553600-B,tb-ema_trend-XRPUSDT-1628769600-T
ETH/USDT,ema_trend,2021-08-10 04:00,3116.95,2021-08-12 19:59,2983.18,trailing,0.4592,2.8027381750,-64.2299221750,-0.044875,64.00,tb-ema_trend-ETHUSDT-1628553600-B,tb-ema_trend-ETHUSDT-1628784000-T
SOL/USDT,ema_trend,2021-08-08 04:00,38.75,2021-08-17 23:59,61.07,trailing,35.616,3.5565841200,791.3925358800,0.573423,236.00,tb-ema_trend-SOLUSDT-1628380800-B,tb-ema_trend-SOLUSDT-1629230400-T
ADA/USDT,ema_trend,2021-08-12 16:00,1.7167,2021-08-17 23:59,1.9657,trailing,703.7,2.592678240000,172.628621760000,0.142900,128.00,tb-ema_trend-ADAUSDT-1628769600-B,tb-ema_trend-ADAUSDT-1629230400-T
LTC/USDT,ema_trend,2021-08-12 20:00,165.55,2021-08-17 23:59,169.65,trailing,8.242,2.7642083500,31.0279916500,0.022740,124.00,tb-ema_trend-LTCUSDT-1628784000-B,tb-ema_trend-LTCUSDT-1629230400-T
XRP/USDT,ema_trend,2021-08-18 00:00,1.0986,2021-08-24 19:59,1.1492,trailing,839.9,1.888915960000,40.610024040000,0.044011,164.00,tb-ema_trend-XRPUSDT-1629230400-B,tb-ema_trend-XRPUSDT-1629820800-T
LINK/USDT,ema_trend,2021-08-18 00:00,26.159,2021-08-24 19:59,26.467,trailing,41.23,2.17107793000,10.52776207000,0.009761,164.00,tb-ema_trend-LINKUSDT-1629230400-B,tb-ema_trend-LINKUSDT-1629820800-T
ADA/USDT,ema_trend,2021-08-24 20:00,2.7947,2021-08-26 07:59,2.5484,stop,464.2,2.481664370000,-116.814124370000,-0.090044,36.00,tb-ema_trend-ADAUSDT-1629820800-B,tb-ema_trend-ADAUSDT-1629950400-X
ETH/USDT,ema_trend,2021-08-26 08:00,3106.72,2021-08-26 12:00,3086.00,signal,0.5792,3.5886874560,-15.5897114560,-0.008664,4.00,tb-ema_trend-ETHUSDT-1629950400-B,tb-ema_trend-ETHUSDT-1629964800-S
BTC/USDT,ema_trend,2021-08-24 20:00,48267.33,2021-08-26 15:59,46532.34,stop,0.04155,3.9413396580,-76.0301741580,-0.037911,44.00,tb-ema_trend-BTCUSDT-1629820800-B,tb-ema_trend-BTCUSDT-1629979200-X
BNB/USDT,ema_trend,2021-08-18 00:00,402.07,2021-08-30 15:59,472.18,trailing,4.294,3.7560398500,297.2963001500,0.172197,304.00,tb-ema_trend-BNBUSDT-1629230400-B,tb-ema_trend-BNBUSDT-1630324800-T
SOL/USDT,ema_trend,2021-08-26 16:00,74.75,2021-08-31 19:59,107.82,trailing,13.629,2.4892930300,448.2217369700,0.439965,124.00,tb-ema_trend-SOLUSDT-1629979200-B,tb-ema_trend-SOLUSDT-1630425600-T
ADA/USDT,ema_trend,2021-08-26 16:00,2.5573,2021-09-04 19:59,2.8278,trailing,478.5,2.578049000000,126.856201000000,0.103669,220.00,tb-ema_trend-ADAUSDT-1629979200-B,tb-ema_trend-ADAUSDT-1630771200-T
ETH/USDT,ema_trend,2021-08-31 16:00,3388.54,2021-09-07 11:59,3765.21,trailing,0.6561,4.6959473520,242.4372396480,0.109048,164.00,tb-ema_trend-ETHUSDT-1630411200-B,tb-ema_trend-ETHUSDT-1631001600-T
LTC/USDT,ema_trend,2021-09-04 20:00,210.71,2021-09-07 11:59,210.23,trailing,8.519,3.5878842500,-7.6770042500,-0.004277,64.00,tb-ema_trend-LTCUSDT-1630771200-B,tb-ema_trend-LTCUSDT-1631001600-T
SOL/USDT,ema_trend,2021-09-01 04:00,111.30,2021-09-07 15:59,161.98,trailing,8.359,2.2853492200,421.3487707800,0.452889,156.00,tb-ema_trend-SOLUSDT-1630454400-B,tb-ema_trend-SOLUSDT-1631016000-T
LINK/USDT,ema_trend,2021-09-07 12:00,32.707,2021-09-07 15:59,30.051,stop,47.50,2.98264035000,-129.14264035000,-0.083126,4.00,tb-ema_trend-LINKUSDT-1631001600-B,tb-ema_trend-LINKUSDT-1631016000-X
XRP/USDT,ema_trend,2021-09-07 12:00,1.2846,2021-09-07 15:59,1.2006,stop,1504.3,3.740541720000,-130.101741720000,-0.067326,4.00,tb-ema_trend-XRPUSDT-1631001600-B,tb-ema_trend-XRPUSDT-1631016000-X
ETH/USDT,ema_trend,2021-09-08 04:00,3431.84,2021-09-08 12:00,3404.55,signal,0.4392,3.0042584080,-14.9900264080,-0.009945,8.00,tb-ema_trend-ETHUSDT-1631059200-B,tb-ema_trend-ETHUSDT-1631088000-S
LINK/USDT,ema_trend,2021-09-08 04:00,28.065,2021-09-09 00:00,27.156,signal,30.87,1.70579487000,-29.76662487000,-0.034358,20.00,tb-ema_trend-LINKUSDT-1631059200-B,tb-ema_trend-LINKUSDT-1631131200-S
SOL/USDT,ema_trend,2021-09-08 04:00,173.12,2021-09-12 19:59,176.59,trailing,4.264,1.4920290400,13.3040509600,0.018023,112.00,tb-ema_trend-SOLUSDT-1631059200-B,tb-ema_trend-SOLUSDT-1631462400-T
LINK/USDT,ema_trend,2021-09-15 08:00,30.326,2021-09-17 11:59,28.084,trailing,44.93,2.62587760000,-103.35893760000,-0.075857,52.00,tb-ema_trend-LINKUSDT-1631678400-B,tb-ema_trend-LINKUSDT-1631865600-T
ETH/USDT,ema_trend,2021-09-16 08:00,3635.91,2021-09-17 11:59,3444.81,stop,0.5523,3.9128631990,-109.4573931990,-0.054508,28.00,tb-ema_trend-ETHUSDT-1631764800-B,tb-ema_trend-ETHUSDT-1631865600-X
LINK/USDT,ema_trend,2021-09-17 20:00,28.315,2021-09-19 04:00,27.926,signal,51.03,2.87167713000,-22.72234713000,-0.015726,32.00,tb-ema_trend-LINKUSDT-1631894400-B,tb-ema_trend-LINKUSDT-1632009600-S
ETH/USDT,ema_trend,2021-09-17 20:00,3425.66,2021-09-19 12:00,3324.52,signal,0.6363,4.2975375000,-68.6529195000,-0.031496,40.00,tb-ema_trend-ETHUSDT-1631894400-B,tb-ema_trend-ETHUSDT-1632038400-S
BTC/USDT,ema_trend,2021-09-16 04:00,47638.88,2021-09-20 03:59,46410.07,trailing,0.05620,5.2884093188,-74.3475313188,-0.027770,96.00,tb-ema_trend-BTCUSDT-1631750400-B,tb-ema_trend-BTCUSDT-1632096000-T
ETH/USDT,ema_trend,2021-10-07 04:00,3521.30,2021-10-10 23:59,3411.28,trailing,0.6309,4.3762296300,-73.7878476300,-0.033214,92.00,tb-ema_trend-ETHUSDT-1633564800-B,tb-ema_trend-ETHUSDT-1633896000-T
XRP/USDT,ema_trend,2021-10-07 04:00,1.0587,2021-10-11 23:59,1.1141,trailing,1574.1,3.421898400000,83.783241600000,0.050275,116.00,tb-ema_trend-XRPUSDT-1633564800-B,tb-ema_trend-XRPUSDT-1633982400-T
BNB/USDT,ema_trend,2021-10-11 04:00,416.01,2021-10-12 00:00,412.99,signal,4.295,3.5626350500,-16.5335350500,-0.009253,20.00,tb-ema_trend-BNBUSDT-1633910400-B,tb-ema_trend-BNBUSDT-1633982400-S
BTC/USDT,ema_trend,2021-10-07 04:00,54838.34,2021-10-12 23:59,54199.42,trailing,0.05119,5.5849332350,-38.2912480350,-0.013640,140.00,tb-ema_trend-BTCUSDT-1633564800-B,tb-ema_trend-BTCUSDT-1634068800-T
BNB/USDT,ema_trend,2021-10-13 00:00,444.33,2021-10-16 15:59,445.52,trailing,4.554,4.0545985500,1.3646614500,0.000674,88.00,tb-ema_trend-BNBUSDT-1634068800-B,tb-ema_trend-BNBUSDT-1634385600-T
ETH/USDT,ema_trend,2021-10-12 00:00,3543.90,2021-10-17 23:59,3728.26,trailing,0.5014,3.6483873600,88.7897166400,0.049969,144.00,tb-ema_trend-ETHUSDT-1633982400-B,tb-ema_trend-ETHUSDT-1634500800-T
XRP/USDT,ema_trend,2021-10-12 08:00,1.1019,2021-10-17 23:59,1.0929,trailing,1611.6,3.539012910000,-18.043412910000,-0.010161,136.00,tb-ema_trend-XRPUSDT-1634011200-B,tb-ema_trend-XRPUSDT-1634500800-T
BTC/USDT,ema_trend,2021-10-16 16:00,60971.52,2021-10-21 15:59,63038.79,trailing,0.03319,4.1183410496,64.4943502504,0.031870,120.00,tb-ema_trend-BTCUSDT-1634385600-B,tb-ema_trend-BTCUSDT-1634817600-T
