ts,datetime_utc,equity,B&H BTC filtrado (OOS),B&H ETH (OOS)
1627790399999,2021-08-01 03:59,10000,10000.00000000,10321.8805088000000000
1627804799999,2021-08-01 07:59,9921.5570180580000000,9869.2594150180000000,10202.2726204160000000
1627819199999,2021-08-01 11:59,9923.4573927810000000,9872.4267615010000000,10205.5468469120000000
1627833599999,2021-08-01 15:59,9914.7568820010000000,9857.9256571210000000,10190.5564123520000000
1627847999999,2021-08-01 19:59,10080.4100280360000000,10134.0190523560000000,10475.9663966720000000
1627862399999,2021-08-01 23:59,9851.7468670890000000,9752.9071327690000000,10081.9941073280000000
1627876799999,2021-08-02 03:59,9861.6150780000000000,9769.3544380000000000,10098.9964160000000000
1627891199999,2021-08-02 07:59,9993.8170496940000000,9989.6949029740000000,10326.7721242880000000
1627905599999,2021-08-02 11:59,9931.6770858600000000,9886.1264890600000000,10219.7088627200000000
1627919999999,2021-08-02 15:59,10029.3517674060000000,10048.9204661260000000,10387.9962149120000000
1627934399999,2021-08-02 19:59,9957.9388907670000000,9929.8969278070000000,10264.9563059840000000
1627948799999,2021-08-02 23:59,9969.0663861330000000,9948.4430770930000000,10284.1282828160000000
1627963199999,2021-08-03 03:59,9801.3754888890000000,9668.9533705690000000,9995.2073809280000000
1627977599999,2021-08-03 07:59,9708.7150490820000000,9514.5166089220000000,9835.5592528640000000
1627991999999,2021-08-03 11:59,9699.3505519530000000,9498.9088413130000000,9819.4248114560000000
1628006399999,2021-08-03 15:59,9716.3852362170000000,9527.3004772570000000,9848.7745043840000000
1628020799999,2021-08-03 19:59,9666.9754934190000000,9444.9494686990000000,9763.6446154880000000
1628035199999,2021-08-03 23:59,9744.9366492240000000,9574.8869961040000000,9897.9667988480000000
1628049599999,2021-08-04 03:59,9689.4823410420000000,9482.4615360820000000,9802.4225027840000000
1628063999999,2021-08-04 07:59,9675.4928355510000000,9459.1452866710000000,9778.3194619520000000
1628078399999,2021-08-04 11:59,9737.5183189800000000,9562.5228965800000000,9885.1854809600000000
1628092799999,2021-08-04 15:59,10119.3791578980000000,10198.9687356580000000,10543.1077640960000000
1628107199999,2021-08-04 19:59,10170.5061067710000000,10284.1818042910000000,10631.1962913920000000
1628121599999,2021-08-04 23:59,10238.8967007180000000,10398.1681168780000000,10749.0289967360000000
1628135999999,2021-08-05 03:59,10209.6584052810000000,10349.4367740010000000,10698.6532469120000000
1628150399999,2021-08-05 07:59,10140.2603837700000000,10233.7713861700000000,10579.0848070400000000
