pair,strategy,entry_time,entry_price,exit_time,exit_price,exit_reason,qty,fees_quote,pnl,pnl_pct,duration_hours,entry_client_order_id,exit_client_order_id
BTC/USDT,regime_bh,2021-08-10 00:00,46272.00,2021-08-13 00:00,44377.85,signal,0.10793,9.7889282300,-214.2245377300,-0.042895,72.00,tb-regime_bh-BTCUSDT-1628539200-B,tb-regime_bh-BTCUSDT-1628798400-S
BTC/USDT,regime_bh,2021-08-14 00:00,47823.89,2021-08-18 00:00,44673.60,signal,0.10219,9.4575791270,-331.3857142270,-0.067808,96.00,tb-regime_bh-BTCUSDT-1628884800-B,tb-regime_bh-BTCUSDT-1629230400-S
BTC/USDT,regime_bh,2021-08-20 00:00,46784.01,2021-09-09 00:00,46025.28,signal,0.10092,9.3714597903,-85.9424913903,-0.018203,480.00,tb-regime_bh-BTCUSDT-1629403200-B,tb-regime_bh-BTCUSDT-1631131200-S
BTC/USDT,regime_bh,2021-09-10 00:00,46418.34,2021-09-11 00:00,44819.77,signal,0.10079,9.2009951260,-170.3208654260,-0.036405,24.00,tb-regime_bh-BTCUSDT-1631217600-B,tb-regime_bh-BTCUSDT-1631304000-S
BTC/USDT,regime_bh,2021-09-15 00:00,47126.84,2021-09-20 00:00,47218.12,signal,0.09745,9.1986290320,-0.3033930320,-0.000066,120.00,tb-regime_bh-BTCUSDT-1631649600-B,tb-regime_bh-BTCUSDT-1632081600-S
BTC/USDT,regime_bh,2021-10-07 00:00,55342.66,2021-11-17 00:00,60028.84,signal,0.08299,9.5796616228,379.3264165772,0.082590,984.00,tb-regime_bh-BTCUSDT-1633550400-B,tb-regime_bh-BTCUSDT-1637092800-S
BTC/USDT,regime_bh,2023-02-01 04:00,23142.27,2023-03-01 00:00,23129.99,signal,0.21583,9.9920331735,-12.6424255735,-0.002531,668.00,tb-regime_bh-BTCUSDT-1675209600-B,tb-regime_bh-BTCUSDT-1677614400-S
BTC/USDT,regime_bh,2023-03-02 00:00,23641.58,2023-03-04 00:00,22343.16,signal,0.21100,9.7079812876,-283.6746012876,-0.056867,48.00,tb-regime_bh-BTCUSDT-1677700800-B,tb-regime_bh-BTCUSDT-1677873600-S
BTC/USDT,regime_bh,2023-03-13 00:00,22009.05,2023-04-23 00:00,27802.94,signal,0.22022,10.9746585225,1264.9557972775,0.260986,984.00,tb-regime_bh-BTCUSDT-1678651200-B,tb-regime_bh-BTCUSDT-1682193600-S
BTC/USDT,regime_bh,2023-04-24 00:00,27604.39,2023-05-02 00:00,28054.22,signal,0.19846,11.0515286174,78.2217331826,0.014278,192.00,tb-regime_bh-BTCUSDT-1682280000-B,tb-regime_bh-BTCUSDT-1682971200-S
BTC/USDT,regime_bh,2023-05-03 00:00,28684.19,2023-05-09 00:00,27654.96,signal,0.19235,10.8425723445,-208.8149628445,-0.037847,144.00,tb-regime_bh-BTCUSDT-1683057600-B,tb-regime_bh-BTCUSDT-1683576000-S
BTC/USDT,regime_bh,2023-06-21 00:00,28322.16,2023-07-22 00:00,29886.76,signal,0.19112,11.1305532212,287.8957987788,0.053187,744.00,tb-regime_bh-BTCUSDT-1687291200-B,tb-regime_bh-BTCUSDT-1689969600-S
BTC/USDT,regime_bh,2023-10-17 00:00,28515.03,2024-01-08 00:00,43907.04,signal,0.17516,12.6905824902,2683.3738891098,0.537245,1992.00,tb-regime_bh-BTCUSDT-1697486400-B,tb-regime_bh-BTCUSDT-1704657600-S
BTC/USDT,regime_bh,2024-01-09 00:00,46974.52,2024-01-13 00:00,42761.34,signal,0.13486,12.1083545100,-580.2978093100,-0.091602,96.00,tb-regime_bh-BTCUSDT-1704744000-B,tb-regime_bh-BTCUSDT-1705089600-S
BTC/USDT,regime_bh,2024-01-16 00:00,42532.36,2024-01-19 00:00,41306.84,signal,0.14212,11.9216069572,-186.0925093572,-0.030786,72.00,tb-regime_bh-BTCUSDT-1705348800-B,tb-regime_bh-BTCUSDT-1705608000-S
BTC/USDT,regime_bh,2024-02-03 00:00,43221.59,2024-02-04 00:00,42989.59,signal,0.11556,9.9677505512,-36.7776705512,-0.007363,24.00,tb-regime_bh-BTCUSDT-1706904000-B,tb-regime_bh-BTCUSDT-1706990400-S
BTC/USDT,regime_bh,2024-02-10 00:00,47156.35,2024-04-04 00:00,65930.28,signal,0.10552,11.9380884005,1969.0870051995,0.395722,1296.00,tb-regime_bh-BTCUSDT-1707508800-B,tb-regime_bh-BTCUSDT-1712174400-S
BTC/USDT,regime_bh,2024-04-05 00:00,68522.05,2024-04-11 00:00,70595.76,signal,0.08697,12.1052429230,168.2453157770,0.028232,144.00,tb-regime_bh-BTCUSDT-1712260800-B,tb-regime_bh-BTCUSDT-1712779200-S
BTC/USDT,regime_bh,2024-04-19 00:00,63501.83,2024-04-20 00:00,63786.10,signal,0.09517,12.1203424841,14.9336334159,0.002471,24.00,tb-regime_bh-BTCUSDT-1713470400-B,tb-regime_bh-BTCUSDT-1713556800-S
BTC/USDT,regime_bh,2024-04-22 00:00,64973.63,2024-04-24 00:00,66380.79,signal,0.09312,12.2382209486,118.7965182514,0.019635,48.00,tb-regime_bh-BTCUSDT-1713729600-B,tb-regime_bh-BTCUSDT-1713902400-S
BTC/USDT,regime_bh,2024-05-16 00:00,66239.62,2024-06-15 00:00,66010.96,signal,0.09223,12.2040949546,-33.2934067546,-0.005450,720.00,tb-regime_bh-BTCUSDT-1715803200-B,tb-regime_bh-BTCUSDT-1718395200-S
BTC/USDT,regime_bh,2024-06-16 00:00,66261.37,2024-06-17 00:00,66643.52,signal,0.09195,12.2272307685,22.9114617315,0.003760,24.00,tb-regime_bh-BTCUSDT-1718481600-B,tb-regime_bh-BTCUSDT-1718568000-S
BTC/USDT,regime_bh,2024-08-01 04:00,63967.98,2024-08-04 00:00,60667.64,signal,0.07808,9.7366666468,-267.4272138468,-0.053543,68.00,tb-regime_bh-BTCUSDT-1722470400-B,tb-regime_bh-BTCUSDT-1722715200-S
BTC/USDT,regime_bh,2024-09-25 00:00,64294.84,2024-09-26 00:00,63120.43,signal,0.07560,9.6377380012,-98.4231340012,-0.020249,24.00,tb-regime_bh-BTCUSDT-1727208000-B,tb-regime_bh-BTCUSDT-1727294400-S
BTC/USDT,regime_bh,2024-09-27 00:00,65206.58,2024-10-01 00:00,63295.93,signal,0.07379,9.4874167346,-150.4742802346,-0.031273,96.00,tb-regime_bh-BTCUSDT-1727380800-B,tb-regime_bh-BTCUSDT-1727726400-S
BTC/USDT,regime_bh,2024-10-15 00:00,66117.05,2024-12-22 00:00,97243.35,signal,0.07163,11.7067948155,2217.8700741845,0.468304,1632.00,tb-regime_bh-BTCUSDT-1728936000-B,tb-regime_bh-BTCUSDT-1734811200-S
BTC/USDT,regime_bh,2024-12-25 00:00,98712.92,2024-12-28 00:00,94251.88,signal,0.05920,11.4294389392,-275.5230069392,-0.047148,72.00,tb-regime_bh-BTCUSDT-1735070400-B,tb-regime_bh-BTCUSDT-1735329600-S
BTC/USDT,regime_bh,2025-01-03 00:00,97033.29,2025-01-04 00:00,98125.08,signal,0.05880,11.4811341494,52.7161178506,0.009239,24.00,tb-regime_bh-BTCUSDT-1735848000-B,tb-regime_bh-BTCUSDT-1735934400-S
BTC/USDT,regime_bh,2025-01-05 00:00,98269.63,2025-01-06 00:00,98314.42,signal,0.05833,11.4726438157,-8.8600431157,-0.001546,24.00,tb-regime_bh-BTCUSDT-1736020800-B,tb-regime_bh-BTCUSDT-1736107200-S
BTC/USDT,regime_bh,2025-01-07 00:00,102286.72,2025-01-08 00:00,96906.12,signal,0.05599,11.1589443160,-312.4187383160,-0.054552,24.00,tb-regime_bh-BTCUSDT-1736193600-B,tb-regime_bh-BTCUSDT-1736280000-S
BTC/USDT,regime_bh,2025-02-01 04:00,102300.32,2025-02-03 00:00,97651.73,signal,0.04882,9.7667740984,-236.7109378984,-0.047396,44.00,tb-regime_bh-BTCUSDT-1738368000-B,tb-regime_bh-BTCUSDT-1738526400-S
BTC/USDT,regime_bh,2025-02-04 00:00,101379.18,2025-02-05 00:00,97714.25,signal,0.04810,9.5814629470,-185.8645959470,-0.038116,24.00,tb-regime_bh-BTCUSDT-1738612800-B,tb-regime_bh-BTCUSDT-1738699200-S
BTC/USDT,regime_bh,2025-02-08 00:00,96555.06,2025-02-15 00:00,97451.71,signal,0.04954,9.6159231354,34.8041178646,0.007276,168.00,tb-regime_bh-BTCUSDT-1738958400-B,tb-regime_bh-BTCUSDT-1739563200-S
