pair,strategy,entry_time,entry_price,exit_time,exit_price,exit_reason,qty,fees_quote,pnl,pnl_pct,duration_hours,entry_client_order_id,exit_client_order_id
BTC/USDT,pullback_rsi,2021-08-12 20:00,44393.99,2021-08-13 04:00,44824.84,signal,0.01011,0.9028902487,3.4530032513,0.007693,8.00,tb-pullback_rsi-BTCUSDT-1628784000-B,tb-pullback_rsi-BTCUSDT-1628812800-S
ETH/USDT,pullback_rsi,2021-08-12 20:00,3050.09,2021-08-13 04:00,3086.68,signal,0.1079,0.6627674990,3.2852935010,0.009983,8.00,tb-pullback_rsi-ETHUSDT-1628784000-B,tb-pullback_rsi-ETHUSDT-1628812800-S
ADA/USDT,pullback_rsi,2021-08-15 12:00,2.1248,2021-08-16 00:00,2.1656,signal,103.1,0.442765200000,3.763714800000,0.017181,12.00,tb-pullback_rsi-ADAUSDT-1629014400-B,tb-pullback_rsi-ADAUSDT-1629057600-S
BTC/USDT,pullback_rsi,2021-08-15 12:00,45946.54,2021-08-16 00:00,46950.33,signal,0.01093,1.0162817230,9.9551429770,0.019823,12.00,tb-pullback_rsi-BTCUSDT-1629014400-B,tb-pullback_rsi-BTCUSDT-1629057600-S
ETH/USDT,pullback_rsi,2021-08-17 04:00,3196.57,2021-08-17 12:00,3256.08,signal,0.1239,0.8001226470,6.5731663530,0.016597,8.00,tb-pullback_rsi-ETHUSDT-1629158400-B,tb-pullback_rsi-ETHUSDT-1629187200-S
XRP/USDT,pullback_rsi,2021-08-17 04:00,1.2087,2021-08-18 16:00,1.1427,signal,148.4,0.349189500000,-10.143589500000,-0.056551,36.00,tb-pullback_rsi-XRPUSDT-1629158400-B,tb-pullback_rsi-XRPUSDT-1629288000-S
SOL/USDT,pullback_rsi,2021-08-22 00:00,73.89,2021-08-22 08:00,75.48,signal,2.432,0.3634895100,3.5033904900,0.019496,8.00,tb-pullback_rsi-SOLUSDT-1629576000-B,tb-pullback_rsi-SOLUSDT-1629604800-S
ETH/USDT,pullback_rsi,2021-08-23 00:00,3239.62,2021-08-23 04:00,3338.54,signal,0.1393,0.9169856100,12.8625703900,0.028502,4.00,tb-pullback_rsi-ETHUSDT-1629662400-B,tb-pullback_rsi-ETHUSDT-1629676800-S
BNB/USDT,pullback_rsi,2021-08-24 20:00,478.30,2021-08-25 08:00,487.64,signal,0.692,0.6689087800,5.7943712200,0.017507,12.00,tb-pullback_rsi-BNBUSDT-1629820800-B,tb-pullback_rsi-BNBUSDT-1629864000-S
ETH/USDT,pullback_rsi,2021-08-24 20:00,3219.06,2021-08-25 16:00,3215.56,signal,0.1390,0.8950559920,-1.3815559920,-0.003088,20.00,tb-pullback_rsi-ETHUSDT-1629820800-B,tb-pullback_rsi-ETHUSDT-1629892800-S
SOL/USDT,pullback_rsi,2021-08-25 16:00,71.32,2021-08-26 00:00,71.94,signal,2.707,0.3880187800,1.2903212200,0.006683,8.00,tb-pullback_rsi-SOLUSDT-1629892800-B,tb-pullback_rsi-SOLUSDT-1629921600-S
ETH/USDT,pullback_rsi,2021-08-26 16:00,3106.32,2021-08-27 08:00,3124.60,signal,0.1330,0.8293336240,1.6019063760,0.003877,16.00,tb-pullback_rsi-ETHUSDT-1629979200-B,tb-pullback_rsi-ETHUSDT-1630036800-S
LTC/USDT,pullback_rsi,2021-08-26 20:00,168.29,2021-08-27 08:00,169.51,signal,1.944,0.6570197800,1.7146602200,0.005241,12.00,tb-pullback_rsi-LTCUSDT-1629993600-B,tb-pullback_rsi-LTCUSDT-1630036800-S
BNB/USDT,pullback_rsi,2021-08-30 08:00,478.64,2021-08-30 20:00,477.86,signal,0.960,0.9187186400,-1.6675186400,-0.003629,12.00,tb-pullback_rsi-BNBUSDT-1630296000-B,tb-pullback_rsi-BNBUSDT-1630339200-S
LTC/USDT,pullback_rsi,2021-08-30 08:00,172.79,2021-08-30 20:00,175.61,signal,2.402,0.8373751700,5.9362648300,0.014303,12.00,tb-pullback_rsi-LTCUSDT-1630296000-B,tb-pullback_rsi-LTCUSDT-1630339200-S
ETH/USDT,pullback_rsi,2021-09-04 16:00,3919.68,2021-09-05 12:00,3922.59,signal,0.1254,0.9842045980,-0.6192905980,-0.001260,20.00,tb-pullback_rsi-ETHUSDT-1630756800-B,tb-pullback_rsi-ETHUSDT-1630828800-S
XRP/USDT,pullback_rsi,2021-09-05 00:00,1.2555,2021-09-05 12:00,1.2612,signal,298.5,0.751611600000,0.949838400000,0.002534,12.00,tb-pullback_rsi-XRPUSDT-1630785600-B,tb-pullback_rsi-XRPUSDT-1630828800-S
ETH/USDT,pullback_rsi,2021-09-08 00:00,3436.56,2021-09-08 20:00,3521.38,signal,0.0738,0.5138396240,5.7458763760,0.022656,20.00,tb-pullback_rsi-ETHUSDT-1631044800-B,tb-pullback_rsi-ETHUSDT-1631116800-S
ADA/USDT,pullback_rsi,2021-09-08 00:00,2.5153,2021-09-09 00:00,2.4687,signal,69.0,0.344147530000,-3.559547530000,-0.020510,24.00,tb-pullback_rsi-ADAUSDT-1631044800-B,tb-pullback_rsi-ADAUSDT-1631131200-S
ETH/USDT,pullback_rsi,2021-09-10 20:00,3312.91,2021-09-11 12:00,3291.49,signal,0.0810,0.5352876910,-2.2703076910,-0.008460,16.00,tb-pullback_rsi-ETHUSDT-1631289600-B,tb-pullback_rsi-ETHUSDT-1631347200-S
SOL/USDT,pullback_rsi,2021-09-10 00:00,187.99,2021-09-11 16:00,188.32,signal,0.610,0.2297370900,-0.0284370900,-0.000248,40.00,tb-pullback_rsi-SOLUSDT-1631217600-B,tb-pullback_rsi-SOLUSDT-1631361600-S
SOL/USDT,pullback_rsi,2021-09-15 00:00,158.80,2021-09-15 08:00,161.94,signal,0.886,0.2843344400,2.4977055600,0.017752,8.00,tb-pullback_rsi-SOLUSDT-1631649600-B,tb-pullback_rsi-SOLUSDT-1631678400-S
SOL/USDT,pullback_rsi,2021-09-17 16:00,144.70,2021-09-18 00:00,147.51,signal,1.116,0.3263957600,2.8095642400,0.017398,8.00,tb-pullback_rsi-SOLUSDT-1631880000-B,tb-pullback_rsi-SOLUSDT-1631908800-S
LINK/USDT,pullback_rsi,2021-09-18 04:00,28.285,2021-09-18 08:00,28.965,signal,8.86,0.50751785000,5.51728215000,0.022016,4.00,tb-pullback_rs-LINKUSDT-1631923200-B,tb-pullback_rs-LINKUSDT-1631937600-S
LTC/USDT,pullback_rsi,2021-09-17 04:00,186.10,2021-09-18 08:00,183.70,signal,1.572,0.5816978000,-4.3544978000,-0.014885,28.00,tb-pullback_rsi-LTCUSDT-1631836800-B,tb-pullback_rsi-LTCUSDT-1631937600-S
LINK/USDT,pullback_rsi,2021-09-19 08:00,28.645,2021-09-20 03:59,26.203,stop,10.32,0.56660426000,-25.76804426000,-0.087167,20.00,tb-pullback_rs-LINKUSDT-1632024000-B,tb-pullback_rs-LINKUSDT-1632096000-X
ETH/USDT,pullback_rsi,2021-09-19 08:00,3442.55,2021-09-20 03:59,3239.55,stop,0.1245,0.8326099650,-26.1061099650,-0.060911,20.00,tb-pullback_rsi-ETHUSDT-1632024000-B,tb-pullback_rsi-ETHUSDT-1632096000-X
BTC/USDT,pullback_rsi,2021-10-07 20:00,53989.74,2021-10-08 08:00,54801.96,signal,0.00889,0.9676981060,6.2529376940,0.013028,12.00,tb-pullback_rsi-BTCUSDT-1633622400-B,tb-pullback_rsi-BTCUSDT-1633665600-S
LTC/USDT,pullback_rsi,2021-10-08 08:00,179.89,2021-10-08 12:00,181.70,signal,1.772,0.6410972600,2.5662227400,0.008051,4.00,tb-pullback_rsi-LTCUSDT-1633665600-B,tb-pullback_rsi-LTCUSDT-1633680000-S
LINK/USDT,pullback_rsi,2021-10-09 04:00,26.484,2021-10-09 12:00,27.066,signal,12.36,0.66240768000,6.53111232000,0.019952,8.00,tb-pullback_rs-LINKUSDT-1633737600-B,tb-pullback_rs-LINKUSDT-1633766400-S
BNB/USDT,pullback_rsi,2021-10-09 04:00,424.32,2021-10-11 04:00,415.59,signal,0.975,0.8193365700,-9.3310865700,-0.022555,48.00,tb-pullback_rsi-BNBUSDT-1633737600-B,tb-pullback_rsi-BNBUSDT-1633910400-S
SOL/USDT,pullback_rsi,2021-10-10 00:00,156.88,2021-10-11 19:59,143.54,stop,1.885,0.5666054600,-25.7125054600,-0.086949,44.00,tb-pullback_rsi-SOLUSDT-1633809600-B,tb-pullback_rsi-SOLUSDT-1633968000-X
BNB/USDT,pullback_rsi,2021-10-12 16:00,434.02,2021-10-12 20:00,433.88,signal,0.860,0.7468280200,-0.8672280200,-0.002323,4.00,tb-pullback_rsi-BNBUSDT-1634040000-B,tb-pullback_rsi-BNBUSDT-1634054400-S
XRP/USDT,pullback_rsi,2021-10-12 08:00,1.1019,2021-10-13 04:00,1.1184,signal,282.1,0.626677200000,4.027972800000,0.012958,20.00,tb-pullback_rsi-XRPUSDT-1634011200-B,tb-pullback_rsi-XRPUSDT-1634083200-S
BTC/USDT,pullback_rsi,2021-10-13 00:00,56024.91,2021-10-13 16:00,56140.76,signal,0.00809,0.9079805210,0.0292459790,0.000065,16.00,tb-pullback_rsi-BTCUSDT-1634068800-B,tb-pullback_rsi-BTCUSDT-1634126400-S
LINK/USDT,pullback_rsi,2021-10-15 20:00,27.034,2021-10-16 00:00,26.996,signal,11.66,0.63053048000,-1.07361048000,-0.003406,4.00,tb-pullback_rs-LINKUSDT-1634313600-B,tb-pullback_rs-LINKUSDT-1634328000-S
BNB/USDT,pullback_rsi,2021-10-17 00:00,466.04,2021-10-17 12:00,468.76,signal,0.720,0.6735220400,1.2848779600,0.003829,12.00,tb-pullback_rsi-BNBUSDT-1634414400-B,tb-pullback_rsi-BNBUSDT-1634457600-S
BTC/USDT,pullback_rsi,2021-10-17 00:00,60906.01,2021-10-18 00:00,61497.55,signal,0.00852,1.0434873953,3.9964334047,0.007701,24.00,tb-pullback_rsi-BTCUSDT-1634414400-B,tb-pullback_rsi-BTCUSDT-1634500800-S
LTC/USDT,pullback_rsi,2021-10-17 20:00,184.10,2021-10-18 04:00,185.70,signal,2.369,0.8766085000,2.9137915000,0.006681,8.00,tb-pullback_rsi-LTCUSDT-1634486400-B,tb-pullback_rsi-LTCUSDT-1634515200-S
SOL/USDT,pullback_rsi,2021-10-18 20:00,156.83,2021-10-19 04:00,158.42,signal,2.178,0.6870849900,2.7759350100,0.008127,8.00,tb-pullback_rsi-SOLUSDT-1634572800-B,tb-pullback_rsi-SOLUSDT-1634601600-S
XRP/USDT,pullback_rsi,2021-10-18 04:00,1.0964,2021-10-19 04:00,1.0963,signal,332.2,0.728853500000,-0.762073500000,-0.002092,24.00,tb-pullback_rsi-XRPUSDT-1634515200-B,tb-pullback_rsi-XRPUSDT-1634601600-S
SOL/USDT,pullback_rsi,2021-10-20 00:00,155.85,2021-10-20 08:00,156.44,signal,2.556,0.7986807900,0.7093592100,0.001781,8.00,tb-pullback_rsi-SOLUSDT-1634673600-B,tb-pullback_rsi-SOLUSDT-1634702400-S
BNB/USDT,pullback_rsi,2021-10-21 20:00,474.94,2021-10-22 08:00,489.05,signal,0.915,0.8825257900,12.0281242100,0.027678,12.00,tb-pullback_rsi-BNBUSDT-1634832000-B,tb-pullback_rsi-BNBUSDT-1634875200-S
BTC/USDT,pullback_rsi,2021-10-22 20:00,61063.23,2021-10-23 12:00,61521.46,signal,0.00649,0.7961852750,2.1777274250,0.005495,16.00,tb-pullback_rsi-BTCUSDT-1634918400-B,tb-pullback_rsi-BTCUSDT-1634976000-S
