pair,strategy,entry_time,entry_price,exit_time,exit_price,exit_reason,qty,fees_quote,pnl,pnl_pct,duration_hours,entry_client_order_id,exit_client_order_id
BTC/USDT,pullback_rsi,2021-08-12 20:00,44393.99,2021-08-13 04:00,44824.84,signal,0.02023,1.8062287474,6.9098667526,0.007694,8.00,tb-pullback_rsi-BTCUSDT-1628784000-B,tb-pullback_rsi-BTCUSDT-1628812800-S
ETH/USDT,pullback_rsi,2021-08-12 20:00,3050.09,2021-08-13 04:00,3086.68,signal,0.2159,1.3258436680,6.5739373320,0.009983,8.00,tb-pullback_rsi-ETHUSDT-1628784000-B,tb-pullback_rsi-ETHUSDT-1628812800-S
LINK/USDT,pullback_rsi,2021-08-12 20:00,24.775,2021-08-13 04:00,25.267,signal,20.94,1.04862273000,9.25385727000,0.017837,8.00,tb-pullback_rs-LINKUSDT-1628784000-B,tb-pullback_rs-LINKUSDT-1628812800-S
LINK/USDT,pullback_rsi,2021-08-15 12:00,26.586,2021-08-15 20:00,26.813,signal,21.83,1.16649775000,3.78891225000,0.006528,8.00,tb-pullback_rs-LINKUSDT-1629014400-B,tb-pullback_rs-LINKUSDT-1629043200-S
ADA/USDT,pullback_rsi,2021-08-15 12:00,2.1248,2021-08-16 00:00,2.1656,signal,206.7,0.887463120000,7.545896880000,0.017181,12.00,tb-pullback_rsi-ADAUSDT-1629014400-B,tb-pullback_rsi-ADAUSDT-1629057600-S
BTC/USDT,pullback_rsi,2021-08-15 12:00,45946.54,2021-08-16 00:00,46950.33,signal,0.02190,2.0358198522,19.9471811478,0.019824,12.00,tb-pullback_rsi-BTCUSDT-1629014400-B,tb-pullback_rsi-BTCUSDT-1629057600-S
BTC/USDT,pullback_rsi,2021-08-17 04:00,46440.21,2021-08-17 12:00,46821.72,signal,0.02113,1.9720177836,6.0892885164,0.006205,8.00,tb-pullback_rsi-BTCUSDT-1629158400-B,tb-pullback_rsi-BTCUSDT-1629187200-S
ETH/USDT,pullback_rsi,2021-08-17 04:00,3196.57,2021-08-17 12:00,3256.08,signal,0.2488,1.6063782870,13.1997097130,0.016597,8.00,tb-pullback_rsi-ETHUSDT-1629158400-B,tb-pullback_rsi-ETHUSDT-1629187200-S
XRP/USDT,pullback_rsi,2021-08-17 04:00,1.2087,2021-08-18 16:00,1.1427,signal,298.0,0.701079810000,-20.369079810000,-0.056551,36.00,tb-pullback_rsi-XRPUSDT-1629158400-B,tb-pullback_rsi-XRPUSDT-1629288000-S
SOL/USDT,pullback_rsi,2021-08-22 00:00,73.89,2021-08-22 08:00,75.48,signal,4.883,0.7297431600,7.0342268400,0.019496,8.00,tb-pullback_rsi-SOLUSDT-1629576000-B,tb-pullback_rsi-SOLUSDT-1629604800-S
ETH/USDT,pullback_rsi,2021-08-23 00:00,3239.62,2021-08-23 04:00,3338.54,signal,0.2798,1.8415410520,25.8362749480,0.028503,4.00,tb-pullback_rsi-ETHUSDT-1629662400-B,tb-pullback_rsi-ETHUSDT-1629676800-S
BNB/USDT,pullback_rsi,2021-08-24 20:00,478.30,2021-08-25 08:00,487.64,signal,1.392,1.3455450800,11.6557349200,0.017507,12.00,tb-pullback_rsi-BNBUSDT-1629820800-B,tb-pullback_rsi-BNBUSDT-1629864000-S
ETH/USDT,pullback_rsi,2021-08-24 20:00,3219.06,2021-08-25 16:00,3215.56,signal,0.2795,1.7994420080,-2.7776920080,-0.003087,20.00,tb-pullback_rsi-ETHUSDT-1629820800-B,tb-pullback_rsi-ETHUSDT-1629892800-S
SOL/USDT,pullback_rsi,2021-08-25 16:00,71.32,2021-08-26 00:00,71.94,signal,5.442,0.7800488400,2.5939911600,0.006683,8.00,tb-pullback_rsi-SOLUSDT-1629892800-B,tb-pullback_rsi-SOLUSDT-1629921600-S
ADA/USDT,pullback_rsi,2021-08-24 20:00,2.7947,2021-08-26 19:59,2.4872,stop,164.4,0.868903300000,-51.421903300000,-0.111921,48.00,tb-pullback_rsi-ADAUSDT-1629820800-B,tb-pullback_rsi-ADAUSDT-1629993600-X
BTC/USDT,pullback_rsi,2021-08-26 20:00,46957.69,2021-08-27 08:00,47456.03,signal,0.02184,2.0634043803,8.8203412197,0.008601,12.00,tb-pullback_rsi-BTCUSDT-1629993600-B,tb-pullback_rsi-BTCUSDT-1630036800-S
ETH/USDT,pullback_rsi,2021-08-26 16:00,3106.32,2021-08-27 08:00,3124.60,signal,0.2665,1.6614720760,3.2101479240,0.003878,16.00,tb-pullback_rsi-ETHUSDT-1629979200-B,tb-pullback_rsi-ETHUSDT-1630036800-S
LTC/USDT,pullback_rsi,2021-08-26 20:00,168.29,2021-08-27 08:00,169.51,signal,3.892,1.3153907600,3.4328492400,0.005241,12.00,tb-pullback_rsi-LTCUSDT-1629993600-B,tb-pullback_rsi-LTCUSDT-1630036800-S
BNB/USDT,pullback_rsi,2021-08-30 08:00,478.64,2021-08-30 20:00,477.86,signal,1.923,1.8403067800,-3.3402467800,-0.003629,12.00,tb-pullback_rsi-BNBUSDT-1630296000-B,tb-pullback_rsi-BNBUSDT-1630339200-S
