pair,strategy,entry_time,entry_price,exit_time,exit_price,exit_reason,qty,fees_quote,pnl,pnl_pct,duration_hours,entry_client_order_id,exit_client_order_id
ADA/USDT,donchian,2021-08-10 12:00,1.5755,2021-08-12 15:59,1.6837,trailing,399.6,1.303006520000,41.933713480000,0.066607,52.00,tb-donchian-ADAUSDT-1628582400-B,tb-donchian-ADAUSDT-1628769600-T
BNB/USDT,donchian,2021-08-10 16:00,369.54,2021-08-12 15:59,372.60,trailing,1.849,1.3729559400,4.2849840600,0.006271,48.00,tb-donchian-BNBUSDT-1628596800-B,tb-donchian-BNBUSDT-1628769600-T
BTC/USDT,donchian,2021-08-14 00:00,47823.89,2021-08-17 03:59,45234.71,trailing,0.01800,1.6760112778,-48.2812512778,-0.056087,76.00,tb-donchian-BTCUSDT-1628884800-B,tb-donchian-BTCUSDT-1629158400-T
ADA/USDT,donchian,2021-08-14 00:00,2.1397,2021-08-17 20:00,2.0079,signal,188.4,0.781835780000,-25.612955780000,-0.063537,92.00,tb-donchian-ADAUSDT-1628884800-B,tb-donchian-ADAUSDT-1629216000-S
SOL/USDT,donchian,2021-08-10 12:00,40.81,2021-08-17 23:59,61.07,trailing,12.061,1.2293052100,243.1265547900,0.493949,180.00,tb-donchian-SOLUSDT-1628582400-B,tb-donchian-SOLUSDT-1629230400-T
ADA/USDT,donchian,2021-08-20 00:00,2.4424,2021-08-24 19:59,2.5951,trailing,158.7,0.799939730000,23.433550270000,0.060457,116.00,tb-donchian-ADAUSDT-1629403200-B,tb-donchian-ADAUSDT-1629820800-T
BTC/USDT,donchian,2021-08-20 16:00,48742.74,2021-08-24 19:59,47847.70,trailing,0.01683,1.6265919590,-16.6901151590,-0.020345,100.00,tb-donchian-BTCUSDT-1629460800-B,tb-donchian-BTCUSDT-1629820800-T
BNB/USDT,donchian,2021-08-20 16:00,447.71,2021-08-30 15:59,472.18,trailing,1.295,1.1921529700,30.4964970300,0.052600,240.00,tb-donchian-BNBUSDT-1629460800-B,tb-donchian-BNBUSDT-1630324800-T
SOL/USDT,donchian,2021-08-27 20:00,85.69,2021-08-31 19:59,107.82,trailing,3.954,0.7654813000,86.7365387000,0.255997,96.00,tb-donchian-SOLUSDT-1630080000-B,tb-donchian-SOLUSDT-1630425600-T
ADA/USDT,donchian,2021-09-02 04:00,3.0316,2021-09-04 19:59,2.8278,trailing,193.3,1.133228340000,-40.527768340000,-0.069159,64.00,tb-donchian-ADAUSDT-1630540800-B,tb-donchian-ADAUSDT-1630771200-T
ETH/USDT,donchian,2021-08-31 12:00,3431.62,2021-09-07 11:59,3765.21,trailing,0.2205,1.5879305060,71.9686644940,0.095112,168.00,tb-donchian-ETHUSDT-1630396800-B,tb-donchian-ETHUSDT-1631001600-T
LINK/USDT,donchian,2021-09-05 20:00,32.867,2021-09-07 11:59,32.018,trailing,18.89,1.22633499000,-17.26394499000,-0.027807,40.00,tb-donchian-LINKUSDT-1630857600-B,tb-donchian-LINKUSDT-1631001600-T
SOL/USDT,donchian,2021-09-03 04:00,135.42,2021-09-07 15:59,161.98,trailing,2.511,0.7471776600,65.9449823400,0.193933,108.00,tb-donchian-SOLUSDT-1630627200-B,tb-donchian-SOLUSDT-1631016000-T
BTC/USDT,donchian,2021-09-18 08:00,48646.33,2021-09-20 03:59,46434.37,trailing,0.02073,1.9724823008,-47.8264131008,-0.047426,44.00,tb-donchian-BTCUSDT-1631937600-B,tb-donchian-BTCUSDT-1632096000-T
BNB/USDT,donchian,2021-10-07 08:00,445.13,2021-10-09 23:59,418.87,trailing,1.531,1.3236742600,-41.5277342600,-0.060936,64.00,tb-donchian-BNBUSDT-1633579200-B,tb-donchian-BNBUSDT-1633809600-T
ADA/USDT,donchian,2021-10-07 12:00,2.3242,2021-10-10 23:59,2.1963,trailing,276.5,1.250615510000,-36.614965510000,-0.056976,84.00,tb-donchian-ADAUSDT-1633593600-B,tb-donchian-ADAUSDT-1633896000-T
LTC/USDT,donchian,2021-10-07 08:00,185.20,2021-10-11 03:59,172.29,trailing,2.950,1.0551511000,-39.1396511000,-0.071640,92.00,tb-donchian-LTCUSDT-1633579200-B,tb-donchian-LTCUSDT-1633910400-T
