pair,strategy,entry_time,entry_price,exit_time,exit_price,exit_reason,qty,fees_quote,pnl,pnl_pct,duration_hours,entry_client_order_id,exit_client_order_id
BTC/USDT,pullback_rsi,2021-08-12 20:00,44416.18,2021-08-13 04:00,44802.42,signal,0.01011,0.9028883734,3.0019980266,0.006685,8.00,tb-pullback_rsi-BTCUSDT-1628784000-B,tb-pullback_rsi-BTCUSDT-1628812800-S
ETH/USDT,pullback_rsi,2021-08-12 20:00,3051.61,2021-08-13 04:00,3085.14,signal,0.1079,0.6627656510,2.9551213490,0.008975,8.00,tb-pullback_rsi-ETHUSDT-1628784000-B,tb-pullback_rsi-ETHUSDT-1628812800-S
ADA/USDT,pullback_rsi,2021-08-15 12:00,2.1259,2021-08-16 00:00,2.1645,signal,103.1,0.442765420000,3.536894580000,0.016137,12.00,tb-pullback_rsi-ADAUSDT-1629014400-B,tb-pullback_rsi-ADAUSDT-1629057600-S
BTC/USDT,pullback_rsi,2021-08-15 12:00,45969.50,2021-08-16 00:00,46926.84,signal,0.01093,1.0162763850,9.4474498150,0.018803,12.00,tb-pullback_rsi-BTCUSDT-1629014400-B,tb-pullback_rsi-BTCUSDT-1629057600-S
ETH/USDT,pullback_rsi,2021-08-17 04:00,3198.17,2021-08-17 12:00,3254.45,signal,0.1239,0.8001192570,6.1729727430,0.015578,8.00,tb-pullback_rsi-ETHUSDT-1629158400-B,tb-pullback_rsi-ETHUSDT-1629187200-S
XRP/USDT,pullback_rsi,2021-08-17 04:00,1.2093,2021-08-18 16:00,1.1421,signal,148.4,0.349189620000,-10.321669620000,-0.057515,36.00,tb-pullback_rsi-XRPUSDT-1629158400-B,tb-pullback_rsi-XRPUSDT-1629288000-S
SOL/USDT,pullback_rsi,2021-08-22 00:00,73.93,2021-08-22 08:00,75.44,signal,2.432,0.3634896300,3.3088303700,0.018403,8.00,tb-pullback_rsi-SOLUSDT-1629576000-B,tb-pullback_rsi-SOLUSDT-1629604800-S
ETH/USDT,pullback_rsi,2021-08-23 00:00,3241.24,2021-08-23 04:00,3336.87,signal,0.1392,0.9163211560,12.3953748440,0.027473,4.00,tb-pullback_rsi-ETHUSDT-1629662400-B,tb-pullback_rsi-ETHUSDT-1629676800-S
BNB/USDT,pullback_rsi,2021-08-24 20:00,478.54,2021-08-25 08:00,487.40,signal,0.692,0.6689090200,5.4622109800,0.016495,12.00,tb-pullback_rsi-BNBUSDT-1629820800-B,tb-pullback_rsi-BNBUSDT-1629864000-S
ETH/USDT,pullback_rsi,2021-08-24 20:00,3220.67,2021-08-25 16:00,3213.95,signal,0.1389,0.8944128570,-1.8278208570,-0.004086,20.00,tb-pullback_rsi-ETHUSDT-1629820800-B,tb-pullback_rsi-ETHUSDT-1629892800-S
SOL/USDT,pullback_rsi,2021-08-25 16:00,71.35,2021-08-26 00:00,71.91,signal,2.706,0.3878756100,1.1274843900,0.005840,8.00,tb-pullback_rsi-SOLUSDT-1629892800-B,tb-pullback_rsi-SOLUSDT-1629921600-S
ETH/USDT,pullback_rsi,2021-08-26 16:00,3107.87,2021-08-27 08:00,3123.04,signal,0.1329,0.8287095170,1.1873834830,0.002875,16.00,tb-pullback_rsi-ETHUSDT-1629979200-B,tb-pullback_rsi-ETHUSDT-1630036800-S
LTC/USDT,pullback_rsi,2021-08-26 20:00,168.37,2021-08-27 08:00,169.43,signal,1.944,0.6570199400,1.4036200600,0.004288,12.00,tb-pullback_rsi-LTCUSDT-1629993600-B,tb-pullback_rsi-LTCUSDT-1630036800-S
BNB/USDT,pullback_rsi,2021-08-30 08:00,478.88,2021-08-30 20:00,477.62,signal,0.959,0.9177623800,-2.1261023800,-0.004630,12.00,tb-pullback_rsi-BNBUSDT-1630296000-B,tb-pullback_rsi-BNBUSDT-1630339200-S
LTC/USDT,pullback_rsi,2021-08-30 08:00,172.88,2021-08-30 20:00,175.52,signal,2.401,0.8370270400,5.5016129600,0.013254,12.00,tb-pullback_rsi-LTCUSDT-1630296000-B,tb-pullback_rsi-LTCUSDT-1630339200-S
ETH/USDT,pullback_rsi,2021-09-04 16:00,3921.64,2021-09-05 12:00,3920.63,signal,0.1254,0.9842049840,-1.1108589840,-0.002259,20.00,tb-pullback_rsi-ETHUSDT-1630756800-B,tb-pullback_rsi-ETHUSDT-1630828800-S
XRP/USDT,pullback_rsi,2021-09-05 00:00,1.2561,2021-09-05 12:00,1.2606,signal,298.4,0.751360110000,0.591439890000,0.001578,12.00,tb-pullback_rsi-XRPUSDT-1630785600-B,tb-pullback_rsi-XRPUSDT-1630828800-S
ETH/USDT,pullback_rsi,2021-09-08 00:00,3438.28,2021-09-08 20:00,3519.62,signal,0.0738,0.5138368520,5.4890551480,0.021632,20.00,tb-pullback_rsi-ETHUSDT-1631044800-B,tb-pullback_rsi-ETHUSDT-1631116800-S
ADA/USDT,pullback_rsi,2021-09-08 00:00,2.5166,2021-09-09 00:00,2.4675,signal,69.0,0.344154560000,-3.732054560000,-0.021492,24.00,tb-pullback_rsi-ADAUSDT-1631044800-B,tb-pullback_rsi-ADAUSDT-1631131200-S
ETH/USDT,pullback_rsi,2021-09-10 20:00,3314.57,2021-09-11 12:00,3289.84,signal,0.0810,0.5352886670,-2.5384186670,-0.009455,16.00,tb-pullback_rsi-ETHUSDT-1631289600-B,tb-pullback_rsi-ETHUSDT-1631347200-S
SOL/USDT,pullback_rsi,2021-09-10 00:00,188.08,2021-09-11 16:00,188.23,signal,0.610,0.2297371800,-0.1382371800,-0.001205,40.00,tb-pullback_rsi-SOLUSDT-1631217600-B,tb-pullback_rsi-SOLUSDT-1631361600-S
SOL/USDT,pullback_rsi,2021-09-15 00:00,158.88,2021-09-15 08:00,161.86,signal,0.886,0.2843345200,2.3559454800,0.016736,8.00,tb-pullback_rsi-SOLUSDT-1631649600-B,tb-pullback_rsi-SOLUSDT-1631678400-S
SOL/USDT,pullback_rsi,2021-09-17 16:00,144.77,2021-09-18 00:00,147.44,signal,1.116,0.3263959000,2.6533241000,0.016423,8.00,tb-pullback_rsi-SOLUSDT-1631880000-B,tb-pullback_rsi-SOLUSDT-1631908800-S
LINK/USDT,pullback_rsi,2021-09-18 04:00,28.299,2021-09-18 08:00,28.951,signal,8.86,0.50751799000,5.26920201000,0.021016,4.00,tb-pullback_rs-LINKUSDT-1631923200-B,tb-pullback_rs-LINKUSDT-1631937600-S
LTC/USDT,pullback_rsi,2021-09-17 04:00,186.19,2021-09-18 08:00,183.61,signal,1.570,0.5809583800,-4.6315583800,-0.015844,28.00,tb-pullback_rsi-LTCUSDT-1631836800-B,tb-pullback_rsi-LTCUSDT-1631937600-S
LINK/USDT,pullback_rsi,2021-09-19 08:00,28.659,2021-09-20 03:59,26.204,stop,10.32,0.56675934000,-25.90235934000,-0.087579,20.00,tb-pullback_rs-LINKUSDT-1632024000-B,tb-pullback_rs-LINKUSDT-1632096000-X
ETH/USDT,pullback_rsi,2021-09-19 08:00,3444.27,2021-09-20 03:59,3239.65,stop,0.1244,0.8321685020,-26.2868965020,-0.061351,20.00,tb-pullback_rsi-ETHUSDT-1632024000-B,tb-pullback_rsi-ETHUSDT-1632096000-X
BTC/USDT,pullback_rsi,2021-10-07 20:00,54016.72,2021-10-08 08:00,54774.55,signal,0.00888,0.9666066408,5.7629237592,0.012014,12.00,tb-pullback_rsi-BTCUSDT-1633622400-B,tb-pullback_rsi-BTCUSDT-1633665600-S
LTC/USDT,pullback_rsi,2021-10-08 08:00,179.98,2021-10-08 12:00,181.61,signal,1.770,0.6403742600,2.2447257400,0.007046,4.00,tb-pullback_rsi-LTCUSDT-1633665600-B,tb-pullback_rsi-LTCUSDT-1633680000-S
LINK/USDT,pullback_rsi,2021-10-09 04:00,26.497,2021-10-09 12:00,27.052,signal,12.35,0.66186009000,6.19238991000,0.018923,8.00,tb-pullback_rs-LINKUSDT-1633737600-B,tb-pullback_rs-LINKUSDT-1633766400-S
BNB/USDT,pullback_rsi,2021-10-09 04:00,424.53,2021-10-11 04:00,415.38,signal,0.974,0.8184968700,-9.7305968700,-0.023533,48.00,tb-pullback_rsi-BNBUSDT-1633737600-B,tb-pullback_rsi-BNBUSDT-1633910400-S
SOL/USDT,pullback_rsi,2021-10-10 00:00,156.96,2021-10-11 19:59,143.55,stop,1.883,0.5661742500,-25.8172042500,-0.087351,44.00,tb-pullback_rsi-SOLUSDT-1633809600-B,tb-pullback_rsi-SOLUSDT-1633968000-X
BNB/USDT,pullback_rsi,2021-10-12 16:00,434.24,2021-10-12 20:00,433.66,signal,0.860,0.7468282400,-1.2456282400,-0.003335,4.00,tb-pullback_rsi-BNBUSDT-1634040000-B,tb-pullback_rsi-BNBUSDT-1634054400-S
XRP/USDT,pullback_rsi,2021-10-12 08:00,1.1025,2021-10-13 04:00,1.1178,signal,281.8,0.626011290000,3.685528710000,0.011863,20.00,tb-pullback_rsi-XRPUSDT-1634011200-B,tb-pullback_rsi-XRPUSDT-1634083200-S
BTC/USDT,pullback_rsi,2021-10-13 00:00,56052.91,2021-10-13 16:00,56112.68,signal,0.00808,0.9068584919,-0.4239168919,-0.000936,16.00,tb-pullback_rsi-BTCUSDT-1634068800-B,tb-pullback_rsi-BTCUSDT-1634126400-S
