pair,strategy,entry_time,entry_price,exit_time,exit_price,exit_reason,qty,fees_quote,pnl,pnl_pct,duration_hours,entry_client_order_id,exit_client_order_id
BTC/USDT,pullback_rsi,2021-08-12 20:00,44416.18,2021-08-13 04:00,44802.42,signal,0.02023,1.8062247668,6.0074104332,0.006686,8.00,tb-pullback_rsi-BTCUSDT-1628784000-B,tb-pullback_rsi-BTCUSDT-1628812800-S
ETH/USDT,pullback_rsi,2021-08-12 20:00,3051.61,2021-08-13 04:00,3085.14,signal,0.2159,1.3258398120,5.9132871880,0.008975,8.00,tb-pullback_rsi-ETHUSDT-1628784000-B,tb-pullback_rsi-ETHUSDT-1628812800-S
LINK/USDT,pullback_rsi,2021-08-12 20:00,24.787,2021-08-13 04:00,25.254,signal,20.94,1.04860215000,8.73037785000,0.016820,8.00,tb-pullback_rs-LINKUSDT-1628784000-B,tb-pullback_rs-LINKUSDT-1628812800-S
LINK/USDT,pullback_rsi,2021-08-15 12:00,26.599,2021-08-15 20:00,26.800,signal,21.82,1.16596415000,3.21985585000,0.005548,8.00,tb-pullback_rs-LINKUSDT-1629014400-B,tb-pullback_rs-LINKUSDT-1629043200-S
ADA/USDT,pullback_rsi,2021-08-15 12:00,2.1259,2021-08-16 00:00,2.1645,signal,206.7,0.887463450000,7.091156550000,0.016137,12.00,tb-pullback_rsi-ADAUSDT-1629014400-B,tb-pullback_rsi-ADAUSDT-1629057600-S
BTC/USDT,pullback_rsi,2021-08-15 12:00,45969.50,2021-08-16 00:00,46926.84,signal,0.02190,2.0358089350,18.9299370650,0.018803,12.00,tb-pullback_rsi-BTCUSDT-1629014400-B,tb-pullback_rsi-BTCUSDT-1629057600-S
BTC/USDT,pullback_rsi,2021-08-17 04:00,46463.42,2021-08-17 12:00,46798.30,signal,0.02112,1.9710814330,5.1015841670,0.005199,8.00,tb-pullback_rsi-BTCUSDT-1629158400-B,tb-pullback_rsi-BTCUSDT-1629187200-S
ETH/USDT,pullback_rsi,2021-08-17 04:00,3198.17,2021-08-17 12:00,3254.45,signal,0.2487,1.6057260500,12.3911099500,0.015579,8.00,tb-pullback_rsi-ETHUSDT-1629158400-B,tb-pullback_rsi-ETHUSDT-1629187200-S
XRP/USDT,pullback_rsi,2021-08-17 04:00,1.2093,2021-08-18 16:00,1.1421,signal,297.9,0.700844850000,-20.719724850000,-0.057515,36.00,tb-pullback_rsi-XRPUSDT-1629158400-B,tb-pullback_rsi-XRPUSDT-1629288000-S
SOL/USDT,pullback_rsi,2021-08-22 00:00,73.93,2021-08-22 08:00,75.44,signal,4.880,0.7292952500,6.6395047500,0.018403,8.00,tb-pullback_rsi-SOLUSDT-1629576000-B,tb-pullback_rsi-SOLUSDT-1629604800-S
ETH/USDT,pullback_rsi,2021-08-23 00:00,3241.24,2021-08-23 04:00,3336.87,signal,0.2796,1.8402119260,24.8979360740,0.027474,4.00,tb-pullback_rsi-ETHUSDT-1629662400-B,tb-pullback_rsi-ETHUSDT-1629676800-S
BNB/USDT,pullback_rsi,2021-08-24 20:00,478.54,2021-08-25 08:00,487.40,signal,1.391,1.3445796200,10.9796803800,0.016495,12.00,tb-pullback_rsi-BNBUSDT-1629820800-B,tb-pullback_rsi-BNBUSDT-1629864000-S
ETH/USDT,pullback_rsi,2021-08-24 20:00,3220.67,2021-08-25 16:00,3213.95,signal,0.2793,1.7981555720,-3.6750515720,-0.004086,20.00,tb-pullback_rsi-ETHUSDT-1629820800-B,tb-pullback_rsi-ETHUSDT-1629892800-S
SOL/USDT,pullback_rsi,2021-08-25 16:00,71.35,2021-08-26 00:00,71.91,signal,5.438,0.7794759800,2.2658040200,0.005840,8.00,tb-pullback_rsi-SOLUSDT-1629892800-B,tb-pullback_rsi-SOLUSDT-1629921600-S
ADA/USDT,pullback_rsi,2021-08-24 20:00,2.7961,2021-08-26 19:59,2.4874,stop,164.3,0.868638270000,-51.588048270000,-0.112295,48.00,tb-pullback_rsi-ADAUSDT-1629820800-B,tb-pullback_rsi-ADAUSDT-1629993600-X
BTC/USDT,pullback_rsi,2021-08-26 20:00,46981.16,2021-08-27 08:00,47432.29,signal,0.02181,2.0605667744,7.7785785256,0.007591,12.00,tb-pullback_rsi-BTCUSDT-1629993600-B,tb-pullback_rsi-BTCUSDT-1630036800-S
ETH/USDT,pullback_rsi,2021-08-26 16:00,3107.87,2021-08-27 08:00,3123.04,signal,0.2663,1.6602236920,2.3795473080,0.002875,16.00,tb-pullback_rsi-ETHUSDT-1629979200-B,tb-pullback_rsi-ETHUSDT-1630036800-S
LTC/USDT,pullback_rsi,2021-08-26 20:00,168.37,2021-08-27 08:00,169.43,signal,3.888,1.3140398800,2.8072401200,0.004288,12.00,tb-pullback_rsi-LTCUSDT-1629993600-B,tb-pullback_rsi-LTCUSDT-1630036800-S
BNB/USDT,pullback_rsi,2021-08-30 08:00,478.88,2021-08-30 20:00,477.62,signal,1.921,1.8383942600,-4.2588542600,-0.004630,12.00,tb-pullback_rsi-BNBUSDT-1630296000-B,tb-pullback_rsi-BNBUSDT-1630339200-S
LINK/USDT,pullback_rsi,2021-08-30 16:00,25.005,2021-08-30 20:00,26.143,signal,28.64,1.46562887000,31.12669113000,0.043464,4.00,tb-pullback_rs-LINKUSDT-1630324800-B,tb-pullback_rs-LINKUSDT-1630339200-S
LTC/USDT,pullback_rsi,2021-08-30 08:00,172.88,2021-08-30 20:00,175.52,signal,4.807,1.6756232000,11.0148568000,0.013254,12.00,tb-pullback_rsi-LTCUSDT-1630296000-B,tb-pullback_rsi-LTCUSDT-1630339200-S
LINK/USDT,pullback_rsi,2021-09-05 00:00,29.920,2021-09-05 08:00,30.119,signal,22.68,1.36258212000,3.15073788000,0.004643,8.00,tb-pullback_rs-LINKUSDT-1630785600-B,tb-pullback_rs-LINKUSDT-1630814400-S
ETH/USDT,pullback_rsi,2021-09-04 16:00,3921.64,2021-09-05 12:00,3920.63,signal,0.2520,1.9774285320,-2.2319485320,-0.002258,20.00,tb-pullback_rsi-ETHUSDT-1630756800-B,tb-pullback_rsi-ETHUSDT-1630828800-S
XRP/USDT,pullback_rsi,2021-09-05 00:00,1.2561,2021-09-05 12:00,1.2606,signal,599.2,1.508760300000,1.187639700000,0.001578,12.00,tb-pullback_rsi-XRPUSDT-1630785600-B,tb-pullback_rsi-XRPUSDT-1630828800-S
ETH/USDT,pullback_rsi,2021-09-08 00:00,3438.28,2021-09-08 20:00,3519.62,signal,0.1484,1.0332400180,11.0376159820,0.021632,20.00,tb-pullback_rsi-ETHUSDT-1631044800-B,tb-pullback_rsi-ETHUSDT-1631116800-S
ADA/USDT,pullback_rsi,2021-09-08 00:00,2.5166,2021-09-09 00:00,2.4675,signal,138.7,0.691797990000,-7.501967990000,-0.021492,24.00,tb-pullback_rsi-ADAUSDT-1631044800-B,tb-pullback_rsi-ADAUSDT-1631131200-S
XRP/USDT,pullback_rsi,2021-09-08 00:00,1.1302,2021-09-09 08:00,1.1089,signal,293.1,0.656619270000,-6.899649270000,-0.020828,32.00,tb-pullback_rsi-XRPUSDT-1631044800-B,tb-pullback_rsi-XRPUSDT-1631160000-S
ETH/USDT,pullback_rsi,2021-09-10 20:00,3314.57,2021-09-11 12:00,3289.84,signal,0.1626,1.0745399760,-5.0956379760,-0.009455,16.00,tb-pullback_rsi-ETHUSDT-1631289600-B,tb-pullback_rsi-ETHUSDT-1631347200-S
SOL/USDT,pullback_rsi,2021-09-10 00:00,188.08,2021-09-11 16:00,188.23,signal,1.225,0.4613559100,-0.2776059100,-0.001205,40.00,tb-pullback_rsi-SOLUSDT-1631217600-B,tb-pullback_rsi-SOLUSDT-1631361600-S
SOL/USDT,pullback_rsi,2021-09-15 00:00,158.88,2021-09-15 08:00,161.86,signal,1.779,0.5709142200,4.7305057800,0.016736,8.00,tb-pullback_rsi-SOLUSDT-1631649600-B,tb-pullback_rsi-SOLUSDT-1631678400-S
SOL/USDT,pullback_rsi,2021-09-17 16:00,144.77,2021-09-18 00:00,147.44,signal,2.240,0.6549847100,5.3258152900,0.016423,8.00,tb-pullback_rsi-SOLUSDT-1631880000-B,tb-pullback_rsi-SOLUSDT-1631908800-S
ETH/USDT,pullback_rsi,2021-09-18 04:00,3454.82,2021-09-18 08:00,3499.71,signal,0.2199,1.5303375940,8.3409734060,0.010979,4.00,tb-pullback_rsi-ETHUSDT-1631923200-B,tb-pullback_rsi-ETHUSDT-1631937600-S
LINK/USDT,pullback_rsi,2021-09-18 04:00,28.299,2021-09-18 08:00,28.951,signal,17.79,1.01904348000,10.58003652000,0.021016,4.00,tb-pullback_rs-LINKUSDT-1631923200-B,tb-pullback_rs-LINKUSDT-1631937600-S
LTC/USDT,pullback_rsi,2021-09-17 04:00,186.19,2021-09-18 08:00,183.61,signal,3.155,1.1674637600,-9.3073637600,-0.015844,28.00,tb-pullback_rsi-LTCUSDT-1631836800-B,tb-pullback_rsi-LTCUSDT-1631937600-S
LINK/USDT,pullback_rsi,2021-09-19 08:00,28.659,2021-09-20 03:59,26.204,stop,20.75,1.13926702000,-52.08051702000,-0.087578,20.00,tb-pullback_rs-LINKUSDT-1632024000-B,tb-pullback_rs-LINKUSDT-1632096000-X
ETH/USDT,pullback_rsi,2021-09-19 08:00,3444.27,2021-09-20 03:59,3239.65,stop,0.2503,1.6740184620,-52.8904044620,-0.061351,20.00,tb-pullback_rsi-ETHUSDT-1632024000-B,tb-pullback_rsi-ETHUSDT-1632096000-X
LTC/USDT,pullback_rsi,2021-09-19 08:00,181.29,2021-09-20 03:59,168.84,stop,4.106,1.4385402300,-52.5582402300,-0.070607,20.00,tb-pullback_rsi-LTCUSDT-1632024000-B,tb-pullback_rsi-LTCUSDT-1632096000-X
BTC/USDT,pullback_rsi,2021-10-07 20:00,54016.72,2021-10-08 08:00,54774.55,signal,0.01767,1.9234220768,11.4674340232,0.012014,12.00,tb-pullback_rsi-BTCUSDT-1633622400-B,tb-pullback_rsi-BTCUSDT-1633665600-S
LTC/USDT,pullback_rsi,2021-10-08 08:00,179.98,2021-10-08 12:00,181.61,signal,3.525,1.2753246700,4.4704253300,0.007046,4.00,tb-pullback_rsi-LTCUSDT-1633665600-B,tb-pullback_rsi-LTCUSDT-1633680000-S
LINK/USDT,pullback_rsi,2021-10-08 08:00,27.058,2021-10-09 12:00,27.052,signal,22.32,1.20854694000,-1.34246694000,-0.002223,28.00,tb-pullback_rs-LINKUSDT-1633665600-B,tb-pullback_rs-LINKUSDT-1633766400-S
ETH/USDT,pullback_rsi,2021-10-10 08:00,3585.77,2021-10-11 03:59,3393.87,stop,0.2632,1.8381169750,-52.3461969750,-0.055465,20.00,tb-pullback_rsi-ETHUSDT-1633838400-B,tb-pullback_rsi-ETHUSDT-1633910400-X
BNB/USDT,pullback_rsi,2021-10-09 04:00,424.53,2021-10-11 04:00,415.38,signal,1.937,1.6277547300,-19.3513047300,-0.023533,48.00,tb-pullback_rsi-BNBUSDT-1633737600-B,tb-pullback_rsi-BNBUSDT-1633910400-S
SOL/USDT,pullback_rsi,2021-10-10 00:00,156.96,2021-10-11 19:59,143.55,stop,3.746,1.1263383000,-51.3601983000,-0.087351,44.00,tb-pullback_rsi-SOLUSDT-1633809600-B,tb-pullback_rsi-SOLUSDT-1633968000-X
