pair,strategy,entry_time,entry_price,exit_time,exit_price,exit_reason,qty,fees_quote,pnl,pnl_pct,duration_hours,entry_client_order_id,exit_client_order_id
ADA/USDT,donchian,2021-08-10 12:00,1.5779,2021-08-12 15:59,1.6812,trailing,199.8,0.651483760000,19.987856240000,0.063400,52.00,tb-donchian-ADAUSDT-1628582400-B,tb-donchian-ADAUSDT-1628769600-T
BTC/USDT,donchian,2021-08-14 00:00,47895.59,2021-08-17 03:59,45238.38,trailing,0.00895,0.8340279864,-24.6160574864,-0.057425,76.00,tb-donchian-BTCUSDT-1628884800-B,tb-donchian-BTCUSDT-1629158400-T
SOL/USDT,donchian,2021-08-10 12:00,40.87,2021-08-17 23:59,60.98,trailing,6.030,0.6144415900,120.6488584100,0.489555,180.00,tb-donchian-SOLUSDT-1628582400-B,tb-donchian-SOLUSDT-1629230400-T
ADA/USDT,donchian,2021-08-20 00:00,2.4460,2021-08-24 19:59,2.5912,trailing,78.6,0.396168520000,11.016551480000,0.057302,116.00,tb-donchian-ADAUSDT-1629403200-B,tb-donchian-ADAUSDT-1629820800-T
BNB/USDT,donchian,2021-08-20 16:00,448.38,2021-08-30 15:59,471.47,trailing,0.640,0.5891523800,14.1884476200,0.049443,240.00,tb-donchian-BNBUSDT-1629460800-B,tb-donchian-BNBUSDT-1630324800-T
SOL/USDT,donchian,2021-08-27 20:00,85.82,2021-08-31 19:59,107.66,trailing,1.953,0.3780380800,42.2754819200,0.252231,96.00,tb-donchian-SOLUSDT-1630080000-B,tb-donchian-SOLUSDT-1630425600-T
ADA/USDT,donchian,2021-09-02 04:00,3.0361,2021-09-04 19:59,2.8236,trailing,94.8,0.555803170000,-20.700803170000,-0.071922,64.00,tb-donchian-ADAUSDT-1630540800-B,tb-donchian-ADAUSDT-1630771200-T
ETH/USDT,donchian,2021-08-31 12:00,3436.76,2021-09-07 11:59,3759.56,trailing,0.1081,0.7786095480,34.1160704520,0.091830,168.00,tb-donchian-ETHUSDT-1630396800-B,tb-donchian-ETHUSDT-1631001600-T
LINK/USDT,donchian,2021-09-05 20:00,32.916,2021-09-07 11:59,31.970,trailing,9.26,0.60117352000,-9.36113352000,-0.030712,40.00,tb-donchian-LINKUSDT-1630857600-B,tb-donchian-LINKUSDT-1631001600-T
BTC/USDT,donchian,2021-09-18 08:00,48719.26,2021-09-20 03:59,46437.47,trailing,0.01013,0.9649120590,-24.0794447590,-0.048791,44.00,tb-donchian-BTCUSDT-1631937600-B,tb-donchian-BTCUSDT-1632096000-T
BNB/USDT,donchian,2021-10-07 08:00,445.79,2021-10-09 20:00,418.86,trailing,0.750,0.6489332900,-20.8464332900,-0.062351,60.00,tb-donchian-BNBUSDT-1633579200-B,tb-donchian-BNBUSDT-1633795200-T
LTC/USDT,donchian,2021-10-07 08:00,185.48,2021-10-11 03:59,172.31,trailing,1.445,0.5173775100,-19.5480275100,-0.072935,92.00,tb-donchian-LTCUSDT-1633579200-B,tb-donchian-LTCUSDT-1633910400-T
XRP/USDT,donchian,2021-10-10 08:00,1.2178,2021-10-11 23:59,1.1150,stop,251.7,0.587531100000,-26.462291100000,-0.086331,40.00,tb-donchian-XRPUSDT-1633838400-B,tb-donchian-XRPUSDT-1633982400-X
BTC/USDT,donchian,2021-10-11 08:00,56903.34,2021-10-12 23:59,54118.08,trailing,0.00736,0.8176866858,-21.3172002858,-0.050900,40.00,tb-donchian-BTCUSDT-1633924800-B,tb-donchian-BTCUSDT-1634068800-T
BNB/USDT,donchian,2021-10-13 04:00,462.03,2021-10-16 15:59,444.85,trailing,0.666,0.6044441100,-12.0463241100,-0.039148,84.00,tb-donchian-BNBUSDT-1634083200-B,tb-donchian-BNBUSDT-1634385600-T
LINK/USDT,donchian,2021-10-16 16:00,28.367,2021-10-17 23:59,26.046,trailing,9.72,0.52917803000,-23.08929803000,-0.083740,32.00,tb-donchian-LINKUSDT-1634385600-B,tb-donchian-LINKUSDT-1634500800-T
BTC/USDT,donchian,2021-10-14 04:00,58182.13,2021-10-21 15:59,62944.18,trailing,0.00655,0.7939591528,30.3974683472,0.079764,180.00,tb-donchian-BTCUSDT-1634169600-B,tb-donchian-BTCUSDT-1634817600-T
BNB/USDT,donchian,2021-10-19 00:00,485.97,2021-10-21 15:59,475.28,trailing,0.770,0.7406484700,-8.9719484700,-0.023977,64.00,tb-donchian-BNBUSDT-1634587200-B,tb-donchian-BNBUSDT-1634817600-T
SOL/USDT,donchian,2021-10-22 04:00,202.13,2021-10-26 23:59,196.31,trailing,1.127,0.4494461400,-7.0085861400,-0.030766,116.00,tb-donchian-SOLUSDT-1634860800-B,tb-donchian-SOLUSDT-1635278400-T
LINK/USDT,donchian,2021-10-22 04:00,29.549,2021-10-27 11:59,30.551,trailing,10.26,0.61721698000,9.66330302000,0.031874,128.00,tb-donchian-LINKUSDT-1634860800-B,tb-donchian-LINKUSDT-1635321600-T
ETH/USDT,donchian,2021-10-29 04:00,4388.60,2021-11-01 07:59,4149.24,trailing,0.0786,0.6715130800,-19.4852090800,-0.056488,76.00,tb-donchian-ETHUSDT-1635465600-B,tb-donchian-ETHUSDT-1635739200-T
ETH/USDT,donchian,2021-11-02 16:00,4520.46,2021-11-06 11:59,4374.05,trailing,0.0845,0.7520381460,-13.1236831460,-0.034357,92.00,tb-donchian-ETHUSDT-1635854400-B,tb-donchian-ETHUSDT-1636185600-T
SOL/USDT,donchian,2021-11-06 16:00,253.72,2021-11-09 15:59,237.30,trailing,0.939,0.4613215000,-15.8797015000,-0.066653,72.00,tb-donchian-SOLUSDT-1636200000-B,tb-donchian-SOLUSDT-1636459200-T
BNB/USDT,donchian,2021-10-29 16:00,519.04,2021-11-10 07:59,623.45,trailing,0.692,0.7911221200,71.4605978800,0.198957,280.00,tb-donchian-BNBUSDT-1635508800-B,tb-donchian-BNBUSDT-1636516800-T
LTC/USDT,donchian,2021-11-09 16:00,265.13,2021-11-10 23:59,254.71,trailing,1.018,0.5297273800,-11.1372873800,-0.041264,32.00,tb-donchian-LTCUSDT-1636459200-B,tb-donchian-LTCUSDT-1636574400-T
LINK/USDT,donchian,2021-11-10 16:00,38.167,2021-11-10 23:59,34.861,stop,7.79,0.56926979000,-26.32300979000,-0.088534,8.00,tb-donchian-LINKUSDT-1636545600-B,tb-donchian-LINKUSDT-1636574400-X
LINK/USDT,donchian,2023-01-14 00:00,6.618,2023-01-14 11:59,6.510,trailing,63.61,0.83553534000,-7.70541534000,-0.018304,12.00,tb-donchian-LINKUSDT-1673640000-B,tb-donchian-LINKUSDT-1673683200-T
ETH/USDT,donchian,2023-01-21 00:00,1661.85,2023-01-24 23:59,1584.09,trailing,0.2747,0.8921582700,-22.2528302700,-0.048746,96.00,tb-donchian-ETHUSDT-1674244800-B,tb-donchian-ETHUSDT-1674590400-T
BTC/USDT,donchian,2023-01-14 00:00,19969.88,2023-01-30 15:59,22966.71,trailing,0.02828,1.2148458628,83.5355065372,0.147916,400.00,tb-donchian-BTCUSDT-1673640000-B,tb-donchian-BTCUSDT-1675080000-T
