pair,strategy,entry_time,entry_price,exit_time,exit_price,exit_reason,qty,fees_quote,pnl,pnl_pct,duration_hours,entry_client_order_id,exit_client_order_id
ADA/USDT,donchian,2021-08-10 12:00,1.5779,2021-08-12 15:59,1.6812,trailing,399.6,1.302967520000,39.975712480000,0.063400,52.00,tb-donchian-ADAUSDT-1628582400-B,tb-donchian-ADAUSDT-1628769600-T
BNB/USDT,donchian,2021-08-10 16:00,370.09,2021-08-12 15:59,372.04,trailing,1.848,1.3721964200,2.2314035800,0.003263,48.00,tb-donchian-BNBUSDT-1628596800-B,tb-donchian-BNBUSDT-1628769600-T
BTC/USDT,donchian,2021-08-14 00:00,47895.59,2021-08-17 03:59,45238.38,trailing,0.01800,1.6773693718,-49.5071493718,-0.057425,76.00,tb-donchian-BTCUSDT-1628884800-B,tb-donchian-BTCUSDT-1629158400-T
ADA/USDT,donchian,2021-08-14 00:00,2.1429,2021-08-17 20:00,2.0049,signal,188.3,0.781459320000,-26.766859320000,-0.066335,92.00,tb-donchian-ADAUSDT-1628884800-B,tb-donchian-ADAUSDT-1629216000-S
SOL/USDT,donchian,2021-08-10 12:00,40.87,2021-08-17 23:59,60.98,trailing,12.061,1.2289441600,241.3177658400,0.489555,180.00,tb-donchian-SOLUSDT-1628582400-B,tb-donchian-SOLUSDT-1629230400-T
ADA/USDT,donchian,2021-08-20 00:00,2.4460,2021-08-24 19:59,2.5912,trailing,158.6,0.799389120000,22.229330880000,0.057302,116.00,tb-donchian-ADAUSDT-1629403200-B,tb-donchian-ADAUSDT-1629820800-T
BTC/USDT,donchian,2021-08-20 16:00,48815.82,2021-08-24 19:59,47775.89,trailing,0.01682,1.6256488788,-19.1172714788,-0.023283,100.00,tb-donchian-BTCUSDT-1629460800-B,tb-donchian-BTCUSDT-1629820800-T
BNB/USDT,donchian,2021-08-20 16:00,448.38,2021-08-30 15:59,471.47,trailing,1.294,1.1911826600,28.6872773400,0.049443,240.00,tb-donchian-BNBUSDT-1629460800-B,tb-donchian-BNBUSDT-1630324800-T
SOL/USDT,donchian,2021-08-27 20:00,85.82,2021-08-31 19:59,107.66,trailing,3.949,0.7643958000,85.4817642000,0.252231,96.00,tb-donchian-SOLUSDT-1630080000-B,tb-donchian-SOLUSDT-1630425600-T
ADA/USDT,donchian,2021-09-02 04:00,3.0361,2021-09-04 19:59,2.8236,trailing,193.0,1.131529320000,-42.144029320000,-0.071922,64.00,tb-donchian-ADAUSDT-1630540800-B,tb-donchian-ADAUSDT-1630771200-T
ETH/USDT,donchian,2021-08-31 12:00,3436.76,2021-09-07 11:59,3759.56,trailing,0.2201,1.5849410640,69.4633389360,0.091830,168.00,tb-donchian-ETHUSDT-1630396800-B,tb-donchian-ETHUSDT-1631001600-T
LINK/USDT,donchian,2021-09-05 20:00,32.916,2021-09-07 11:59,31.970,trailing,18.86,1.22440828000,-19.06596828000,-0.030712,40.00,tb-donchian-LINKUSDT-1630857600-B,tb-donchian-LINKUSDT-1631001600-T
SOL/USDT,donchian,2021-09-03 04:00,135.63,2021-09-07 15:59,161.74,trailing,2.506,0.7456161100,64.6860438900,0.190315,108.00,tb-donchian-SOLUSDT-1630627200-B,tb-donchian-SOLUSDT-1631016000-T
BTC/USDT,donchian,2021-09-18 08:00,48719.26,2021-09-20 03:59,46437.47,trailing,0.02068,1.9693027546,-49.1567199546,-0.048790,44.00,tb-donchian-BTCUSDT-1631937600-B,tb-donchian-BTCUSDT-1632096000-T
BNB/USDT,donchian,2021-10-07 08:00,445.79,2021-10-09 20:00,418.86,trailing,1.527,1.3212121300,-42.4433221300,-0.062351,60.00,tb-donchian-BNBUSDT-1633579200-B,tb-donchian-BNBUSDT-1633795200-T
ADA/USDT,donchian,2021-10-07 12:00,2.3277,2021-10-10 23:59,2.1965,trailing,275.8,1.248472670000,-37.433432670000,-0.058309,84.00,tb-donchian-ADAUSDT-1633593600-B,tb-donchian-ADAUSDT-1633896000-T
LTC/USDT,donchian,2021-10-07 08:00,185.48,2021-10-11 03:59,172.31,trailing,2.943,1.0535324100,-39.8128424100,-0.072935,92.00,tb-donchian-LTCUSDT-1633579200-B,tb-donchian-LTCUSDT-1633910400-T
XRP/USDT,donchian,2021-10-10 08:00,1.2178,2021-10-11 23:59,1.1150,stop,510.4,1.191391800000,-53.660511800000,-0.086331,40.00,tb-donchian-XRPUSDT-1633838400-B,tb-donchian-XRPUSDT-1633982400-X
BTC/USDT,donchian,2021-10-11 08:00,56903.34,2021-10-12 23:59,54118.08,trailing,0.01487,1.6520265826,-43.0688427826,-0.050900,40.00,tb-donchian-BTCUSDT-1633924800-B,tb-donchian-BTCUSDT-1634068800-T
BNB/USDT,donchian,2021-10-13 04:00,462.03,2021-10-16 15:59,444.85,trailing,1.340,1.2161432600,-24.2373432600,-0.039148,84.00,tb-donchian-BNBUSDT-1634083200-B,tb-donchian-BNBUSDT-1634385600-T
ETH/USDT,donchian,2021-10-14 12:00,3743.22,2021-10-17 23:59,3722.67,trailing,0.2031,1.5174452280,-5.6911502280,-0.007486,84.00,tb-donchian-ETHUSDT-1634198400-B,tb-donchian-ETHUSDT-1634500800-T
LINK/USDT,donchian,2021-10-16 16:00,28.367,2021-10-17 23:59,26.046,trailing,19.63,1.06869453000,-46.62992453000,-0.083740,32.00,tb-donchian-LINKUSDT-1634385600-B,tb-donchian-LINKUSDT-1634500800-T
BTC/USDT,donchian,2021-10-14 04:00,58182.13,2021-10-21 15:59,62944.18,trailing,0.01318,1.5976084060,61.1662105940,0.079764,180.00,tb-donchian-BTCUSDT-1634169600-B,tb-donchian-BTCUSDT-1634817600-T
BNB/USDT,donchian,2021-10-19 00:00,485.97,2021-10-21 15:59,475.28,trailing,1.547,1.4880256900,-18.0254556900,-0.023977,64.00,tb-donchian-BNBUSDT-1634587200-B,tb-donchian-BNBUSDT-1634817600-T
LTC/USDT,donchian,2021-10-20 16:00,204.51,2021-10-22 15:59,192.22,trailing,3.430,1.3616019400,-43.5163019400,-0.062036,48.00,tb-donchian-LTCUSDT-1634731200-B,tb-donchian-LTCUSDT-1634904000-T
SOL/USDT,donchian,2021-10-22 04:00,202.13,2021-10-26 23:59,196.31,trailing,2.261,0.9014792300,-14.0604992300,-0.030766,116.00,tb-donchian-SOLUSDT-1634860800-B,tb-donchian-SOLUSDT-1635278400-T
LINK/USDT,donchian,2021-10-22 04:00,29.549,2021-10-27 11:59,30.551,trailing,20.58,1.23774447000,19.38341553000,0.031874,128.00,tb-donchian-LINKUSDT-1634860800-B,tb-donchian-LINKUSDT-1635321600-T
ETH/USDT,donchian,2021-10-29 04:00,4388.60,2021-11-01 07:59,4149.24,trailing,0.1572,1.3430261700,-38.9704181700,-0.056488,76.00,tb-donchian-ETHUSDT-1635465600-B,tb-donchian-ETHUSDT-1635739200-T
