pair,strategy,entry_time,entry_price,exit_time,exit_price,exit_reason,qty,fees_quote,pnl,pnl_pct,duration_hours,entry_client_order_id,exit_client_order_id
BTC/USDT,supertrend,2021-08-20 16:00,48742.74,2021-08-24 19:59,47847.70,trailing,0.01645,1.5898875978,-16.3132955978,-0.020345,100.00,tb-supertrend-BTCUSDT-1629460800-B,tb-supertrend-BTCUSDT-1629820800-T
ETH/USDT,supertrend,2021-08-20 16:00,3285.02,2021-08-25 11:59,3143.67,trailing,0.2083,1.3400816320,-30.7832866320,-0.044987,116.00,tb-supertrend-ETHUSDT-1629460800-B,tb-supertrend-ETHUSDT-1629878400-T
BNB/USDT,supertrend,2021-08-20 16:00,447.71,2021-08-30 15:59,472.18,trailing,1.265,1.1645562700,29.7899937300,0.052600,240.00,tb-supertrend-BNBUSDT-1629460800-B,tb-supertrend-BNBUSDT-1630324800-T
SOL/USDT,supertrend,2021-08-27 04:00,81.45,2021-08-31 19:59,107.82,trailing,3.647,0.6905934900,95.4807965100,0.321432,112.00,tb-supertrend-SOLUSDT-1630022400-B,tb-supertrend-SOLUSDT-1630425600-T
ADA/USDT,supertrend,2021-08-28 00:00,2.9485,2021-09-04 19:59,2.8278,trailing,134.5,0.777502050000,-17.011652050000,-0.042897,188.00,tb-supertrend-ADAUSDT-1630094400-B,tb-supertrend-ADAUSDT-1630771200-T
ETH/USDT,supertrend,2021-08-30 20:00,3342.85,2021-09-07 11:59,3765.21,trailing,0.2621,1.8640253800,108.8365306200,0.124220,184.00,tb-supertrend-ETHUSDT-1630339200-B,tb-supertrend-ETHUSDT-1631001600-T
XRP/USDT,supertrend,2021-09-02 00:00,1.2369,2021-09-07 11:59,1.2812,trailing,441.1,1.111352360000,18.429377640000,0.033778,132.00,tb-supertrend-XRPUSDT-1630526400-B,tb-supertrend-XRPUSDT-1631001600-T
LINK/USDT,supertrend,2021-09-15 00:00,30.796,2021-09-17 11:59,28.084,trailing,12.06,0.71070872000,-33.41742872000,-0.089977,60.00,tb-supertrend-LINKUSDT-1631649600-B,tb-supertrend-LINKUSDT-1631865600-T
BNB/USDT,supertrend,2021-09-15 16:00,435.32,2021-09-17 15:59,405.15,trailing,1.537,1.2926730300,-47.6639630300,-0.071237,48.00,tb-supertrend-BNBUSDT-1631707200-B,tb-supertrend-BNBUSDT-1631880000-T
BTC/USDT,supertrend,2021-09-15 12:00,47584.53,2021-09-20 03:59,46410.07,trailing,0.01910,1.7962485536,-24.2284345536,-0.026658,112.00,tb-supertrend-BTCUSDT-1631692800-B,tb-supertrend-BTCUSDT-1632096000-T
SOL/USDT,supertrend,2021-09-19 00:00,169.31,2021-09-20 03:59,144.97,trailing,1.941,0.6103561000,-47.8542961000,-0.145617,28.00,tb-supertrend-SOLUSDT-1631995200-B,tb-supertrend-SOLUSDT-1632096000-T
ADA/USDT,supertrend,2021-10-07 12:00,2.3242,2021-10-10 23:59,2.1963,trailing,267.7,1.210835110000,-35.449665110000,-0.056976,84.00,tb-supertrend-ADAUSDT-1633593600-B,tb-supertrend-ADAUSDT-1633896000-T
BNB/USDT,supertrend,2021-10-12 16:00,434.02,2021-10-16 15:59,445.52,trailing,1.437,1.2647670200,15.2607329800,0.024469,96.00,tb-supertrend-BNBUSDT-1634040000-B,tb-supertrend-BNBUSDT-1634385600-T
LINK/USDT,supertrend,2021-10-14 08:00,26.974,2021-10-17 23:59,26.018,trailing,20.88,1.10728218000,-21.06856218000,-0.037408,88.00,tb-supertrend-LINKUSDT-1634184000-B,tb-supertrend-LINKUSDT-1634500800-T
ADA/USDT,supertrend,2021-10-20 16:00,2.1961,2021-10-21 15:59,2.1362,trailing,462.0,2.002620650000,-29.676420650000,-0.029249,24.00,tb-supertrend-ADAUSDT-1634731200-B,tb-supertrend-ADAUSDT-1634817600-T
SOL/USDT,supertrend,2021-10-15 08:00,161.69,2021-10-26 23:59,196.60,trailing,3.204,1.1486079200,110.7030320800,0.213690,280.00,tb-supertrend-SOLUSDT-1634270400-B,tb-supertrend-SOLUSDT-1635278400-T
LINK/USDT,supertrend,2021-10-21 00:00,27.494,2021-10-27 11:59,30.597,trailing,26.95,1.56637727000,82.05947273000,0.110747,156.00,tb-supertrend-LINKUSDT-1634760000-B,tb-supertrend-LINKUSDT-1635321600-T
LTC/USDT,supertrend,2021-10-27 04:00,202.61,2021-10-27 11:59,189.38,stop,3.890,1.5256515400,-52.9903515400,-0.067234,8.00,tb-supertrend-LTCUSDT-1635292800-B,tb-supertrend-LTCUSDT-1635321600-X
ETH/USDT,supertrend,2021-10-29 00:00,4288.16,2021-11-01 07:59,4155.47,trailing,0.1619,1.3678813260,-22.8503923260,-0.032914,80.00,tb-supertrend-ETHUSDT-1635451200-B,tb-supertrend-ETHUSDT-1635739200-T
BTC/USDT,supertrend,2021-10-29 16:00,62331.14,2021-11-03 19:59,60642.84,trailing,0.01163,1.4314340110,-21.0663630110,-0.029061,124.00,tb-supertrend-BTCUSDT-1635508800-B,tb-supertrend-BTCUSDT-1635955200-T
SOL/USDT,supertrend,2021-11-01 08:00,210.00,2021-11-09 15:59,237.65,trailing,2.157,0.9662110500,58.6748389500,0.129534,200.00,tb-supertrend-SOLUSDT-1635739200-B,tb-supertrend-SOLUSDT-1636459200-T
BNB/USDT,supertrend,2021-10-28 16:00,487.25,2021-11-10 07:59,624.39,trailing,1.580,1.7573657000,214.9238343000,0.279174,304.00,tb-supertrend-BNBUSDT-1635422400-B,tb-supertrend-BNBUSDT-1636516800-T
ADA/USDT,supertrend,2021-11-09 00:00,2.1271,2021-11-10 23:59,2.1332,trailing,410.3,1.749064640000,0.753765360000,0.000864,48.00,tb-supertrend-ADAUSDT-1636401600-B,tb-supertrend-ADAUSDT-1636574400-T
