ts,datetime_utc,equity,B&H BTC (OOS),B&H BTC filtrado (OOS),Equiponderado (OOS)
1627790399999,2021-08-01 03:59,10000,10204.0955162090000000,10000.00000000,10261.0664222196000000
1627804799999,2021-08-01 07:59,10000,10027.6296497180000000,10000.00000000,10123.5407999052000000
1627819199999,2021-08-01 11:59,10000,10000.1571746930000000,10000.00000000,10067.6698987332000000
1627833599999,2021-08-01 15:59,10000,9928.0121709140000000,10000.00000000,10045.4619145476000000
1627847999999,2021-08-01 19:59,10000,9922.3301176550000000,10000.00000000,10098.2318314080000000
1627862399999,2021-08-01 23:59,10000,9581.3804715920000000,10000.00000000,9734.2230897228000000
1627876799999,2021-08-02 03:59,10000,9566.9889824870000000,10000.00000000,9772.7436266268000000
1627891199999,2021-08-02 07:59,10000,9643.6618348850000000,10000.00000000,9991.4334946500000000
1627905599999,2021-08-02 11:59,10000,9508.5164945060000000,10000.00000000,9874.7185760004000000
1627919999999,2021-08-02 15:59,10000,9547.6392226160000000,10000.00000000,9901.0052010624000000
1627934399999,2021-08-02 19:59,10000,9420.8522475050000000,10000.00000000,9824.1148068240000000
1627948799999,2021-08-02 23:59,10000,9413.6312547260000000,10000.00000000,9800.7787358544000000
1627963199999,2021-08-03 03:59,10000,9295.3060423820000000,10000.00000000,9658.1010839268000000
1627977599999,2021-08-03 07:59,10000,9280.3254279920000000,10000.00000000,9616.9763178588000000
1627991999999,2021-08-03 11:59,10000,9255.4547225930000000,10000.00000000,9584.1270436152000000
1628006399999,2021-08-03 15:59,10000,9178.3706847920000000,10000.00000000,9691.1920678188000000
1628020799999,2021-08-03 19:59,10000,9140.3612832410000000,10000.00000000,9708.8620265724000000
1628035199999,2021-08-03 23:59,10000,9187.4143590650000000,10000.00000000,9747.6644437140000000
1628049599999,2021-08-04 03:59,10000,9132.0510098330000000,10000.00000000,9641.3962770552000000
1628063999999,2021-08-04 07:59,10000,9096.4702472120000000,10000.00000000,9597.2599100028000000
1628078399999,2021-08-04 11:59,10000,9176.1151765580000000,10000.00000000,9671.2182492312000000
1628092799999,2021-08-04 15:59,10000,9450.7052696000000000,10000.00000000,10029.2972809620000000
1628107199999,2021-08-04 19:59,10000,9558.9528326810000000,10000.00000000,10086.9931649244000000
1628121599999,2021-08-04 23:59,10000,9551.9819175740000000,10000.00000000,10082.6499552816000000
1628135999999,2021-08-05 03:59,10000,9482.7079978370000000,10000.00000000,10081.3198694988000000
1628150399999,2021-08-05 07:59,10000,9346.9687229870000000,10000.00000000,9962.7756603708000000
1628164799999,2021-08-05 11:59,10000,9139.6423099340000000,10000.00000000,9842.0157223896000000
1628179199999,2021-08-05 15:59,10000,9317.9741405930000000,10000.00000000,10004.0227535892000000
1628193599999,2021-08-05 19:59,10000,9785.0014068320000000,10000.00000000,10182.9263313288000000
1628207999999,2021-08-05 23:59,10000,9825.9323888780000000,10000.00000000,10245.5491274472000000
1628222399999,2021-08-06 03:59,10000,9671.3194635710000000,10000.00000000,10084.5627437784000000
1628236799999,2021-08-06 07:59,10000,9793.9825616870000000,10000.00000000,10164.4624157268000000
1628251199999,2021-08-06 11:59,10000,9740.5933833080000000,10000.00000000,10094.2589430732000000
1628265599999,2021-08-06 15:59,10000,10147.5515118140000000,10000.00000000,10435.9779356196000000
1628279999999,2021-08-06 19:59,10000,10316.1591683810000000,10000.00000000,10558.0461004644000000
