pair,strategy,entry_time,entry_price,exit_time,exit_price,exit_reason,qty,fees_quote,pnl,pnl_pct,duration_hours,entry_client_order_id,exit_client_order_id
ETH/USDT,supertrend,2021-08-15 21:00,3262.93,2021-08-16 13:59,3212.99,trailing,0.2109,1.3667504060,-11.8990964060,-0.017291,17.00,tb-supertrend-ETHUSDT-1629057600-B,tb-supertrend-ETHUSDT-1629118800-T
LINK/USDT,supertrend,2021-08-15 23:00,27.768,2021-08-16 19:59,28.703,trailing,18.48,1.04413944000,16.23466056000,0.031637,21.00,tb-supertrend-LINKUSDT-1629064800-B,tb-supertrend-LINKUSDT-1629140400-T
LINK/USDT,supertrend,2021-08-17 12:00,29.952,2021-08-17 17:59,27.979,stop,12.84,0.74443308000,-26.07775308000,-0.067808,6.00,tb-supertrend-LINKUSDT-1629198000-B,tb-supertrend-LINKUSDT-1629219600-X
BNB/USDT,supertrend,2021-08-17 12:00,433.01,2021-08-17 19:59,413.96,stop,1.340,1.1358058200,-26.6628058200,-0.045952,8.00,tb-supertrend-BNBUSDT-1629198000-B,tb-supertrend-BNBUSDT-1629226800-X
ETH/USDT,supertrend,2021-08-23 01:00,3252.10,2021-08-24 13:59,3264.42,trailing,0.2427,1.5825350300,1.4075289700,0.001783,37.00,tb-supertrend-ETHUSDT-1629676800-B,tb-supertrend-ETHUSDT-1629810000-T
LINK/USDT,supertrend,2021-08-23 03:00,28.537,2021-08-24 13:59,28.045,trailing,18.76,1.06204906000,-10.29196906000,-0.019225,35.00,tb-supertrend-LINKUSDT-1629684000-B,tb-supertrend-LINKUSDT-1629810000-T
BNB/USDT,supertrend,2021-08-25 07:00,493.76,2021-08-25 09:59,469.62,stop,1.048,1.0106097600,-26.3093297600,-0.050843,3.00,tb-supertrend-BNBUSDT-1629871200-B,tb-supertrend-BNBUSDT-1629882000-X
BTC/USDT,supertrend,2021-08-25 19:00,48973.57,2021-08-26 03:59,47853.24,trailing,0.01733,1.6789880895,-21.0943069895,-0.024854,9.00,tb-supertrend-BTCUSDT-1629914400-B,tb-supertrend-BTCUSDT-1629946800-T
ETH/USDT,supertrend,2021-08-25 18:00,3228.06,2021-08-26 04:59,3133.02,trailing,0.1968,1.2525061600,-19.9563781600,-0.031413,11.00,tb-supertrend-ETHUSDT-1629910800-B,tb-supertrend-ETHUSDT-1629950400-T
ADA/USDT,supertrend,2021-08-27 12:00,2.7188,2021-08-28 11:59,2.7985,trailing,142.1,0.784552090000,10.540817910000,0.027284,24.00,tb-supertrend-ADAUSDT-1630062000-B,tb-supertrend-ADAUSDT-1630148400-T
SOL/USDT,supertrend,2021-08-26 14:00,73.22,2021-08-29 09:59,91.51,trailing,3.953,0.6514705700,71.6488994300,0.247544,68.00,tb-supertrend-SOLUSDT-1629982800-B,tb-supertrend-SOLUSDT-1630227600-T
ETH/USDT,supertrend,2021-08-30 17:00,3271.88,2021-08-30 23:59,3238.06,trailing,0.2624,1.7091898160,-10.5835578160,-0.012327,7.00,tb-supertrend-ETHUSDT-1630339200-B,tb-supertrend-ETHUSDT-1630364400-T
LINK/USDT,supertrend,2021-08-30 19:00,25.586,2021-08-30 23:59,25.293,trailing,24.91,1.26816347000,-8.56679347000,-0.013441,5.00,tb-supertrend-LINKUSDT-1630346400-B,tb-supertrend-LINKUSDT-1630364400-T
ETH/USDT,supertrend,2021-08-31 08:00,3361.47,2021-09-03 01:59,3706.30,trailing,0.1906,1.3477892560,64.3768087440,0.100479,66.00,tb-supertrend-ETHUSDT-1630393200-B,tb-supertrend-ETHUSDT-1630630800-T
LINK/USDT,supertrend,2021-08-31 12:00,26.937,2021-09-03 01:59,29.198,trailing,16.79,0.94304539000,37.01914461000,0.081851,62.00,tb-supertrend-LINKUSDT-1630407600-B,tb-supertrend-LINKUSDT-1630630800-T
BTC/USDT,supertrend,2021-09-03 09:00,50036.89,2021-09-04 17:59,49481.18,trailing,0.01821,1.8132247947,-11.9327038947,-0.013096,33.00,tb-supertrend-BTCUSDT-1630656000-B,tb-supertrend-BTCUSDT-1630774800-T
BNB/USDT,supertrend,2021-09-04 13:00,504.71,2021-09-05 06:59,488.76,trailing,1.565,1.5557899700,-26.5175399700,-0.033572,18.00,tb-supertrend-BNBUSDT-1630756800-B,tb-supertrend-BNBUSDT-1630821600-T
LINK/USDT,supertrend,2021-09-05 16:00,31.482,2021-09-06 12:59,33.209,trailing,19.44,1.25822268000,32.31465732000,0.052801,21.00,tb-supertrend-LINKUSDT-1630854000-B,tb-supertrend-LINKUSDT-1630929600-T
