ts,datetime_utc,equity,B&H BTC (OOS),B&H BTC filtrado (OOS),Equiponderado (OOS)
1627779599999,2021-08-01 00:59,10000,10036.3126350410000000,10000.00000000,10124.6966816664000000
1627783199999,2021-08-01 01:59,10000,10029.0627871460000000,10000.00000000,10069.2496901604000000
1627786799999,2021-08-01 02:59,10000,10053.3563902250000000,10000.00000000,10120.5060129300000000
1627790399999,2021-08-01 03:59,10000,10204.0955162090000000,10000.00000000,10261.0664222196000000
1627793999999,2021-08-01 04:59,10000,10113.3606039470000000,10000.00000000,10190.8576280928000000
1627797599999,2021-08-01 05:59,10000,10056.7612939130000000,10000.00000000,10172.1983316672000000
1627801199999,2021-08-01 06:59,10000,10029.1565662730000000,10000.00000000,10187.2270838712000000
1627804799999,2021-08-01 07:59,10000,10027.6296497180000000,10000.00000000,10123.5407999052000000
1627808399999,2021-08-01 08:59,10000,10039.3760865230000000,10000.00000000,10142.0292529452000000
1627811999999,2021-08-01 09:59,10000,10077.5129315030000000,10000.00000000,10194.3593045112000000
1627815599999,2021-08-01 10:59,10000,9977.8185057230000000,10000.00000000,10049.8509235452000000
1627819199999,2021-08-01 11:59,10000,10000.1571746930000000,10000.00000000,10067.6698987332000000
1627822799999,2021-08-01 12:59,10000,9992.1450708170000000,10000.00000000,10059.7300489308000000
1627826399999,2021-08-01 13:59,10000,9957.8531700440000000,10000.00000000,10008.1237161216000000
1627829999999,2021-08-01 14:59,10000,9938.2028360480000000,10000.00000000,10022.6426810232000000
1627833599999,2021-08-01 15:59,10000,9928.0121709140000000,10000.00000000,10045.4619145476000000
1627837199999,2021-08-01 16:59,10000,9920.6084290670000000,10000.00000000,10014.1969176408000000
1627840799999,2021-08-01 17:59,10000,9879.3840866750000000,10000.00000000,9964.2827265960000000
1627844399999,2021-08-01 18:59,10000,9878.4174402890000000,10000.00000000,10007.4733251636000000
1627847999999,2021-08-01 19:59,10000,9922.3301176550000000,10000.00000000,10098.2318314080000000
1627851599999,2021-08-01 20:59,10000,9921.1999589450000000,10000.00000000,10142.4952237080000000
1627855199999,2021-08-01 21:59,10000,9875.4068898530000000,10000.00000000,10084.0753408692000000
1627858799999,2021-08-01 22:59,10000,9683.1404427590000000,10000.00000000,9891.7666256856000000
1627862399999,2021-08-01 23:59,10000,9581.3804715920000000,10000.00000000,9734.2230897228000000
1627865999999,2021-08-02 00:59,10000,9502.8200136890000000,10000.00000000,9604.3937302416000000
1627869599999,2021-08-02 01:59,10000,9525.1490642870000000,10000.00000000,9655.3160257728000000
1627873199999,2021-08-02 02:59,10000,9566.6258889440000000,10000.00000000,9780.8117676096000000
1627876799999,2021-08-02 03:59,10000,9566.9889824870000000,10000.00000000,9772.7436266268000000
1627880399999,2021-08-02 04:59,10000,9538.8889086890000000,10000.00000000,9751.5237889056000000
1627883999999,2021-08-02 05:59,10000,9552.0444369920000000,10000.00000000,9780.8767014108000000
1627887599999,2021-08-02 06:59,10000,9683.2294127000000000,10000.00000000,10037.3161520640000000
1627891199999,2021-08-02 07:59,10000,9643.6618348850000000,10000.00000000,9991.4334946500000000
1627894799999,2021-08-02 08:59,10000,9505.4818981400000000,10000.00000000,9851.9562075540000000
1627898399999,2021-08-02 09:59,10000,9529.1815667480000000,10000.00000000,9921.3112319052000000
1627901999999,2021-08-02 10:59,10000,9545.0783310710000000,10000.00000000,9909.7314920364000000
1627905599999,2021-08-02 11:59,10000,9508.5164945060000000,10000.00000000,9874.7185760004000000
1627909199999,2021-08-02 12:59,10000,9443.4265665890000000,10000.00000000,9797.2990278456000000
1627912799999,2021-08-02 13:59,10000,9517.9232623220000000,10000.00000000,9875.8883706348000000
1627916399999,2021-08-02 14:59,10000,9528.4193107670000000,10000.00000000,9906.9880837908000000
1627919999999,2021-08-02 15:59,10000,9547.6392226160000000,10000.00000000,9901.0052010624000000
1627923599999,2021-08-02 16:59,10000,9573.3274896350000000,10000.00000000,9922.1580574320000000
1627927199999,2021-08-02 17:59,10000,9544.7200467140000000,10000.00000000,9944.4182014056000000
1627930799999,2021-08-02 18:59,10000,9531.4683346910000000,10000.00000000,9928.5762484164000000
1627934399999,2021-08-02 19:59,10000,9420.8522475050000000,10000.00000000,9824.1148068240000000
1627937999999,2021-08-02 20:59,10000,9342.4601111120000000,10000.00000000,9735.2855581908000000
1627941599999,2021-08-02 21:59,10000,9426.6617441930000000,10000.00000000,9803.6016393252000000
1627945199999,2021-08-02 22:59,10000,9477.9805679990000000,10000.00000000,9878.7085448376000000
1627948799999,2021-08-02 23:59,10000,9413.6312547260000000,10000.00000000,9800.7787358544000000
1627952399999,2021-08-03 00:59,10000,9456.8105312270000000,10000.00000000,9859.6247065788000000
1627955999999,2021-08-03 01:59,10000,9335.4338903660000000,10000.00000000,9686.2640491704000000
1627959599999,2021-08-03 02:59,10000,9353.0860075790000000,10000.00000000,9703.6210935516000000
1627963199999,2021-08-03 03:59,10000,9295.3060423820000000,10000.00000000,9658.1010839268000000
1627966799999,2021-08-03 04:59,10000,9216.5003159930000000,10000.00000000,9547.0074363792000000
1627970399999,2021-08-03 05:59,10000,9198.9083136050000000,10000.00000000,9528.9470340600000000
1627973999999,2021-08-03 06:59,10000,9223.5097045880000000,10000.00000000,9541.7742747792000000
1627977599999,2021-08-03 07:59,10000,9280.3254279920000000,10000.00000000,9616.9763178588000000
1627981199999,2021-08-03 08:59,10000,9263.4908723990000000,10000.00000000,9555.1251221676000000
1627984799999,2021-08-03 09:59,10000,9292.0694602040000000,10000.00000000,9601.5429418836000000
1627988399999,2021-08-03 10:59,10000,9309.1060016090000000,10000.00000000,9628.9467066876000000
1627991999999,2021-08-03 11:59,10000,9255.4547225930000000,10000.00000000,9584.1270436152000000
1627995599999,2021-08-03 12:59,10000,9232.5533788610000000,10000.00000000,9691.2283718784000000
1627999199999,2021-08-03 13:59,10000,9250.5445436870000000,10000.00000000,9748.0802307108000000
1628002799999,2021-08-03 14:59,10000,9198.6053348870000000,10000.00000000,9709.3522794288000000
1628006399999,2021-08-03 15:59,10000,9178.3706847920000000,10000.00000000,9691.1920678188000000
1628009999999,2021-08-03 16:59,10000,9233.4526966430000000,10000.00000000,9771.3531600852000000
1628013599999,2021-08-03 17:59,10000,9139.1686051130000000,10000.00000000,9656.2013092032000000
1628017199999,2021-08-03 18:59,10000,9184.3316708390000000,10000.00000000,9733.4045163156000000
1628020799999,2021-08-03 19:59,10000,9140.3612832410000000,10000.00000000,9708.8620265724000000
1628024399999,2021-08-03 20:59,10000,9156.7533937220000000,10000.00000000,9717.7142970408000000
1628027999999,2021-08-03 21:59,10000,9216.5868813410000000,10000.00000000,9743.4810249204000000
1628031599999,2021-08-03 22:59,10000,9220.4390393270000000,10000.00000000,9782.8140661068000000
1628035199999,2021-08-03 23:59,10000,9187.4143590650000000,10000.00000000,9747.6644437140000000
1628038799999,2021-08-04 00:59,10000,9235.4340812750000000,10000.00000000,9759.1152474480000000
1628042399999,2021-08-04 01:59,10000,9223.2283672070000000,10000.00000000,9769.1241377388000000
1628045999999,2021-08-04 02:59,10000,9160.6295976380000000,10000.00000000,9696.2263960512000000
1628049599999,2021-08-04 03:59,10000,9132.0510098330000000,10000.00000000,9641.3962770552000000
1628053199999,2021-08-04 04:59,10000,9130.5721851380000000,10000.00000000,9655.4653239252000000
1628056799999,2021-08-04 05:59,10000,9138.8608172090000000,10000.00000000,9660.4869448776000000
1628060399999,2021-08-04 06:59,10000,9093.8877143300000000,10000.00000000,9629.7538523340000000
1628063999999,2021-08-04 07:59,10000,9096.4702472120000000,10000.00000000,9597.2599100028000000
1628067599999,2021-08-04 08:59,10000,9074.7760091660000000,10000.00000000,9564.2622151284000000
1628071199999,2021-08-04 09:59,10000,9095.6310442550000000,10000.00000000,9578.1143555220000000
1628074799999,2021-08-04 10:59,10000,9160.0212356090000000,10000.00000000,9656.2104216816000000
1628078399999,2021-08-04 11:59,10000,9176.1151765580000000,10000.00000000,9671.2182492312000000
1628081999999,2021-08-04 12:59,10000,9344.4895876040000000,10000.00000000,9877.7203200516000000
1628085599999,2021-08-04 13:59,10000,9381.2149364930000000,10000.00000000,9914.5344874332000000
1628089199999,2021-08-04 14:59,10000,9406.8334703150000000,10000.00000000,9959.1744979380000000
1628092799999,2021-08-04 15:59,10000,9450.7052696000000000,10000.00000000,10029.2972809620000000
1628096399999,2021-08-04 16:59,10000,9494.8848567890000000,10000.00000000,10132.6103608656000000
1628099999999,2021-08-04 17:59,10000,9471.9161844530000000,10000.00000000,10043.8580164512000000
1628103599999,2021-08-04 18:59,10000,9516.3747044300000000,10000.00000000,10070.4682747560000000
1628107199999,2021-08-04 19:59,10000,9558.9528326810000000,10000.00000000,10086.9931649244000000
1628110799999,2021-08-04 20:59,10000,9559.8136769750000000,10000.00000000,10133.0340004020000000
1628114399999,2021-08-04 21:59,10000,9579.6828289340000000,10000.00000000,10150.0545731916000000
1628117999999,2021-08-04 22:59,10000,9550.3251529970000000,10000.00000000,10091.9521745508000000
1628121599999,2021-08-04 23:59,10000,9551.9819175740000000,10000.00000000,10082.6499552816000000
1628125199999,2021-08-05 00:59,10000,9511.4525025590000000,10000.00000000,10023.8099661696000000
1628128799999,2021-08-05 01:59,10000,9496.2915436940000000,10000.00000000,10020.3515940036000000
1628132399999,2021-08-05 02:59,10000,9468.6868160540000000,10000.00000000,10038.3223172916000000
1628135999999,2021-08-05 03:59,10000,9482.7079978370000000,10000.00000000,10081.3198694988000000
1628139599999,2021-08-05 04:59,10000,9465.5271808520000000,10000.00000000,10035.4003789548000000
1628143199999,2021-08-05 05:59,10000,9470.0959075520000000,10000.00000000,10065.2084270688000000
1628146799999,2021-08-05 06:59,10000,9399.2902620740000000,10000.00000000,9987.4228137456000000
1628150399999,2021-08-05 07:59,10000,9346.9687229870000000,10000.00000000,9962.7756603708000000
1628153999999,2021-08-05 08:59,10000,9253.7330340050000000,10000.00000000,9858.9784382940000000
