ts,datetime_utc,equity,B&H BTC (OOS),B&H BTC filtrado (OOS),Equiponderado (OOS)
1627790399999,2021-08-01 03:59,10000,10214.2883905778000000,10000.00000000,10271.2742593257000000
1627804799999,2021-08-01 07:59,10000,10037.6465714156000000,10000.00000000,10133.6166380424000000
1627819199999,2021-08-01 11:59,10000,10010.1467038106000000,10000.00000000,10077.6941180409000000
1627833599999,2021-08-01 15:59,10000,9937.9297648388000000,10000.00000000,10055.4672738342000000
1627847999999,2021-08-01 19:59,10000,9932.2420460510000000,10000.00000000,10108.2885603735000000
1627862399999,2021-08-01 23:59,10000,9590.9524418864000000,10000.00000000,9743.9328746796000000
1627876799999,2021-08-02 03:59,10000,9576.5466031454000000,10000.00000000,9782.4938396151000000
1627891199999,2021-08-02 07:59,10000,9653.2959054170000000,10000.00000000,10001.3883775635000000
1627905599999,2021-08-02 11:59,10000,9518.0158127252000000,10000.00000000,9884.5599726138000000
1627919999999,2021-08-02 15:59,10000,9557.1775497872000000,10000.00000000,9910.8680232288000000
1627934399999,2021-08-02 19:59,10000,9430.2641564210000000,10000.00000000,9833.9043172755000000
1627948799999,2021-08-02 23:59,10000,9423.0359636492000000,10000.00000000,9810.5443203558000000
1627963199999,2021-08-03 03:59,10000,9304.5927702044000000,10000.00000000,9667.7329239066000000
1627977599999,2021-08-03 07:59,10000,9289.5972187664000000,10000.00000000,9626.5723866456000000
1627991999999,2021-08-03 11:59,10000,9264.7017149906000000,10000.00000000,9593.6984292099000000
1628006399999,2021-08-03 15:59,10000,9187.5408173264000000,10000.00000000,9700.8655641006000000
1628020799999,2021-08-03 19:59,10000,9149.4935169122000000,10000.00000000,9718.5497155473000000
1628035199999,2021-08-03 23:59,10000,9196.5935089730000000,10000.00000000,9757.3854407475000000
1628049599999,2021-08-04 03:59,10000,9141.1749573986000000,10000.00000000,9651.0161191449000000
1628063999999,2021-08-04 07:59,10000,9105.5587174904000000,10000.00000000,9606.8382815046000000
1628078399999,2021-08-04 11:59,10000,9185.2830601436000000,10000.00000000,9680.8698720084000000
1628092799999,2021-08-04 15:59,10000,9460.1469447200000000,10000.00000000,10039.2900204810000000
1628107199999,2021-08-04 19:59,10000,9568.5024405602000000,10000.00000000,10097.0457546333000000
1628121599999,2021-08-04 23:59,10000,9561.5245748108000000,10000.00000000,10092.6967351062000000
1628135999999,2021-08-05 03:59,10000,9492.1815826154000000,10000.00000000,10091.3729892771000000
1628150399999,2021-08-05 07:59,10000,9356.3069632454000000,10000.00000000,9972.7157323101000000
1628164799999,2021-08-05 11:59,10000,9148.7738267228000000,10000.00000000,9851.8422097272000000
1628179199999,2021-08-05 15:59,10000,9327.2834705906000000,10000.00000000,10014.0042876249000000
1628193599999,2021-08-05 19:59,10000,9794.7764058944000000,10000.00000000,10193.0772057546000000
