pair,strategy,entry_time,entry_price,exit_time,exit_price,exit_reason,qty,fees_quote,pnl,pnl_pct,duration_hours,entry_client_order_id,exit_client_order_id
ADA/USDT,donchian,2021-08-10 12:00,1.5755,2021-08-12 15:59,1.6837,trailing,199.8,0.651503260000,20.966856740000,0.066607,52.00,tb-donchian-ADAUSDT-1628582400-B,tb-donchian-ADAUSDT-1628769600-T
BTC/USDT,donchian,2021-08-14 00:00,47823.89,2021-08-17 03:59,45234.71,trailing,0.00896,0.8342832933,-24.0333360933,-0.056087,76.00,tb-donchian-BTCUSDT-1628884800-B,tb-donchian-BTCUSDT-1629158400-T
SOL/USDT,donchian,2021-08-10 12:00,40.81,2021-08-17 23:59,61.07,trailing,6.030,0.6146220700,121.5531779300,0.493949,180.00,tb-donchian-SOLUSDT-1628582400-B,tb-donchian-SOLUSDT-1629230400-T
ADA/USDT,donchian,2021-08-20 00:00,2.4424,2021-08-24 19:59,2.5951,trailing,78.6,0.396191740000,11.606028260000,0.060457,116.00,tb-donchian-ADAUSDT-1629403200-B,tb-donchian-ADAUSDT-1629820800-T
BNB/USDT,donchian,2021-08-20 16:00,447.71,2021-08-30 15:59,472.18,trailing,0.640,0.5891773100,15.0716226900,0.052600,240.00,tb-donchian-BNBUSDT-1629460800-B,tb-donchian-BNBUSDT-1630324800-T
SOL/USDT,donchian,2021-08-27 20:00,85.69,2021-08-31 19:59,107.82,trailing,1.954,0.3782899200,42.8637300800,0.255997,96.00,tb-donchian-SOLUSDT-1630080000-B,tb-donchian-SOLUSDT-1630425600-T
ADA/USDT,donchian,2021-09-02 04:00,3.0316,2021-09-04 19:59,2.8278,trailing,94.9,0.556360220000,-19.896980220000,-0.069159,64.00,tb-donchian-ADAUSDT-1630540800-B,tb-donchian-ADAUSDT-1630771200-T
ETH/USDT,donchian,2021-08-31 12:00,3431.62,2021-09-07 11:59,3765.21,trailing,0.1082,0.7793833280,35.3150546720,0.095112,168.00,tb-donchian-ETHUSDT-1630396800-B,tb-donchian-ETHUSDT-1631001600-T
LINK/USDT,donchian,2021-09-05 20:00,32.867,2021-09-07 11:59,32.018,trailing,9.27,0.60181262000,-8.47204262000,-0.027807,40.00,tb-donchian-LINKUSDT-1630857600-B,tb-donchian-LINKUSDT-1631001600-T
BTC/USDT,donchian,2021-09-18 08:00,48646.33,2021-09-20 03:59,46434.37,trailing,0.01013,0.9641404195,-23.3712952195,-0.047427,44.00,tb-donchian-BTCUSDT-1631937600-B,tb-donchian-BTCUSDT-1632096000-T
